Orthogroup	schistosoma_haematobium	schistosoma_curassoni
OG0000000	SHAE2_10600.1	SCUR1_8670.1
OG0000000	SHAE2_63900.1	SCUR1_23690.1
OG0000000	SHAE2_52900.1	SCUR1_17010.1
OG0000000	SHAE2_12020.1, SHAE2_18070.1	SCUR1_41630.1, SCUR1_86830.1
OG0000000	SHAE2_24870.1	SCUR1_51420.1
OG0000000	SHAE2_92780.1, SHAE2_42010.1	SCUR1_26140.1
OG0000000	SHAE2_1010.1	SCUR1_50640.1, SCUR1_68340.1
OG0000000	SHAE2_69240.1	SCUR1_42090.1, SCUR1_58390.1
OG0000000	SHAE2_75110.1	SCUR1_14230.1
OG0000000	SHAE2_29520.1	SCUR1_44610.1
OG0000000	SHAE2_31870.1	SCUR1_50600.1
OG0000000	SHAE2_77190.1, SHAE2_77190.2	SCUR1_18760.1
OG0000000	SHAE2_81470.1, SHAE2_22980.1, SHAE2_22980.2, SHAE2_22980.3, SHAE2_22980.4, SHAE2_100780.1, SHAE2_69900.1	SCUR1_63140.1, SCUR1_85690.1
OG0000000	SHAE2_79350.1	SCUR1_6680.1
OG0000000	SHAE2_44510.1	SCUR1_45890.1
OG0000000	SHAE2_36390.1	SCUR1_12880.1, SCUR1_56780.1
OG0000000	SHAE2_79560.1	SCUR1_34060.1
OG0000000	SHAE2_62810.1	SCUR1_32000.1
OG0000000	SHAE2_54860.1	SCUR1_17450.1, SCUR1_78480.1
OG0000000	SHAE2_51070.1	SCUR1_41070.1
OG0000000	SHAE2_19080.1	SCUR1_60840.1, SCUR1_78680.1
OG0000000	SHAE2_49000.1	SCUR1_21760.1
OG0000000	SHAE2_67380.1, SHAE2_67390.1	SCUR1_33810.1, SCUR1_3950.1
OG0000000	SHAE2_33930.1	SCUR1_37650.1, SCUR1_31490.1, SCUR1_46190.1
OG0000000	SHAE2_77100.1	SCUR1_36220.1, SCUR1_10670.1
OG0000000	SHAE2_43990.1, SHAE2_76270.1	SCUR1_18070.1
OG0000002	SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4	SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3
OG0000002	SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3	SCUR1_10130.1
OG0000002	SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2	SCUR1_70910.3, SCUR1_70910.1, SCUR1_17250.1, SCUR1_70910.2, SCUR1_70910.4, SCUR1_70910.5, SCUR1_70910.6, SCUR1_70910.7, SCUR1_93400.1, SCUR1_93400.2, SCUR1_93400.3, SCUR1_93400.4
OG0000003	SHAE2_20960.1	SCUR1_31360.7, SCUR1_31360.9, SCUR1_31360.6, SCUR1_31360.8
OG0000003	SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2	SCUR1_62060.1, SCUR1_81440.5
