Orthogroup	schmidtea_mediterranea	schistosoma_turkestanicum
OG0000000	h1SMcT0000914.1	STRK1_100920.1, STRK1_106730.1, STRK1_102850.1, STRK1_86200.1, STRK1_106270.1, STRK1_33990.1, STRK1_42670.1, STRK1_33630.1, STRK1_106990.1, STRK1_50280.1, STRK1_54000.1, STRK1_6720.1
OG0000002	h1SMcT0015173.1	STRK1_11320.1, STRK1_21760.1, STRK1_21740.1, STRK1_21740.2, STRK1_21640.1, STRK1_21630.1, STRK1_95530.3, STRK1_95530.1, STRK1_95530.2, STRK1_95530.4
OG0000002	h1SMcT0001934.1	STRK1_40290.1, STRK1_40290.2
OG0000009	h1SMcT0020629.46, h1SMcT0021509.1	STRK1_39640.1
OG0000010	h1SMcT0012568.1	STRK1_22300.1, STRK1_110010.1, STRK1_97800.1, STRK1_92040.1, STRK1_53290.1, STRK1_49560.1, STRK1_56870.1, STRK1_41030.1, STRK1_104050.1
OG0000012	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3, STRK1_95080.2, STRK1_95080.1, STRK1_95080.3
OG0000014	h1SMcT0018859.1, h1SMcT0020270.1	STRK1_32840.1
OG0000015	h1SMcT0022961.1	STRK1_32820.1, STRK1_58960.1, STRK1_58950.1, STRK1_28980.1, STRK1_28970.1, STRK1_28940.1, STRK1_28950.1, STRK1_40280.1, STRK1_41060.1, STRK1_41050.1, STRK1_41050.2, STRK1_41050.3, STRK1_9490.1
OG0000019	h1SMcT0009829.1	STRK1_28380.1, STRK1_28370.1
OG0000021	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2	STRK1_12640.1, STRK1_3460.1, STRK1_3470.1, STRK1_3440.1, STRK1_3450.1, STRK1_3430.1
OG0000022	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3	STRK1_25560.1, STRK1_25560.2
OG0000024	h1SMcT0022444.1, h1SMcT0022444.2	STRK1_22140.1
OG0000024	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2	STRK1_58710.1
OG0000024	h1SMcT0004401.1	STRK1_78170.1
OG0000024	h1SMcT0004270.1, h1SMcT0004269.2	STRK1_78160.1
OG0000026	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3	STRK1_76900.1, STRK1_76900.2, STRK1_69960.1, STRK1_69960.2
OG0000028	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3	STRK1_68350.1
OG0000029	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3	STRK1_108400.1
