Orthogroup	schistosoma_guineensis	schmidtea_mediterranea
OG0000000	SGUI1_53890.1, SGUI1_63710.1, SGUI1_16930.1, SGUI1_55920.1, SGUI1_52030.1, SGUI1_84060.1, SGUI1_13120.1, SGUI1_94240.1, SGUI1_61840.1, SGUI1_23480.1, SGUI1_34560.1, SGUI1_39950.1, SGUI1_47180.1, SGUI1_39710.1, SGUI1_49230.1, SGUI1_11720.1, SGUI1_2190.1, SGUI1_17150.1, SGUI1_82350.1, SGUI1_58310.1, SGUI1_4480.1, SGUI1_47070.1, SGUI1_23000.1, SGUI1_86050.1, SGUI1_38480.1, SGUI1_55700.1, SGUI1_2200.1, SGUI1_63730.1, SGUI1_30560.1, SGUI1_80190.1, SGUI1_65300.1, SGUI1_37170.1, SGUI1_93610.1, SGUI1_17850.1, SGUI1_72070.1, SGUI1_35040.1, SGUI1_19340.1, SGUI1_81280.1, SGUI1_26270.1, SGUI1_66860.1, SGUI1_19010.1, SGUI1_8610.1, SGUI1_72140.1, SGUI1_51200.1, SGUI1_5880.1, SGUI1_23940.1, SGUI1_72970.1, SGUI1_80390.1, SGUI1_85530.1, SGUI1_40540.1, SGUI1_39870.1, SGUI1_88850.1, SGUI1_16980.1, SGUI1_85750.1, SGUI1_21020.1, SGUI1_5870.1, SGUI1_45370.1, SGUI1_35810.1, SGUI1_64180.1, SGUI1_9310.1, SGUI1_51190.1, SGUI1_76640.1, SGUI1_4030.1, SGUI1_32290.1, SGUI1_95960.1, SGUI1_93570.1, SGUI1_9770.1, SGUI1_64030.1, SGUI1_50100.1, SGUI1_75250.1, SGUI1_82770.1, SGUI1_42670.1, SGUI1_67100.1, SGUI1_55010.1, SGUI1_90550.1, SGUI1_53490.1, SGUI1_21620.1, SGUI1_21620.2, SGUI1_53860.1, SGUI1_69340.1, SGUI1_18180.1, SGUI1_95760.1, SGUI1_31910.1, SGUI1_31910.2, SGUI1_31910.3, SGUI1_31910.4, SGUI1_31910.5, SGUI1_69020.1, SGUI1_39480.1, SGUI1_8640.1, SGUI1_30170.1	h1SMcT0000914.1
OG0000002	SGUI1_40810.1	h1SMcT0015173.1
OG0000002	SGUI1_75350.1, SGUI1_75350.2, SGUI1_75350.3, SGUI1_57420.1, SGUI1_57420.2, SGUI1_80130.1, SGUI1_80130.2, SGUI1_85230.1, SGUI1_68390.1, SGUI1_68390.2, SGUI1_68390.3, SGUI1_68390.4, SGUI1_68400.1, SGUI1_47330.1, SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6, SGUI1_79030.1, SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1, SGUI1_13840.1, SGUI1_25370.1, SGUI1_25370.2, SGUI1_20860.1, SGUI1_63510.1, SGUI1_63520.1, SGUI1_63520.2, SGUI1_63520.3, SGUI1_63520.4, SGUI1_78380.1, SGUI1_5820.1, SGUI1_5820.2, SGUI1_5820.3, SGUI1_5820.4, SGUI1_5820.5, SGUI1_5820.6, SGUI1_53120.1, SGUI1_53120.2, SGUI1_53120.3, SGUI1_53120.4, SGUI1_53120.5, SGUI1_53120.6, SGUI1_17210.1, SGUI1_93450.1, SGUI1_3520.1, SGUI1_3520.2, SGUI1_78590.1, SGUI1_78590.2, SGUI1_78590.3, SGUI1_78600.1, SGUI1_87510.1	h1SMcT0001934.1
OG0000009	SGUI1_81230.1, SGUI1_16910.1, SGUI1_66090.1, SGUI1_51380.1, SGUI1_90400.1, SGUI1_34150.1, SGUI1_35110.1, SGUI1_95330.1, SGUI1_18020.1, SGUI1_50410.1, SGUI1_31250.1, SGUI1_53900.1, SGUI1_47730.1, SGUI1_77190.1	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	SGUI1_12170.1, SGUI1_15990.1, SGUI1_72840.1, SGUI1_13070.1, SGUI1_93490.1, SGUI1_64390.1, SGUI1_57400.1, SGUI1_74850.1, SGUI1_26790.1, SGUI1_33340.1, SGUI1_56410.2, SGUI1_56410.1, SGUI1_77700.1, SGUI1_56410.4, SGUI1_56410.3, SGUI1_40820.1, SGUI1_97030.1, SGUI1_63390.1	h1SMcT0012568.1
OG0000012	SGUI1_40550.1	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	SGUI1_38090.2, SGUI1_38090.1, SGUI1_66240.1, SGUI1_38300.1, SGUI1_38310.1, SGUI1_43650.1, SGUI1_42800.1, SGUI1_9360.1	h1SMcT0022961.1
OG0000019	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7, SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	h1SMcT0009829.1
OG0000021	SGUI1_7740.1, SGUI1_5500.1, SGUI1_5470.3, SGUI1_5470.1, SGUI1_5470.2, SGUI1_5480.1, SGUI1_5490.1, SGUI1_5450.1, SGUI1_5450.2	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
