Orthogroup	schistosoma_haematobium	schistosoma_japonicum
OG0000000	SHAE2_11400.1	EWB00_004119
OG0000002	SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5, SHAE2_23170.1, SHAE2_23170.2, SHAE2_23170.3, SHAE2_23170.4, SHAE2_77780.2, SHAE2_77780.3, SHAE2_77780.1, SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3, SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2, SHAE2_77790.1	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000003	SHAE2_20960.1, SHAE2_24270.4, SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2, SHAE2_64480.3, SHAE2_70960.1, SHAE2_70960.2, SHAE2_70960.3, SHAE2_70960.4, SHAE2_64480.5, SHAE2_91290.2, SHAE2_91290.4, SHAE2_91290.3, SHAE2_24270.7, SHAE2_91290.1, SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5, SHAE2_18320.1, SHAE2_18320.2, SHAE2_37220.3, SHAE2_37220.2, SHAE2_37220.1, SHAE2_37220.4, SHAE2_37220.5, SHAE2_78510.3, SHAE2_78510.1, SHAE2_78510.2, SHAE2_43020.12, SHAE2_43020.14, SHAE2_43020.15, SHAE2_43020.16, SHAE2_43020.18, SHAE2_43020.11, SHAE2_43020.9, SHAE2_43020.13, SHAE2_43020.17, SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5, SHAE2_85630.2, SHAE2_82280.2, SHAE2_82280.1, SHAE2_82280.3	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000004	SHAE2_43050.1, SHAE2_54530.1, SHAE2_56950.1, SHAE2_39060.1, SHAE2_67370.1, SHAE2_85020.1, SHAE2_102090.1, SHAE2_60460.1, SHAE2_98640.1, SHAE2_15780.1, SHAE2_82460.1, SHAE2_81380.1, SHAE2_67760.1, SHAE2_38170.1, SHAE2_93840.1, SHAE2_102320.1, SHAE2_37060.1, SHAE2_24480.1, SHAE2_70400.1, SHAE2_92480.1, SHAE2_58190.1, SHAE2_62890.1, SHAE2_36590.1, SHAE2_70430.1, SHAE2_44870.1, SHAE2_54840.1, SHAE2_50380.1, SHAE2_50920.1	EWB00_009940
OG0000005	SHAE2_57300.1, SHAE2_63030.1, SHAE2_98210.1, SHAE2_98210.2, SHAE2_6770.1, SHAE2_6780.1	EWB00_002047, EWB00_000812, EWB00_002569
OG0000005	SHAE2_55620.1	EWB00_000895
OG0000006	SHAE2_55900.1, SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1	EWB00_004294, EWB00_009952
OG0000006	SHAE2_14150.1, SHAE2_13340.1, SHAE2_28540.1, SHAE2_5140.1, SHAE2_85960.1, SHAE2_2730.2, SHAE2_13460.1, SHAE2_98580.1, SHAE2_3600.1, SHAE2_48770.1, SHAE2_96550.1, SHAE2_15810.1, SHAE2_2730.1, SHAE2_2730.3, SHAE2_75170.1, SHAE2_72530.1, SHAE2_54980.1, SHAE2_97000.1, SHAE2_79020.1, SHAE2_81870.1, SHAE2_77820.1, SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4, SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1	EWB00_002568
OG0000008	SHAE2_93330.1, SHAE2_4460.1, SHAE2_42580.1, SHAE2_91950.1, SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1, SHAE2_50850.1, SHAE2_4090.1, SHAE2_49140.1, SHAE2_68170.1	EWB00_003269
OG0000009	SHAE2_24900.1	EWB00_004712
OG0000010	SHAE2_61590.1	EWB00_000457, EWB00_004748
OG0000010	SHAE2_15450.1	EWB00_004604
OG0000014	SHAE2_41120.28, SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26, SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6, SHAE2_41120.15	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
