Orthogroup	schistosoma_spindale	schistosoma_bovis
OG0000000	SSPN1_67710.1	SBOV2_53930.1
OG0000000	SSPN1_14040.1, SSPN1_42460.1	SBOV2_41410.1
OG0000000	SSPN1_61750.1, SSPN1_25780.1	SBOV2_46600.1
OG0000000	SSPN1_88550.1, SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1	SBOV2_45580.1
OG0000000	SSPN1_890.1, SSPN1_890.2, SSPN1_11550.1, SSPN1_18830.1, SSPN1_82850.1, SSPN1_86670.1, SSPN1_48920.1, SSPN1_7960.1, SSPN1_74880.1, SSPN1_69150.1, SSPN1_65120.1, SSPN1_72030.1, SSPN1_63740.1, SSPN1_46140.1, SSPN1_93400.1, SSPN1_27820.1, SSPN1_32780.1, SSPN1_89540.1, SSPN1_17560.1, SSPN1_30570.1, SSPN1_8650.1	SBOV2_38300.1
OG0000000	SSPN1_3650.1, SSPN1_73800.1, SSPN1_20720.1, SSPN1_61350.1	SBOV2_62110.1
OG0000000	SSPN1_4430.1	SBOV2_80970.1
OG0000000	SSPN1_76950.1, SSPN1_26180.1	SBOV2_79810.1
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1	SBOV2_32490.1, SBOV2_32490.2, SBOV2_32490.3, SBOV2_32490.4, SBOV2_66570.1, SBOV2_20750.1, SBOV2_18820.1, SBOV2_57690.1, SBOV2_57690.2, SBOV2_83090.1, SBOV2_83090.2, SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1, SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1, SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1, SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3
OG0000002	SSPN1_65720.1, SSPN1_61980.1	SBOV2_50780.1, SBOV2_50780.2
OG0000003	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7	SBOV2_12150.1, SBOV2_12150.2, SBOV2_42190.1, SBOV2_42200.1, SBOV2_22620.3, SBOV2_32260.1, SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6, SBOV2_32260.3, SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2, SBOV2_67820.4, SBOV2_27480.1, SBOV2_45640.1, SBOV2_45640.2, SBOV2_45640.3, SBOV2_39590.1, SBOV2_67820.2, SBOV2_67820.3, SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3, SBOV2_67820.1, SBOV2_45640.4, SBOV2_96560.1, SBOV2_96560.2, SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1
OG0000004	SSPN1_38590.1	SBOV2_45530.3, SBOV2_17290.1
OG0000005	SSPN1_47380.1	SBOV2_77100.1
OG0000005	SSPN1_80810.1, SSPN1_28240.1, SSPN1_30380.1	SBOV2_40350.1, SBOV2_40350.2, SBOV2_56940.1
OG0000005	SSPN1_71310.1, SSPN1_17050.1, SSPN1_13610.1, SSPN1_93030.1, SSPN1_56500.1, SSPN1_7590.1, SSPN1_68170.1, SSPN1_4920.1, SSPN1_67580.1, SSPN1_16380.1, SSPN1_19400.1, SSPN1_58520.1, SSPN1_22720.1, SSPN1_65180.1, SSPN1_65170.1, SSPN1_52180.1, SSPN1_18700.1, SSPN1_12300.1, SSPN1_61490.1, SSPN1_33990.1, SSPN1_50600.1, SSPN1_6350.1, SSPN1_80390.1, SSPN1_19200.1, SSPN1_77840.1, SSPN1_32930.1, SSPN1_11080.1, SSPN1_21990.1, SSPN1_30460.1, SSPN1_12590.1, SSPN1_62690.1, SSPN1_62700.1, SSPN1_81500.1, SSPN1_6170.1, SSPN1_6170.2, SSPN1_30040.1, SSPN1_21930.1, SSPN1_86330.1, SSPN1_61000.1, SSPN1_76190.1, SSPN1_49200.1, SSPN1_86550.1	SBOV2_35020.1, SBOV2_90330.1, SBOV2_22550.1
OG0000006	SSPN1_21890.1, SSPN1_9770.1	SBOV2_16310.1, SBOV2_18200.1, SBOV2_32360.1, SBOV2_3690.1, SBOV2_58460.1
OG0000006	SSPN1_29180.1	SBOV2_58500.1
OG0000006	SSPN1_3430.1	SBOV2_58600.1, SBOV2_55160.1
OG0000006	SSPN1_24840.1, SSPN1_25510.1, SSPN1_32190.1, SSPN1_6740.1, SSPN1_33110.1, SSPN1_77650.1, SSPN1_29120.1	SBOV2_82790.1, SBOV2_14350.1
OG0000008	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1	SBOV2_39270.1, SBOV2_96040.1, SBOV2_51900.1, SBOV2_87350.1, SBOV2_87350.2, SBOV2_16160.1, SBOV2_35520.1, SBOV2_5520.1, SBOV2_7490.1, SBOV2_13540.1, SBOV2_47110.2, SBOV2_31840.1, SBOV2_76140.1, SBOV2_89640.1, SBOV2_96210.1, SBOV2_37140.1, SBOV2_68530.1
OG0000009	SSPN1_9010.1	SBOV2_1710.1
OG0000009	SSPN1_11020.1, SSPN1_13330.1	SBOV2_91300.1
OG0000009	SSPN1_6760.1, SSPN1_3480.1, SSPN1_45700.1	SBOV2_15160.1
OG0000009	SSPN1_81880.1	SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1
OG0000009	SSPN1_81030.1	SBOV2_45750.1
OG0000009	SSPN1_59780.1	SBOV2_81720.1
OG0000010	SSPN1_36620.2, SSPN1_36620.1, SSPN1_36620.3, SSPN1_36630.1, SSPN1_64330.1, SSPN1_63940.1, SSPN1_63940.2, SSPN1_14170.1, SSPN1_30700.1, SSPN1_77220.1, SSPN1_83870.1, SSPN1_51530.1, SSPN1_51530.2, SSPN1_27230.1, SSPN1_57340.2, SSPN1_57340.1, SSPN1_57340.3	SBOV2_30110.1
