Orthogroup	fasciola_gigantica	schistosoma_mattheei
OG0000008	FGIG_01604	SMTH1_29710.1, SMTH1_31760.1, SMTH1_18770.1, SMTH1_33160.1, SMTH1_84400.1, SMTH1_23190.1, SMTH1_7710.1, SMTH1_21730.1, SMTH1_107170.1, SMTH1_65740.1, SMTH1_43130.1, SMTH1_75640.1, SMTH1_104410.1, SMTH1_42070.1, SMTH1_42070.4, SMTH1_63450.1, SMTH1_39310.1, SMTH1_51230.1, SMTH1_84410.1, SMTH1_60990.1, SMTH1_38230.1, SMTH1_41790.1, SMTH1_43740.1, SMTH1_89920.1, SMTH1_59400.1, SMTH1_11370.1, SMTH1_84780.1, SMTH1_56030.1, SMTH1_64620.1, SMTH1_92250.1, SMTH1_65480.1, SMTH1_28910.1, SMTH1_77480.1, SMTH1_34670.1, SMTH1_37390.1, SMTH1_91310.1, SMTH1_3310.1, SMTH1_4950.1, SMTH1_103950.1, SMTH1_93940.1, SMTH1_1390.1, SMTH1_75040.1
OG0000009	FGIG_02970	SMTH1_77780.1
OG0000010	FGIG_10402	SMTH1_39190.1
OG0000012	FGIG_00643	SMTH1_45260.1, SMTH1_45270.1
OG0000014	FGIG_02434	SMTH1_42310.20, SMTH1_42310.7, SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6, SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9
OG0000015	FGIG_12126, FGIG_08847	SMTH1_73160.1, SMTH1_73170.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	SMTH1_42560.1
OG0000015	FGIG_10471, FGIG_07736	SMTH1_42570.3, SMTH1_42570.1, SMTH1_42570.2
OG0000015	FGIG_03653	SMTH1_48670.1
OG0000015	FGIG_02432	SMTH1_47630.1, SMTH1_47630.3, SMTH1_47630.4, SMTH1_47630.5, SMTH1_47630.2
OG0000015	FGIG_05368, FGIG_05133	SMTH1_11420.1
OG0000019	FGIG_11320	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9, SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4, SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12
OG0000021	FGIG_04378, FGIG_04728	SMTH1_9440.1
OG0000021	FGIG_06427, FGIG_06428	SMTH1_6690.1, SMTH1_6690.2
OG0000022	FGIG_03596, FGIG_03595	SMTH1_30110.1
OG0000024	FGIG_02542	SMTH1_26330.1
OG0000024	FGIG_10904	SMTH1_101590.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3
OG0000026	FGIG_05063	SMTH1_88650.1, SMTH1_88650.2
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	SMTH1_80430.1, SMTH1_80360.1
OG0000027	FGIG_03818	SMTH1_44580.22, SMTH1_44580.24, SMTH1_44580.37, SMTH1_44580.23, SMTH1_44580.17, SMTH1_44580.16, SMTH1_44580.9, SMTH1_44580.31, SMTH1_44580.26, SMTH1_44580.10, SMTH1_44580.13, SMTH1_44580.2, SMTH1_44580.30, SMTH1_44580.11, SMTH1_44580.5, SMTH1_44580.27, SMTH1_44580.28, SMTH1_44580.32, SMTH1_44580.29, SMTH1_44580.3, SMTH1_44580.19, SMTH1_44580.33, SMTH1_44580.35, SMTH1_44580.4, SMTH1_44580.39, SMTH1_44580.15, SMTH1_44580.21, SMTH1_44580.8, SMTH1_44580.34, SMTH1_44580.6, SMTH1_44580.7, SMTH1_44580.36, SMTH1_44580.12, SMTH1_44580.20, SMTH1_44580.25, SMTH1_44580.38, SMTH1_44580.18, SMTH1_44580.1, SMTH1_44580.14
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	SMTH1_78260.1, SMTH1_78260.2
OG0000029	FGIG_01225	SMTH1_63900.1
OG0000029	FGIG_12390, FGIG_07520	SMTH1_96900.1
OG0000029	FGIG_04785	SMTH1_22560.1, SMTH1_22560.2, SMTH1_22560.3, SMTH1_22560.4
OG0000029	FGIG_11109	SMTH1_97890.7, SMTH1_54510.1, SMTH1_97890.3, SMTH1_97890.4, SMTH1_97890.5, SMTH1_97890.6, SMTH1_97890.1, SMTH1_97890.2
OG0000030	FGIG_03562	SMTH1_7700.1
OG0000031	FGIG_00219, FGIG_09645	SMTH1_23570.3, SMTH1_23560.1, SMTH1_23560.2, SMTH1_23570.12, SMTH1_23570.15, SMTH1_23570.18, SMTH1_23570.7, SMTH1_23570.8, SMTH1_23570.9, SMTH1_23570.1, SMTH1_23570.16, SMTH1_23570.17, SMTH1_23570.6, SMTH1_23570.4, SMTH1_23570.10, SMTH1_23570.11, SMTH1_23570.13, SMTH1_23570.14, SMTH1_23570.2, SMTH1_23570.5
OG0000032	FGIG_12135	SMTH1_88710.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	SMTH1_101850.1, SMTH1_101850.2, SMTH1_101850.3, SMTH1_101830.1, SMTH1_101820.1, SMTH1_101820.2, SMTH1_63710.3, SMTH1_60220.1, SMTH1_63710.5, SMTH1_63710.1, SMTH1_63710.6, SMTH1_63720.1, SMTH1_63710.7, SMTH1_63710.2, SMTH1_63710.4, SMTH1_63620.1, SMTH1_63730.1
OG0000035	FGIG_03979, FGIG_03980	SMTH1_16620.10, SMTH1_16620.8, SMTH1_16620.6, SMTH1_16620.11, SMTH1_16620.3, SMTH1_16620.5, SMTH1_16620.1, SMTH1_16620.12, SMTH1_16620.7, SMTH1_16620.2, SMTH1_16620.9, SMTH1_16620.4
OG0000037	FGIG_03131, FGIG_03132	SMTH1_66420.1, SMTH1_66630.1, SMTH1_66640.1, SMTH1_66620.1, SMTH1_66680.1, SMTH1_66650.1, SMTH1_66690.1
OG0000040	FGIG_07013	SMTH1_58100.10, SMTH1_58100.4, SMTH1_58100.2, SMTH1_58100.7, SMTH1_58100.9, SMTH1_58090.3, SMTH1_58100.11, SMTH1_58100.5, SMTH1_58100.3, SMTH1_58100.6, SMTH1_58090.1, SMTH1_58090.2, SMTH1_58100.1, SMTH1_58100.8
