# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	Smp_322440.1	4106.9	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	Smp_346390.1	1499.6	1724	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	Smp_150360.1	1196.2	1377	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	Smp_210940.1	2107.8	1618	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	Smp_143760.1	529.2	501	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	Smp_341690.1	1170.8	1182	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	Smp_306080.1	1008.4	966	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	Smp_032510.1	1052.9	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	Smp_343150.1	1806.4	1038	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	Smp_141630.1	1895.6	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Missing
65302at33208	Complete	Smp_175430.1	805.3	932	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	Smp_242060.1	1204.8	859	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	Smp_152860.1	450.7	510	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Duplicated	Smp_242860.2	569.6	750	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	Smp_242860.1	569.0	750	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	Smp_346350.1	750.2	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	Smp_131950.1	232.7	428	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	Smp_136010.1	448.7	657	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
