Orthogroup	opisthorchis_viverrini	fasciola_hepatica
OG0000000	T265_05532, T265_09370, T265_05276	FhHiC23_g7450.t1
OG0000000	T265_15361	FhHiC23_g16632.t1
OG0000000	T265_02362	FhHiC23_g15018.t1, FhHiC23_g16596.t1
OG0000000	T265_06526, T265_04884	FhHiC23_g5410.t1
OG0000000	T265_05673, T265_13115, T265_14745	FhHiC23_g16614.t1
OG0000000	T265_05418	FhHiC23_g5248.t1
OG0000000	T265_13717	FhHiC23_g5992.t1
OG0000000	T265_06754, T265_13091	FhHiC23_g6947.t1
OG0000000	T265_01833	FhHiC23_g1324.t1
OG0000000	T265_13927, T265_09709, T265_07528	FhHiC23_g912.t1
OG0000000	T265_02171, T265_08179	FhHiC23_g7351.t1
OG0000000	T265_10818	FhHiC23_g8250.t1
OG0000000	T265_14300	FhHiC23_g703.t1
OG0000000	T265_08752, T265_01655, T265_03689, T265_14240, T265_04774, T265_08861, T265_15512, T265_06418, T265_03868, T265_15666, T265_11256, T265_06940, T265_06155, T265_15217, T265_10433, T265_01308, T265_07248, T265_01342, T265_00862, T265_09276, T265_09458, T265_10132, T265_13343	FhHiC23_g16123.t1, FhHiC23_g16124.t1
OG0000000	T265_10189	FhHiC23_g7186.t1, FhHiC23_g16086.t1
OG0000000	T265_05034	FhHiC23_g7315.t1, FhHiC23_g3728.t1
OG0000000	T265_03519, T265_13143, T265_02262, T265_05644, T265_09281, T265_11939, T265_10934, T265_01032, T265_10183, T265_02748	FhHiC23_g13785.t1, FhHiC23_g9613.t1
OG0000000	T265_00989	FhHiC23_g10642.t1
OG0000000	T265_13971	FhHiC23_g10085.t1
OG0000000	T265_11738, T265_01000, T265_04573	FhHiC23_g11020.t1
OG0000000	T265_03467	FhHiC23_g13776.t1
OG0000002	T265_07568	FhHiC23_g8926.t1
OG0000002	T265_08272	FhHiC23_g12877.t1
OG0000002	T265_09025, T265_07095, T265_05988, T265_06278	FhHiC23_g2549.t1, FhHiC23_g14734.t1, FhHiC23_g6841.t1, FhHiC23_g4327.t1, FhHiC23_g10594.t1, FhHiC23_g6724.t1, FhHiC23_g6726.t1
OG0000002	T265_11803	FhHiC23_g8487.t1, FhHiC23_g251.t1
OG0000002	T265_05040, T265_05430	FhHiC23_g10032.t1
OG0000005	T265_11244	FhHiC23_g6814.t1, FhHiC23_g12845.t1, FhHiC23_g5469.t1, FhHiC23_g11333.t1, FhHiC23_g13259.t1, FhHiC23_g5281.t1
OG0000005	T265_08678, T265_06144	FhHiC23_g4445.t1, FhHiC23_g7255.t1
OG0000005	T265_15624, T265_08884, T265_05955	FhHiC23_g14193.t1
OG0000005	T265_13723	FhHiC23_g4566.t1
OG0000005	T265_10032, T265_10867	FhHiC23_g12711.t1
OG0000005	T265_05870, T265_11227	FhHiC23_g4103.t1
OG0000006	T265_08444	FhHiC23_g491.t1
OG0000006	T265_07139	FhHiC23_g11154.t1, FhHiC23_g13448.t1, FhHiC23_g2780.t1, FhHiC23_g12715.t1
OG0000006	T265_03748	FhHiC23_g11249.t1, FhHiC23_g15605.t1, FhHiC23_g5645.t1, FhHiC23_g13327.t1, FhHiC23_g9412.t1
OG0000006	T265_12134	FhHiC23_g1683.t1
OG0000006	T265_01228	FhHiC23_g9745.t1
OG0000006	T265_05256	FhHiC23_g6097.t1, FhHiC23_g10341.t1, FhHiC23_g7757.t1, FhHiC23_g8625.t1
OG0000006	T265_06454	FhHiC23_g15727.t1, FhHiC23_g9736.t1, FhHiC23_g12099.t1, FhHiC23_g7403.t1, FhHiC23_g13649.t1, FhHiC23_g7517.t1, FhHiC23_g8990.t1
OG0000009	T265_05386, T265_09113, T265_01730, T265_14900, T265_01906, T265_00922	FhHiC23_g12569.t1, FhHiC23_g10849.t1, FhHiC23_g14119.t1, FhHiC23_g10959.t1, FhHiC23_g9173.t1, FhHiC23_g5587.t1, FhHiC23_g9174.t1, FhHiC23_g4294.t1, FhHiC23_g4295.t1, FhHiC23_g4296.t1, FhHiC23_g15816.t1, FhHiC23_g15817.t1
OG0000009	T265_04043	FhHiC23_g9468.t1, FhHiC23_g7700.t1, FhHiC23_g1456.t1, FhHiC23_g1457.t1, FhHiC23_g7868.t1
OG0000009	T265_02768, T265_15882	FhHiC23_g673.t1
OG0000009	T265_02247	FhHiC23_g14320.t1
OG0000010	T265_07521	FhHiC23_g13905.t1
OG0000010	T265_04640	FhHiC23_g7574.t1, FhHiC23_g16107.t1, FhHiC23_g3945.t1, FhHiC23_g4164.t1
OG0000010	T265_00946	FhHiC23_g2221.t1
OG0000010	T265_06572, T265_07798, T265_13863, T265_04991	FhHiC23_g16183.t1
OG0000010	T265_12735, T265_13486, T265_03840, T265_05696, T265_01457, T265_03616, T265_05745, T265_15748, T265_03727	FhHiC23_g8175.t1
OG0000010	T265_03839, T265_08549	FhHiC23_g7781.t1
OG0000010	T265_03079	FhHiC23_g4342.t1, FhHiC23_g13481.t1, FhHiC23_g12470.t1, FhHiC23_g16493.t1
OG0000012	T265_16252, T265_09012	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
OG0000014	T265_11882	FhHiC23_g14469.t1
OG0000015	T265_11957	FhHiC23_g13988.t1, FhHiC23_g13993.t1
OG0000015	T265_11097	FhHiC23_g14071.t1
OG0000015	T265_06549, T265_06909, T265_06206	FhHiC23_g10739.t1
OG0000015	T265_01474, T265_01478, T265_01475	FhHiC23_g13997.t1, FhHiC23_g13996.t1
OG0000015	T265_15127	FhHiC23_g13999.t1
OG0000015	T265_11849, T265_12815, T265_15569	FhHiC23_g14207.t1
OG0000015	T265_04378	FhHiC23_g13669.t1
OG0000016	T265_07831	FhHiC23_g15709.t1, FhHiC23_g11805.t1
OG0000019	T265_07377	FhHiC23_g5935.t1, FhHiC23_g5936.t1
OG0000019	T265_13773	FhHiC23_g5529.t3, FhHiC23_g5529.t1, FhHiC23_g5529.t2, FhHiC23_g5529.t4, FhHiC23_g5529.t5, FhHiC23_g5529.t6, FhHiC23_g5529.t7
OG0000021	T265_12492	FhHiC23_g13529.t1
OG0000021	T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	FhHiC23_g12834.t1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2
OG0000022	T265_03268	FhHiC23_g10034.t1, FhHiC23_g10034.t2
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	FhHiC23_g2807.t1, FhHiC23_g14990.t1
OG0000023	T265_02351, T265_08565, T265_10803	FhHiC23_g8211.t1, FhHiC23_g8056.t1, FhHiC23_g497.t1, FhHiC23_g15906.t1
OG0000023	T265_07592, T265_05588	FhHiC23_g15084.t1, FhHiC23_g6571.t1, FhHiC23_g8903.t1, FhHiC23_g5620.t1, FhHiC23_g8562.t1, FhHiC23_g11804.t1, FhHiC23_g2427.t1
OG0000023	T265_09097	FhHiC23_g1952.t1
OG0000023	T265_04121, T265_09845, T265_00240, T265_00942, T265_10383	FhHiC23_g14877.t1
OG0000024	T265_04524, T265_12877	FhHiC23_g8663.t1
OG0000024	T265_08845	FhHiC23_g1523.t1
OG0000024	T265_07292	FhHiC23_g2599.t1
OG0000024	T265_03511	FhHiC23_g2596.t1
OG0000024	T265_01869	FhHiC23_g16265.t1
OG0000024	T265_13526	FhHiC23_g5242.t1
OG0000024	T265_07294	FhHiC23_g2601.t1
OG0000024	T265_14255	FhHiC23_g2598.t1
OG0000024	T265_07098	FhHiC23_g3909.t1
OG0000024	T265_10896, T265_12043, T265_03132	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1
OG0000024	T265_04046, T265_04047	FhHiC23_g1520.t1, FhHiC23_g1521.t1, FhHiC23_g1522.t1
OG0000026	T265_07485	FhHiC23_g1282.t1
OG0000026	T265_12778, T265_12779	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1
OG0000026	T265_13344, T265_13367	FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1
OG0000027	T265_14036	FhHiC23_g5213.t1
OG0000028	T265_03596	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3
OG0000028	T265_13290	FhHiC23_g3336.t1
OG0000029	T265_08214	FhHiC23_g7784.t2, FhHiC23_g7784.t1
OG0000029	T265_00572, T265_00570, T265_00571	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1
OG0000029	T265_09603	FhHiC23_g16497.t1
OG0000029	T265_11028, T265_15320, T265_05522	FhHiC23_g15510.t1, FhHiC23_g15705.t1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	FhHiC23_g16496.t1
OG0000029	T265_07465, T265_07466	FhHiC23_g15887.t1
OG0000030	T265_14111	FhHiC23_g11202.t1
OG0000031	T265_06361	FhHiC23_g15305.t1
OG0000032	T265_13222	FhHiC23_g13161.t1
OG0000032	T265_02106	FhHiC23_g12741.t1
OG0000032	T265_07146	FhHiC23_g13908.t1, FhHiC23_g13918.t1
OG0000032	T265_01645	FhHiC23_g3568.t1, FhHiC23_g3568.t2
OG0000032	T265_07282	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1
OG0000032	T265_07180	FhHiC23_g11680.t1
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999	FhHiC23_g13064.t1
OG0000034	T265_12688, T265_09004, T265_09005	FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1
OG0000035	T265_00972	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3
