Orthogroup	schistosoma_guineensis	schistosoma_mattheei
OG0000000	SGUI1_63710.1	SMTH1_83350.1
OG0000000	SGUI1_84060.1, SGUI1_13120.1	SMTH1_29220.1, SMTH1_81860.1
OG0000000	SGUI1_2200.1	SMTH1_106950.1, SMTH1_94740.1
OG0000000	SGUI1_30560.1	SMTH1_71430.1
OG0000000	SGUI1_65300.1	SMTH1_8740.1
OG0000000	SGUI1_37170.1, SGUI1_93610.1	SMTH1_47590.1
OG0000000	SGUI1_17850.1	SMTH1_77130.1
OG0000000	SGUI1_19340.1, SGUI1_81280.1, SGUI1_26270.1	SMTH1_24620.1
OG0000000	SGUI1_19010.1	SMTH1_820.1
OG0000000	SGUI1_51200.1	SMTH1_10620.1
OG0000000	SGUI1_23940.1, SGUI1_72970.1, SGUI1_80390.1, SGUI1_85530.1, SGUI1_40540.1	SMTH1_41800.1, SMTH1_6790.1
OG0000000	SGUI1_21020.1, SGUI1_5870.1, SGUI1_45370.1, SGUI1_35810.1	SMTH1_38000.1
OG0000000	SGUI1_9310.1, SGUI1_51190.1, SGUI1_76640.1, SGUI1_4030.1	SMTH1_91240.1
OG0000000	SGUI1_42670.1, SGUI1_67100.1	SMTH1_3250.1
OG0000000	SGUI1_21620.1, SGUI1_21620.2, SGUI1_53860.1, SGUI1_69340.1, SGUI1_18180.1, SGUI1_95760.1, SGUI1_31910.1, SGUI1_31910.2, SGUI1_31910.3, SGUI1_31910.4, SGUI1_31910.5	SMTH1_26170.1, SMTH1_46570.1
OG0000000	SGUI1_8640.1	SMTH1_450.1
OG0000000	SGUI1_30170.1	SMTH1_35470.1
OG0000002	SGUI1_68390.1, SGUI1_68390.2, SGUI1_68390.3, SGUI1_68390.4, SGUI1_68400.1	SMTH1_25620.1
OG0000002	SGUI1_79030.1, SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1	SMTH1_97440.1, SMTH1_97450.1
OG0000002	SGUI1_20860.1, SGUI1_63510.1, SGUI1_63520.1, SGUI1_63520.2, SGUI1_63520.3, SGUI1_63520.4, SGUI1_78380.1, SGUI1_5820.1, SGUI1_5820.2, SGUI1_5820.3, SGUI1_5820.4, SGUI1_5820.5, SGUI1_5820.6, SGUI1_53120.1, SGUI1_53120.2, SGUI1_53120.3, SGUI1_53120.4, SGUI1_53120.5, SGUI1_53120.6, SGUI1_17210.1, SGUI1_93450.1, SGUI1_3520.1, SGUI1_3520.2	SMTH1_104900.1
OG0000002	SGUI1_78590.1, SGUI1_78590.2, SGUI1_78590.3, SGUI1_78600.1, SGUI1_87510.1	SMTH1_76200.1, SMTH1_76200.2, SMTH1_76200.3, SMTH1_76200.4, SMTH1_9180.1, SMTH1_9180.2, SMTH1_9180.3, SMTH1_59920.2, SMTH1_58680.1, SMTH1_58690.1, SMTH1_58690.2, SMTH1_107630.1, SMTH1_107630.2, SMTH1_59920.1, SMTH1_63260.1, SMTH1_63260.2
OG0000003	SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1	SMTH1_51780.8
OG0000003	SGUI1_65880.2	SMTH1_51780.5, SMTH1_51780.7
OG0000003	SGUI1_64980.1	SMTH1_51780.1, SMTH1_51780.3
OG0000003	SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1	SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4
OG0000003	SGUI1_12980.19	SMTH1_63200.1
OG0000003	SGUI1_12980.19	SMTH1_63200.2
OG0000003	SGUI1_12980.19	SMTH1_63200.3
OG0000003	SGUI1_78310.4	SMTH1_63200.1
OG0000003	SGUI1_78310.4	SMTH1_63200.2
OG0000003	SGUI1_78310.4	SMTH1_63200.3
OG0000003	SGUI1_43280.1	SMTH1_103170.4, SMTH1_103180.3, SMTH1_103170.5, SMTH1_103180.4, SMTH1_103170.1, SMTH1_103170.2, SMTH1_103170.6, SMTH1_103180.1, SMTH1_103170.8, SMTH1_103170.7, SMTH1_103180.2, SMTH1_103170.3
OG0000004	SGUI1_20810.1	SMTH1_62820.1
OG0000004	SGUI1_36240.1	SMTH1_53750.1
OG0000004	SGUI1_94720.1	SMTH1_76680.1
OG0000004	SGUI1_59420.1	SMTH1_42190.1
OG0000004	SGUI1_64610.1	SMTH1_24600.1
OG0000004	SGUI1_80740.1	SMTH1_40470.1
OG0000004	SGUI1_43500.1, SGUI1_65720.1, SGUI1_52500.1, SGUI1_17400.1, SGUI1_35800.1, SGUI1_87470.1	SMTH1_6510.1
OG0000004	SGUI1_51600.1, SGUI1_5410.1, SGUI1_83380.1, SGUI1_62090.1	SMTH1_48810.1
OG0000004	SGUI1_61020.1, SGUI1_55970.1, SGUI1_86110.1	SMTH1_20460.1
OG0000004	SGUI1_50300.1	SMTH1_48240.1
OG0000004	SGUI1_74730.1	SMTH1_98470.1
OG0000004	SGUI1_42510.1	SMTH1_19350.1
OG0000004	SGUI1_66280.1	SMTH1_33620.1
OG0000004	SGUI1_74620.1	SMTH1_107180.1
OG0000004	SGUI1_91000.1	SMTH1_16260.1
OG0000005	SGUI1_22440.1	SMTH1_59350.1, SMTH1_59350.2, SMTH1_59350.3, SMTH1_59350.4
OG0000005	SGUI1_13160.1, SGUI1_13090.1, SGUI1_90020.1	SMTH1_95090.1, SMTH1_95090.2, SMTH1_95090.3, SMTH1_95100.1
OG0000005	SGUI1_46820.1, SGUI1_69540.1	SMTH1_51080.1
OG0000005	SGUI1_48720.1	SMTH1_23220.1, SMTH1_95660.1, SMTH1_97310.1
OG0000005	SGUI1_8030.1	SMTH1_45020.1
OG0000006	SGUI1_76880.1	SMTH1_68820.1
OG0000006	SGUI1_58630.1	SMTH1_12860.1, SMTH1_81330.1, SMTH1_87890.1, SMTH1_16210.1
OG0000006	SGUI1_16900.1, SGUI1_94880.1, SGUI1_10300.1, SGUI1_85180.1, SGUI1_51270.1	SMTH1_17810.1, SMTH1_103690.1
OG0000006	SGUI1_74190.1, SGUI1_53820.1	SMTH1_7160.1
OG0000006	SGUI1_46610.1, SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1	SMTH1_25140.1
OG0000006	SGUI1_58270.1, SGUI1_82620.1	SMTH1_35360.1
OG0000006	SGUI1_25930.1	SMTH1_35950.1, SMTH1_55240.1
OG0000008	SGUI1_58470.1	SMTH1_29710.1
OG0000008	SGUI1_2730.1	SMTH1_31760.1
OG0000008	SGUI1_72400.1	SMTH1_37390.1, SMTH1_91310.1
OG0000008	SGUI1_13750.3, SGUI1_41060.1	SMTH1_103950.1, SMTH1_93940.1, SMTH1_1390.1, SMTH1_75040.1
OG0000009	SGUI1_16910.1, SGUI1_66090.1	SMTH1_62180.1, SMTH1_26870.1
OG0000009	SGUI1_51380.1	SMTH1_59830.1
OG0000009	SGUI1_90400.1	SMTH1_79490.1
OG0000009	SGUI1_34150.1	SMTH1_140.1
OG0000009	SGUI1_35110.1	SMTH1_70120.1
OG0000009	SGUI1_95330.1	SMTH1_89240.1, SMTH1_89240.2
OG0000009	SGUI1_18020.1	SMTH1_102060.1, SMTH1_35110.1, SMTH1_50420.1, SMTH1_5550.1
OG0000009	SGUI1_31250.1	SMTH1_1660.1, SMTH1_1660.2
OG0000009	SGUI1_53900.1, SGUI1_47730.1, SGUI1_77190.1	SMTH1_39030.1
OG0000010	SGUI1_15990.1	SMTH1_90320.1
OG0000010	SGUI1_72840.1	SMTH1_98320.1
OG0000010	SGUI1_57400.1, SGUI1_74850.1	SMTH1_39190.1, SMTH1_88020.1
OG0000010	SGUI1_63390.1	SMTH1_102050.1, SMTH1_70050.1
OG0000012	SGUI1_40550.1	SMTH1_45260.1
OG0000014	SGUI1_38080.8	SMTH1_42310.7
OG0000014	SGUI1_38080.10	SMTH1_42310.19
OG0000014	SGUI1_38080.10	SMTH1_42310.4
OG0000014	SGUI1_38080.10	SMTH1_42310.5
OG0000014	SGUI1_38080.12	SMTH1_42310.19
OG0000014	SGUI1_38080.12	SMTH1_42310.4
OG0000014	SGUI1_38080.12	SMTH1_42310.5
OG0000014	SGUI1_38080.19	SMTH1_42310.19
OG0000014	SGUI1_38080.19	SMTH1_42310.4
OG0000014	SGUI1_38080.19	SMTH1_42310.5
OG0000014	SGUI1_38080.2	SMTH1_42310.19
OG0000014	SGUI1_38080.2	SMTH1_42310.4
OG0000014	SGUI1_38080.2	SMTH1_42310.5
OG0000014	SGUI1_38080.25	SMTH1_42310.19
OG0000014	SGUI1_38080.25	SMTH1_42310.4
OG0000014	SGUI1_38080.25	SMTH1_42310.5
OG0000014	SGUI1_38080.27	SMTH1_42310.19
OG0000014	SGUI1_38080.27	SMTH1_42310.4
OG0000014	SGUI1_38080.27	SMTH1_42310.5
OG0000014	SGUI1_38080.3	SMTH1_42310.19
OG0000014	SGUI1_38080.3	SMTH1_42310.4
OG0000014	SGUI1_38080.3	SMTH1_42310.5
OG0000014	SGUI1_38080.4	SMTH1_42310.2
OG0000014	SGUI1_38080.11	SMTH1_42310.13
OG0000014	SGUI1_38080.11	SMTH1_42310.14
OG0000014	SGUI1_38080.11	SMTH1_42310.17
OG0000014	SGUI1_38080.22	SMTH1_42310.13
OG0000014	SGUI1_38080.22	SMTH1_42310.14
OG0000014	SGUI1_38080.22	SMTH1_42310.17
OG0000014	SGUI1_38080.1	SMTH1_42310.3
OG0000014	SGUI1_38080.18, SGUI1_38080.17	SMTH1_42310.10
OG0000014	SGUI1_38080.7	SMTH1_42310.6
OG0000014	SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23	SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11
OG0000014	SGUI1_38080.14	SMTH1_42310.12
OG0000014	SGUI1_38080.9	SMTH1_42310.12
OG0000014	SGUI1_38080.5	SMTH1_42310.9
OG0000015	SGUI1_38090.2, SGUI1_38090.1	SMTH1_42330.1
