# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	SCUR1_29570.4	4115.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SCUR1_29570.1	4042.0	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SCUR1_29570.8	4038.3	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SCUR1_29570.6	4076.1	1933	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SCUR1_29570.5	3725.7	1761	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SCUR1_29570.7	3725.7	1761	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SCUR1_29570.2	3616.7	1699	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SCUR1_29570.3	3616.7	1699	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Duplicated	SCUR1_94880.2	1109.6	1136	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
9639at33208	Duplicated	SCUR1_98680.1	1010.3	1133	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
9639at33208	Duplicated	SCUR1_98680.4	971.8	1078	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
9639at33208	Duplicated	SCUR1_98680.2	948.6	1073	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
9639at33208	Duplicated	SCUR1_94880.1	1049.0	1050	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
9639at33208	Duplicated	SCUR1_98680.3	959.1	1042	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
9639at33208	Duplicated	SCUR1_94880.3	1025.6	1003	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Duplicated	SCUR1_34250.1	1195.5	1407	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
13816at33208	Duplicated	SCUR1_34250.2	1192.6	1384	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	SCUR1_6530.1	2114.4	1621	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Duplicated	SCUR1_21320.1	521.8	527	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
40200at33208	Duplicated	SCUR1_21320.2	527.2	500	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Duplicated	SCUR1_80420.2	1163.2	1177	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	SCUR1_80420.5	1073.5	1078	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	SCUR1_80420.1	1071.1	1071	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	SCUR1_80420.3	1027.7	1056	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	SCUR1_15100.1	1020.6	996	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	SCUR1_20870.1	1056.6	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Duplicated	SCUR1_3480.1	1801.2	1038	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
57158at33208	Duplicated	SCUR1_3480.2	1581.4	860	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Duplicated	SCUR1_38430.28	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.3	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.31	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.4	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.6	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.2	1896.0	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.10	1893.3	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.29	1893.3	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.30	1893.3	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.32	1893.3	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.33	1893.3	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.5	1893.3	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.7	1893.3	915	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.35	1887.1	884	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.36	1887.1	884	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.37	1887.1	884	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.34	1817.8	846	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.38	1817.8	846	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.15	1704.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.21	1704.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.22	1704.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.23	1704.8	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.1	1704.6	821	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.20	1701.5	810	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.24	1701.5	810	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.25	1701.5	810	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.26	1701.5	810	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.16	1695.1	779	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.17	1695.1	779	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.18	1695.1	779	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.19	1695.1	779	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.27	1695.1	779	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.9	1695.1	779	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SCUR1_38430.39	1626.0	741	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Missing
65302at33208	Duplicated	SCUR1_78400.2	804.9	922	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
65302at33208	Duplicated	SCUR1_78400.3	728.7	826	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Duplicated	SCUR1_47470.1	1202.7	862	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
66018at33208	Duplicated	SCUR1_47470.2	1202.7	862	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
66018at33208	Duplicated	SCUR1_47470.3	1202.7	862	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
66018at33208	Duplicated	SCUR1_47470.4	1202.7	862	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	SCUR1_32750.1	455.8	546	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Duplicated	SCUR1_80340.4	573.8	750	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	SCUR1_80340.2	573.3	750	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	SCUR1_80340.3	572.9	750	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	SCUR1_80340.1	572.8	750	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	SCUR1_80340.5	575.9	677	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Duplicated	SCUR1_26680.3	752.1	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
84980at33208	Duplicated	SCUR1_26680.4	750.9	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
84980at33208	Duplicated	SCUR1_26680.1	749.2	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	SCUR1_12140.1	233.3	427	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Duplicated	SCUR1_12730.1	435.2	660	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
99987at33208	Duplicated	SCUR1_12730.2	372.3	557	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	SCUR1_84580.1	1040.5	855	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	SCUR1_31480.1	294.1	575	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	SCUR1_8100.1	1271.3	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Duplicated	SCUR1_71020.1	130.4	405	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SCUR1_71020.2	130.0	405	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SCUR1_71020.3	130.0	405	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SCUR1_71020.4	130.0	405	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
107574at33208	Duplicated	SCUR1_71020.5	129.8	405	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Missing
109109at33208	Complete	SCUR1_8030.1	966.2	584	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Complete	SCUR1_47460.1	529.4	562	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Missing
114954at33208	Missing
115878at33208	Duplicated	SCUR1_53960.1	312.9	248	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
115878at33208	Duplicated	SCUR1_53960.2	280.9	225	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
115878at33208	Duplicated	SCUR1_53960.4	280.9	225	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
115878at33208	Duplicated	SCUR1_53960.5	280.9	225	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
115878at33208	Duplicated	SCUR1_53960.3	280.5	225	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Duplicated	SCUR1_49580.5	1576.0	858	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
118209at33208	Duplicated	SCUR1_49580.6	1575.8	858	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
118209at33208	Duplicated	SCUR1_49580.10	1570.8	856	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
118209at33208	Duplicated	SCUR1_49580.11	1430.9	780	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
118209at33208	Duplicated	SCUR1_49580.8	1430.8	780	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Duplicated	SCUR1_64300.1	833.7	561	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119252at33208	Duplicated	SCUR1_64300.2	742.6	484	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119591at33208	Complete	SCUR1_47130.1	1046.6	981	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Missing
123923at33208	Complete	SCUR1_11290.1	221.3	363	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Duplicated	SCUR1_38800.2	709.8	728	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	SCUR1_38800.3	709.8	728	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	SCUR1_38800.4	709.8	728	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	SCUR1_38800.5	709.8	728	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	SCUR1_38800.6	709.8	728	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	SCUR1_38800.7	709.8	728	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
124302at33208	Duplicated	SCUR1_38800.8	709.8	728	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Duplicated	SCUR1_18190.7	571.2	568	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.9	569.5	568	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.11	528.9	538	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.3	527.7	538	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.4	527.7	538	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.5	527.7	538	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.6	527.7	538	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.8	527.7	538	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.1	501.8	504	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.10	501.8	504	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	SCUR1_18190.2	501.8	504	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Complete	SCUR1_32320.1	657.8	534	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Complete	SCUR1_4200.1	295.1	312	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130256at33208	Complete	SCUR1_16150.3	320.0	528	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
131349at33208	Duplicated	SCUR1_31040.6	1225.9	904	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	SCUR1_31040.1	1223.9	904	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	SCUR1_31040.5	1125.8	843	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	SCUR1_31040.10	1185.3	823	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	SCUR1_31040.2	1060.3	795	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	SCUR1_31040.9	1059.6	795	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131848at33208	Missing
132087at33208	Duplicated	SCUR1_27470.2	565.2	677	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
132087at33208	Duplicated	SCUR1_27470.1	516.0	606	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
134492at33208	Complete	SCUR1_30850.1	919.3	867	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
135294at33208	Complete	SCUR1_4010.1	254.0	447	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
137383at33208	Duplicated	SCUR1_73810.1	780.4	634	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
137383at33208	Duplicated	SCUR1_73810.4	774.2	589	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
137383at33208	Duplicated	SCUR1_73810.5	774.2	589	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
139188at33208	Duplicated	SCUR1_22630.10	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.11	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.12	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.13	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.14	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.15	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.16	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.17	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.5	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.6	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.7	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.8	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.9	355.2	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.18	343.6	575	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.1	341.4	563	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.2	341.4	563	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.3	341.4	563	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	SCUR1_22630.4	341.4	563	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
143619at33208	Complete	SCUR1_29030.1	221.2	307	https://v10-1.orthodb.org/?query=143619at33208	GPI transamidase component PIG-T
143997at33208	Duplicated	SCUR1_17720.1	383.5	381	https://v10-1.orthodb.org/?query=143997at33208	Tetratricopeptide repeat
