Orthogroup	schistosoma_mansoni	fasciola_gigantica
OG0000000	Smp_130500.1	FGIG_01283
OG0000012	Smp_154760.1, Smp_154760.2	FGIG_00643
OG0000014	Smp_141630.1	FGIG_02434
OG0000015	Smp_326390.1, Smp_202130.1	FGIG_12126, FGIG_08847
OG0000015	Smp_201060.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	Smp_095520.1	FGIG_10471, FGIG_07736
OG0000015	Smp_320310.1	FGIG_03653
OG0000015	Smp_312630.1, Smp_302860.1, Smp_200180.1	FGIG_02432
OG0000015	Smp_322950.1	FGIG_05368, FGIG_05133
OG0000019	Smp_102690.1, Smp_179320.1	FGIG_11320
OG0000021	Smp_145560.1	FGIG_04378, FGIG_04728
OG0000021	Smp_245160.1	FGIG_06427, FGIG_06428
OG0000022	Smp_163420.1	FGIG_03596, FGIG_03595
OG0000024	Smp_103790.1	FGIG_02542
OG0000024	Smp_016780.1	FGIG_10904
OG0000024	Smp_027920.1	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	Smp_055780.1	FGIG_05063
OG0000026	Smp_336100.1, Smp_089200.1, Smp_089200.2	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	Smp_332600.2, Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8, Smp_332600.4, Smp_332600.7, Smp_332600.3, Smp_332600.5	FGIG_03818
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	Smp_072870.1	FGIG_01225
OG0000029	Smp_203130.1	FGIG_12390, FGIG_07520
OG0000029	Smp_307010.1, Smp_307020.1	FGIG_04785
OG0000029	Smp_183710.1, Smp_306600.1	FGIG_11109
OG0000030	Smp_174960.1	FGIG_03562
OG0000031	Smp_017010.1	FGIG_00219, FGIG_09645
OG0000032	Smp_313990.1, Smp_164480.1	FGIG_12135
