Orthogroup	schistosoma_intercalatum	schmidtea_mediterranea
OG0000000	SINT1_81660.1, SINT1_78550.1, SINT1_25980.1, SINT1_27320.1, SINT1_96870.1, SINT1_6730.1, SINT1_37360.1, SINT1_12850.1, SINT1_15610.1, SINT1_84010.1, SINT1_70220.1, SINT1_41510.1, SINT1_82320.1, SINT1_92270.1, SINT1_2880.1, SINT1_19950.1, SINT1_84740.1, SINT1_58740.1, SINT1_47500.1, SINT1_62850.1, SINT1_48570.1, SINT1_51520.1, SINT1_95850.1, SINT1_65930.1, SINT1_59000.1, SINT1_2420.1, SINT1_2490.1, SINT1_31720.1, SINT1_89410.1, SINT1_77770.1, SINT1_3960.1, SINT1_13010.1, SINT1_3870.1, SINT1_3900.1, SINT1_75520.1, SINT1_54070.1, SINT1_18930.1, SINT1_40970.1, SINT1_18270.1, SINT1_52290.1, SINT1_10040.1, SINT1_41760.1, SINT1_41170.1, SINT1_23230.1, SINT1_90690.1, SINT1_49080.1, SINT1_58080.1, SINT1_70180.1, SINT1_42170.1, SINT1_52230.1, SINT1_7970.1, SINT1_23210.1, SINT1_45530.1, SINT1_81240.1, SINT1_14480.1, SINT1_5480.1, SINT1_6180.1, SINT1_51150.1, SINT1_62500.1	h1SMcT0000914.1
OG0000002	SINT1_48900.1, SINT1_56800.1, SINT1_56800.2, SINT1_56800.3, SINT1_56800.4, SINT1_56810.1, SINT1_86910.1, SINT1_86920.1, SINT1_1990.1, SINT1_1990.2, SINT1_1990.3	h1SMcT0001934.1
OG0000009	SINT1_95730.1, SINT1_75940.1, SINT1_45500.1, SINT1_14510.1, SINT1_51070.1, SINT1_51490.1, SINT1_36860.1, SINT1_55890.1, SINT1_45810.1	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	SINT1_67560.1, SINT1_95990.1, SINT1_88190.1, SINT1_19160.1, SINT1_41460.1, SINT1_4710.1, SINT1_4710.2, SINT1_74240.1, SINT1_9600.1, SINT1_5620.1, SINT1_19890.2, SINT1_19890.1, SINT1_72940.1, SINT1_20380.1, SINT1_86690.1, SINT1_47300.1, SINT1_58650.1, SINT1_41230.1, SINT1_51180.1, SINT1_16810.1, SINT1_49820.1, SINT1_81220.1, SINT1_92780.1, SINT1_81210.1, SINT1_7650.1, SINT1_9310.1, SINT1_54220.1	h1SMcT0012568.1
OG0000012	SINT1_40600.24, SINT1_40600.23, SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	SINT1_38300.1, SINT1_65310.1, SINT1_65320.1, SINT1_38460.1, SINT1_38470.1, SINT1_38470.2, SINT1_43600.1, SINT1_43670.1, SINT1_42740.3, SINT1_42740.4, SINT1_42760.1, SINT1_42740.1, SINT1_42740.2, SINT1_42780.1, SINT1_10280.1	h1SMcT0022961.1
OG0000019	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5, SINT1_36670.11	h1SMcT0009829.1
OG0000021	SINT1_8390.1, SINT1_5840.1, SINT1_5850.1, SINT1_5860.1, SINT1_5810.2, SINT1_5810.1, SINT1_5820.1, SINT1_5830.1, SINT1_5790.2, SINT1_5790.1	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
OG0000022	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
