Orthogroup	schistosoma_margrebowiei	schistosoma_haematobium
OG0000000	SMRG1_80800.1, SMRG1_31050.1, SMRG1_4170.1	SHAE2_74450.1
OG0000000	SMRG1_66210.1, SMRG1_47530.1, SMRG1_15370.1, SMRG1_22940.1, SMRG1_22940.2, SMRG1_39150.1, SMRG1_77850.1, SMRG1_59880.1	SHAE2_63900.1
OG0000000	SMRG1_40630.1, SMRG1_53580.1	SHAE2_68120.1, SHAE2_12020.1, SHAE2_18070.1
OG0000000	SMRG1_74230.1	SHAE2_24870.1
OG0000000	SMRG1_35130.1	SHAE2_75110.1
OG0000000	SMRG1_64020.1	SHAE2_31870.1
OG0000000	SMRG1_20570.1	SHAE2_77190.1, SHAE2_77190.2
OG0000000	SMRG1_2750.1	SHAE2_44510.1
OG0000000	SMRG1_50500.1, SMRG1_86820.1, SMRG1_72600.1, SMRG1_84770.1, SMRG1_11880.1, SMRG1_59440.1	SHAE2_36390.1
OG0000000	SMRG1_92830.1	SHAE2_51630.1
OG0000000	SMRG1_65790.1	SHAE2_62810.1
OG0000000	SMRG1_9710.1	SHAE2_54860.1, SHAE2_68440.1
OG0000000	SMRG1_72270.1	SHAE2_51070.1
OG0000000	SMRG1_42550.1, SMRG1_26810.1	SHAE2_29830.1, SHAE2_30190.1
OG0000000	SMRG1_39800.1	SHAE2_49000.1
OG0000000	SMRG1_75870.1	SHAE2_67380.1, SHAE2_67390.1
OG0000000	SMRG1_10830.1, SMRG1_93580.1, SMRG1_43020.1	SHAE2_33930.1
OG0000000	SMRG1_35620.1	SHAE2_77100.1
OG0000000	SMRG1_45810.1	SHAE2_43990.1, SHAE2_76270.1
OG0000002	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1	SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5
OG0000002	SMRG1_32870.1, SMRG1_91560.1, SMRG1_91560.2, SMRG1_91560.3, SMRG1_91560.4, SMRG1_91560.5, SMRG1_91560.6, SMRG1_91560.7, SMRG1_91570.1, SMRG1_34740.1, SMRG1_34740.10, SMRG1_34740.12, SMRG1_34740.13, SMRG1_34740.2, SMRG1_34740.3, SMRG1_34740.4, SMRG1_34740.5, SMRG1_34740.6, SMRG1_34740.7, SMRG1_34740.8, SMRG1_34740.9, SMRG1_34750.1, SMRG1_72800.1, SMRG1_72800.2, SMRG1_72800.3, SMRG1_72800.4, SMRG1_72800.5, SMRG1_72800.6, SMRG1_89490.1, SMRG1_89490.2	SHAE2_77780.2, SHAE2_77780.3, SHAE2_77780.1, SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3, SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2, SHAE2_77790.1
OG0000003	SMRG1_97880.2, SMRG1_97880.3, SMRG1_97880.7, SMRG1_97880.8, SMRG1_97880.9, SMRG1_97880.13, SMRG1_97880.6, SMRG1_97880.11, SMRG1_97880.4, SMRG1_97880.10, SMRG1_97880.12, SMRG1_97880.5, SMRG1_97880.1	SHAE2_20960.1, SHAE2_24270.4, SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2, SHAE2_64480.3, SHAE2_70960.1, SHAE2_70960.2, SHAE2_70960.3, SHAE2_70960.4, SHAE2_64480.5, SHAE2_91290.2, SHAE2_91290.4, SHAE2_91290.3, SHAE2_24270.7, SHAE2_91290.1, SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5
OG0000003	SMRG1_26290.1, SMRG1_26290.2	SHAE2_43020.12, SHAE2_43020.14, SHAE2_43020.15, SHAE2_43020.16, SHAE2_43020.18, SHAE2_43020.11, SHAE2_43020.9, SHAE2_43020.13, SHAE2_43020.17
OG0000003	SMRG1_82840.1, SMRG1_82840.2, SMRG1_81490.5, SMRG1_81490.6, SMRG1_81490.1, SMRG1_82840.5, SMRG1_81490.4, SMRG1_81490.2, SMRG1_64980.1, SMRG1_64980.3, SMRG1_81490.3, SMRG1_81490.7, SMRG1_64130.1, SMRG1_82840.3, SMRG1_82840.4, SMRG1_37000.1, SMRG1_64980.2, SMRG1_34870.1	SHAE2_85630.2
OG0000003	SMRG1_78350.10, SMRG1_78350.11, SMRG1_78350.13, SMRG1_78350.15, SMRG1_78350.7, SMRG1_78350.8, SMRG1_78350.9, SMRG1_78350.12, SMRG1_78350.1, SMRG1_78350.2, SMRG1_78350.3, SMRG1_78350.5, SMRG1_78350.14, SMRG1_78350.4, SMRG1_78350.6	SHAE2_82280.2, SHAE2_82280.1, SHAE2_82280.3
OG0000004	SMRG1_64480.1	SHAE2_43050.1, SHAE2_54530.1
OG0000004	SMRG1_21460.1	SHAE2_24480.1
OG0000004	SMRG1_71400.1	SHAE2_50920.1
OG0000004	SMRG1_82070.1	SHAE2_20290.1
OG0000004	SMRG1_60720.1	SHAE2_47490.1
OG0000004	SMRG1_52400.1	SHAE2_96260.1, SHAE2_96260.2
OG0000005	SMRG1_22610.1, SMRG1_61910.1, SMRG1_16540.1, SMRG1_16520.1	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1
OG0000005	SMRG1_43520.1, SMRG1_32650.1, SMRG1_72200.1	SHAE2_55620.1
OG0000005	SMRG1_97660.1, SMRG1_8560.1	SHAE2_24880.1, SHAE2_48280.1, SHAE2_24890.1, SHAE2_17810.1, SHAE2_98820.1
OG0000005	SMRG1_95200.1, SMRG1_54410.1	SHAE2_67630.1
OG0000005	SMRG1_88960.1	SHAE2_16280.1, SHAE2_57870.1, SHAE2_91870.1, SHAE2_24130.1, SHAE2_25130.1, SHAE2_25130.2, SHAE2_12820.1, SHAE2_12830.1, SHAE2_89030.1, SHAE2_23190.1, SHAE2_29330.1, SHAE2_71560.1, SHAE2_3410.1
OG0000006	SMRG1_81460.1, SMRG1_76890.1, SMRG1_33990.1	SHAE2_55900.1
OG0000006	SMRG1_14940.1, SMRG1_64070.1	SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1
OG0000006	SMRG1_96150.1	SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1
OG0000006	SMRG1_26330.1	SHAE2_63560.1, SHAE2_50040.1
