Orthogroup	schistosoma_guineensis	schistosoma_spindale
OG0000000	SGUI1_63710.1	SSPN1_37210.1, SSPN1_61060.1, SSPN1_20270.1
OG0000000	SGUI1_80190.1	SSPN1_17390.1
OG0000000	SGUI1_35040.1	SSPN1_48580.1
OG0000000	SGUI1_66860.1	SSPN1_890.1, SSPN1_890.2, SSPN1_11550.1, SSPN1_18830.1, SSPN1_82850.1, SSPN1_86670.1, SSPN1_48920.1, SSPN1_7960.1, SSPN1_74880.1, SSPN1_69150.1, SSPN1_65120.1, SSPN1_72030.1, SSPN1_63740.1, SSPN1_46140.1, SSPN1_93400.1, SSPN1_27820.1, SSPN1_32780.1, SSPN1_89540.1, SSPN1_17560.1, SSPN1_30570.1, SSPN1_8650.1
OG0000000	SGUI1_51200.1	SSPN1_7780.1
OG0000000	SGUI1_64180.1	SSPN1_52320.1
OG0000000	SGUI1_32290.1	SSPN1_62800.1
OG0000000	SGUI1_93570.1	SSPN1_76950.1, SSPN1_26180.1
OG0000000	SGUI1_82770.1	SSPN1_8190.1
OG0000000	SGUI1_55010.1, SGUI1_90550.1, SGUI1_53490.1, SGUI1_21620.1, SGUI1_21620.2, SGUI1_53860.1, SGUI1_69340.1, SGUI1_18180.1, SGUI1_95760.1, SGUI1_31910.1, SGUI1_31910.2, SGUI1_31910.3, SGUI1_31910.4, SGUI1_31910.5, SGUI1_69020.1, SGUI1_39480.1, SGUI1_8640.1, SGUI1_30170.1	SSPN1_20930.1
OG0000002	SGUI1_47330.1, SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6, SGUI1_79030.1, SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1, SGUI1_13840.1, SGUI1_25370.1, SGUI1_25370.2, SGUI1_20860.1, SGUI1_63510.1, SGUI1_63520.1, SGUI1_63520.2, SGUI1_63520.3, SGUI1_63520.4, SGUI1_78380.1, SGUI1_5820.1, SGUI1_5820.2, SGUI1_5820.3, SGUI1_5820.4, SGUI1_5820.5, SGUI1_5820.6, SGUI1_53120.1, SGUI1_53120.2, SGUI1_53120.3, SGUI1_53120.4, SGUI1_53120.5, SGUI1_53120.6, SGUI1_17210.1, SGUI1_93450.1, SGUI1_3520.1, SGUI1_3520.2, SGUI1_78590.1, SGUI1_78590.2, SGUI1_78590.3, SGUI1_78600.1, SGUI1_87510.1	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1
OG0000003	SGUI1_88310.1, SGUI1_88310.10, SGUI1_88310.2, SGUI1_88310.3, SGUI1_88310.4, SGUI1_88310.5, SGUI1_88310.6, SGUI1_88310.7, SGUI1_88310.8, SGUI1_88310.9, SGUI1_48420.1, SGUI1_39580.2, SGUI1_39580.4, SGUI1_39580.1, SGUI1_39580.3, SGUI1_4310.2, SGUI1_37100.5, SGUI1_37100.2, SGUI1_4310.3, SGUI1_4310.4, SGUI1_4310.5, SGUI1_4310.1, SGUI1_39580.5, SGUI1_28570.1, SGUI1_28570.2, SGUI1_54350.2, SGUI1_54350.3, SGUI1_54350.4, SGUI1_64140.1, SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1, SGUI1_65880.2, SGUI1_65880.4, SGUI1_12980.1, SGUI1_12980.3, SGUI1_12980.7, SGUI1_12980.8, SGUI1_12980.2, SGUI1_12980.4, SGUI1_12980.5, SGUI1_12980.6, SGUI1_64980.1, SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1, SGUI1_12980.12, SGUI1_12980.13, SGUI1_12980.14, SGUI1_12980.15, SGUI1_12130.3, SGUI1_12980.11, SGUI1_12980.9, SGUI1_78310.1, SGUI1_12130.4, SGUI1_12130.2, SGUI1_3720.1, SGUI1_31530.3, SGUI1_31530.6, SGUI1_31530.1, SGUI1_31530.2, SGUI1_31530.4, SGUI1_19480.1, SGUI1_19480.2, SGUI1_19480.4, SGUI1_31530.7, SGUI1_31530.5, SGUI1_12130.5, SGUI1_12980.16, SGUI1_12980.17, SGUI1_78310.2, SGUI1_22480.2, SGUI1_22480.3, SGUI1_75660.4, SGUI1_75660.6, SGUI1_75660.1, SGUI1_75660.3, SGUI1_75660.5, SGUI1_22480.1, SGUI1_22480.4, SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3, SGUI1_43280.1, SGUI1_86310.1, SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7
OG0000004	SGUI1_20810.1	SSPN1_33090.1
OG0000004	SGUI1_36240.1	SSPN1_73490.1
OG0000004	SGUI1_43770.1	SSPN1_32420.1
OG0000004	SGUI1_43500.1, SGUI1_65720.1, SGUI1_52500.1, SGUI1_17400.1, SGUI1_35800.1, SGUI1_87470.1	SSPN1_38590.1
OG0000004	SGUI1_48100.1	SSPN1_21870.1, SSPN1_54040.1, SSPN1_37030.1, SSPN1_26640.1, SSPN1_8100.1, SSPN1_35770.1, SSPN1_69680.1
OG0000004	SGUI1_14290.1, SGUI1_67740.1	SSPN1_3050.1
OG0000005	SGUI1_22440.1, SGUI1_13160.1, SGUI1_13090.1, SGUI1_90020.1	SSPN1_32330.1, SSPN1_34260.1
OG0000005	SGUI1_46820.1, SGUI1_69540.1	SSPN1_47380.1
OG0000005	SGUI1_75960.1, SGUI1_77060.1	SSPN1_80810.1, SSPN1_28240.1, SSPN1_30380.1
OG0000005	SGUI1_61360.1, SGUI1_8270.1, SGUI1_24780.1, SGUI1_5770.1, SGUI1_6690.1, SGUI1_96750.1, SGUI1_9070.1, SGUI1_68570.1, SGUI1_72710.1, SGUI1_58210.1, SGUI1_43580.1	SSPN1_71310.1, SSPN1_17050.1, SSPN1_13610.1, SSPN1_93030.1, SSPN1_56500.1, SSPN1_7590.1, SSPN1_68170.1, SSPN1_4920.1, SSPN1_67580.1, SSPN1_16380.1, SSPN1_19400.1, SSPN1_58520.1, SSPN1_22720.1, SSPN1_65180.1, SSPN1_65170.1, SSPN1_52180.1, SSPN1_18700.1, SSPN1_12300.1, SSPN1_61490.1, SSPN1_33990.1, SSPN1_50600.1, SSPN1_6350.1, SSPN1_80390.1, SSPN1_19200.1, SSPN1_77840.1, SSPN1_32930.1, SSPN1_11080.1, SSPN1_21990.1, SSPN1_30460.1, SSPN1_12590.1, SSPN1_62690.1, SSPN1_62700.1, SSPN1_81500.1, SSPN1_6170.1, SSPN1_6170.2, SSPN1_30040.1, SSPN1_21930.1, SSPN1_86330.1, SSPN1_61000.1, SSPN1_76190.1, SSPN1_49200.1, SSPN1_86550.1
OG0000006	SGUI1_76880.1, SGUI1_58630.1, SGUI1_57070.1	SSPN1_21890.1, SSPN1_9770.1
OG0000006	SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1	SSPN1_29180.1
OG0000008	SGUI1_53450.1, SGUI1_38260.1, SGUI1_9390.1, SGUI1_9390.2, SGUI1_67330.1, SGUI1_16340.1, SGUI1_13020.1, SGUI1_13750.1, SGUI1_12660.1, SGUI1_12540.1, SGUI1_47370.1, SGUI1_27000.1, SGUI1_90850.1, SGUI1_57630.1, SGUI1_39120.1, SGUI1_1320.1, SGUI1_29210.1, SGUI1_1190.1, SGUI1_10740.1, SGUI1_47340.1, SGUI1_58470.1, SGUI1_2730.1, SGUI1_72400.1, SGUI1_13750.3, SGUI1_41060.1	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1
OG0000009	SGUI1_81230.1	SSPN1_9010.1
OG0000009	SGUI1_35110.1	SSPN1_18600.1, SSPN1_5930.1, SSPN1_8390.1, SSPN1_65410.1
OG0000009	SGUI1_95330.1	SSPN1_90120.1, SSPN1_19830.1
OG0000009	SGUI1_18020.1	SSPN1_81030.1
OG0000012	SGUI1_40550.1	SSPN1_39340.1
OG0000014	SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	SSPN1_32740.1
OG0000015	SGUI1_38090.2, SGUI1_38090.1	SSPN1_32720.1
OG0000015	SGUI1_66240.1	SSPN1_58870.1
OG0000015	SGUI1_38300.1	SSPN1_32590.1
OG0000015	SGUI1_43650.1	SSPN1_42240.1
OG0000016	SGUI1_36680.1, SGUI1_42920.1, SGUI1_67160.1, SGUI1_62150.1, SGUI1_81820.1, SGUI1_93260.1	SSPN1_30120.1
OG0000016	SGUI1_17330.1	SSPN1_43120.1, SSPN1_5650.1, SSPN1_58720.1, SSPN1_49770.1, SSPN1_93180.11, SSPN1_93180.12, SSPN1_93180.13, SSPN1_93180.14, SSPN1_93180.15, SSPN1_93180.16, SSPN1_93180.17, SSPN1_93180.4, SSPN1_93180.7, SSPN1_93180.9, SSPN1_93180.1, SSPN1_93180.10, SSPN1_93180.2, SSPN1_93180.3, SSPN1_93180.5, SSPN1_93180.6, SSPN1_93180.8, SSPN1_9040.1
OG0000018	SGUI1_95460.1, SGUI1_49660.2, SGUI1_49660.5, SGUI1_70620.1, SGUI1_49660.3, SGUI1_49660.4, SGUI1_49660.6, SGUI1_27910.1, SGUI1_27920.1, SGUI1_49660.1, SGUI1_4330.2, SGUI1_4340.2, SGUI1_4330.4, SGUI1_4340.4, SGUI1_7860.1, SGUI1_4330.3, SGUI1_4330.5, SGUI1_4340.3, SGUI1_4340.5, SGUI1_4330.1, SGUI1_4340.1, SGUI1_72780.2, SGUI1_72780.1, SGUI1_72780.3, SGUI1_63130.1, SGUI1_63130.2, SGUI1_63130.3, SGUI1_87320.1	SSPN1_79080.3, SSPN1_79080.4, SSPN1_79080.5, SSPN1_79080.6, SSPN1_79080.7, SSPN1_84460.1, SSPN1_86440.1, SSPN1_79080.1, SSPN1_79080.2
OG0000019	SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7	SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16
OG0000019	SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3
OG0000020	SGUI1_92580.1, SGUI1_92580.3, SGUI1_92580.2	SSPN1_88770.2, SSPN1_88770.3
OG0000020	SGUI1_92580.5, SGUI1_92580.6, SGUI1_92580.4, SGUI1_92580.7	SSPN1_88770.10
OG0000020	SGUI1_92560.11, SGUI1_92560.3, SGUI1_92560.9, SGUI1_92560.10, SGUI1_92560.6, SGUI1_92560.7, SGUI1_92560.8, SGUI1_92560.5, SGUI1_92560.2, SGUI1_92560.4, SGUI1_92560.12, SGUI1_92560.13, SGUI1_92560.16, SGUI1_92560.17, SGUI1_92560.14, SGUI1_92560.15, SGUI1_92560.1	SSPN1_88760.1, SSPN1_88770.1
OG0000021	SGUI1_7740.1	SSPN1_8230.1
OG0000021	SGUI1_5500.1	SSPN1_5720.1
OG0000021	SGUI1_5470.3, SGUI1_5470.1, SGUI1_5470.2	SSPN1_5680.1, SSPN1_5680.2
OG0000021	SGUI1_5480.1	SSPN1_5700.1
OG0000021	SGUI1_5490.1	SSPN1_5710.1
