Orthogroup	trichobilharzia_regenti	schistosoma_bovis
OG0000000	TREG1_95580.1, TREG1_73090.1, TREG1_86490.1, TREG1_76630.1, TREG1_93090.1, TREG1_6350.1	SBOV2_45580.1
OG0000002	TREG1_121520.1	SBOV2_50780.1, SBOV2_50780.2
OG0000003	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1	SBOV2_12150.1, SBOV2_12150.2, SBOV2_42190.1, SBOV2_42200.1, SBOV2_22620.3, SBOV2_32260.1, SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6, SBOV2_32260.3, SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2, SBOV2_67820.4, SBOV2_27480.1, SBOV2_45640.1, SBOV2_45640.2, SBOV2_45640.3, SBOV2_39590.1, SBOV2_67820.2, SBOV2_67820.3, SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3, SBOV2_67820.1, SBOV2_45640.4, SBOV2_96560.1, SBOV2_96560.2, SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1
OG0000006	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1	SBOV2_16310.1, SBOV2_18200.1, SBOV2_32360.1, SBOV2_3690.1, SBOV2_58460.1, SBOV2_59330.1, SBOV2_9090.1
OG0000006	TREG1_87190.1, TREG1_132660.1, TREG1_1940.1	SBOV2_82790.1, SBOV2_14350.1
OG0000009	TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1	SBOV2_1710.1
OG0000009	TREG1_34410.1, TREG1_97720.1, TREG1_4790.1, TREG1_3250.1, TREG1_132080.1, TREG1_92940.1, TREG1_21490.1, TREG1_140340.1, TREG1_81780.1, TREG1_71370.1, TREG1_15380.1, TREG1_102720.1, TREG1_87620.1, TREG1_18280.1, TREG1_5270.1, TREG1_8140.1	SBOV2_62130.1, SBOV2_91300.1
OG0000009	TREG1_113410.1	SBOV2_58610.1
OG0000009	TREG1_7850.1	SBOV2_15160.1
OG0000009	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2	SBOV2_89880.1, SBOV2_95460.1, SBOV2_22370.1, SBOV2_71130.1, SBOV2_45750.1
OG0000009	TREG1_79630.1	SBOV2_76620.1, SBOV2_70920.1, SBOV2_28290.1
OG0000009	TREG1_135740.1, TREG1_119030.1, TREG1_10810.1, TREG1_34710.1, TREG1_47610.1, TREG1_60060.1, TREG1_135720.1, TREG1_3570.1	SBOV2_81720.1, SBOV2_10990.1
