Orthogroup	schistosoma_intercalatum	opisthorchis_viverrini
OG0000000	SINT1_78550.1	T265_08265, T265_07213
OG0000000	SINT1_27320.1	T265_02252
OG0000000	SINT1_96870.1	T265_00642
OG0000000	SINT1_6730.1	T265_02938, T265_10989
OG0000000	SINT1_51520.1, SINT1_95850.1	T265_14993, T265_02443
OG0000000	SINT1_65930.1, SINT1_59000.1, SINT1_2420.1, SINT1_2490.1	T265_10065
OG0000000	SINT1_75520.1	T265_06680
OG0000000	SINT1_18270.1	T265_08292
OG0000000	SINT1_52290.1	T265_06106
OG0000000	SINT1_10040.1	T265_03992
OG0000000	SINT1_41760.1	T265_03740
OG0000000	SINT1_41170.1	T265_07508
OG0000000	SINT1_23230.1	T265_05251
OG0000000	SINT1_5480.1	T265_05739, T265_04107
OG0000002	SINT1_48900.1, SINT1_56800.1, SINT1_56800.2, SINT1_56800.3, SINT1_56800.4, SINT1_56810.1, SINT1_86910.1, SINT1_86920.1, SINT1_1990.1, SINT1_1990.2, SINT1_1990.3	T265_11803
OG0000003	SINT1_17140.5, SINT1_17140.1, SINT1_17320.4, SINT1_17320.6, SINT1_17140.7, SINT1_17320.5, SINT1_35410.1, SINT1_35410.2, SINT1_35410.5, SINT1_35410.3, SINT1_35410.6, SINT1_35410.4, SINT1_35410.7, SINT1_35410.8, SINT1_17320.3, SINT1_17320.8, SINT1_17320.1, SINT1_17320.2, SINT1_17320.7, SINT1_17140.4, SINT1_17140.6, SINT1_17140.3, SINT1_890.1, SINT1_17140.2, SINT1_14050.1, SINT1_77110.1, SINT1_64680.5, SINT1_64680.2, SINT1_86810.1, SINT1_75910.6, SINT1_75910.5, SINT1_75910.4, SINT1_75910.1, SINT1_75910.2, SINT1_75910.3, SINT1_75910.8, SINT1_75910.7, SINT1_64680.3, SINT1_64680.4, SINT1_64680.1, SINT1_86810.3, SINT1_86810.2, SINT1_21700.1, SINT1_21700.2, SINT1_48210.2, SINT1_94580.1, SINT1_48210.1, SINT1_34760.1, SINT1_34760.2	T265_11432
OG0000005	SINT1_26890.1, SINT1_6630.1, SINT1_18860.1, SINT1_32790.1, SINT1_94730.1, SINT1_69100.1, SINT1_48750.1, SINT1_13590.1, SINT1_26950.1, SINT1_44150.1	T265_11244
OG0000006	SINT1_39810.1, SINT1_59640.1, SINT1_85130.1, SINT1_66770.1, SINT1_56700.1, SINT1_94430.1, SINT1_14410.1, SINT1_25480.1, SINT1_5030.1, SINT1_76970.1	T265_12134
OG0000006	SINT1_6110.1, SINT1_49590.1, SINT1_9870.1, SINT1_500.1, SINT1_500.3, SINT1_500.2	T265_06454
OG0000010	SINT1_9310.1, SINT1_54220.1	T265_00181
OG0000012	SINT1_40600.24, SINT1_40600.23, SINT1_40600.22, SINT1_40600.15, SINT1_40600.8, SINT1_40600.13, SINT1_40600.18, SINT1_40600.11, SINT1_40600.2, SINT1_40600.12, SINT1_40600.6, SINT1_40600.4, SINT1_40600.1, SINT1_40600.5, SINT1_40600.7, SINT1_40600.19, SINT1_40600.3, SINT1_40600.9, SINT1_40600.16, SINT1_40600.17, SINT1_40600.10, SINT1_40600.14, SINT1_40600.21, SINT1_40600.20	T265_16252, T265_09012
