Orthogroup	fasciola_gigantica	schistosoma_haematobium
OG0000008	FGIG_01604	SHAE2_26220.1, SHAE2_83090.1, SHAE2_93330.1, SHAE2_4460.1, SHAE2_42580.1, SHAE2_91950.1, SHAE2_76110.1, SHAE2_34250.1, SHAE2_71990.1, SHAE2_99780.1, SHAE2_99780.2, SHAE2_18360.1, SHAE2_51810.1, SHAE2_14800.1, SHAE2_14800.2, SHAE2_67600.1, SHAE2_89880.1, SHAE2_16190.1, SHAE2_39280.1, SHAE2_49860.1, SHAE2_50850.1, SHAE2_4090.1, SHAE2_49140.1, SHAE2_68170.1, SHAE2_93370.1
OG0000010	FGIG_10402	SHAE2_30800.1, SHAE2_26010.1
OG0000012	FGIG_00643	SHAE2_43510.24, SHAE2_43510.26, SHAE2_43510.25, SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8, SHAE2_43510.27
OG0000014	FGIG_02434	SHAE2_41120.28, SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26, SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6, SHAE2_41120.15
OG0000015	FGIG_12126, FGIG_08847	SHAE2_70060.1, SHAE2_70070.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	SHAE2_41370.1
OG0000015	FGIG_10471, FGIG_07736	SHAE2_41380.1
OG0000015	FGIG_03653	SHAE2_46480.1
OG0000015	FGIG_02432	SHAE2_45590.1, SHAE2_45600.1
OG0000015	FGIG_05368, FGIG_05133	SHAE2_11980.1
OG0000019	FGIG_11320	SHAE2_39640.11, SHAE2_39640.1, SHAE2_39640.9, SHAE2_39640.10, SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7, SHAE2_39640.3, SHAE2_39640.12, SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000021	FGIG_04378, FGIG_04728	SHAE2_10160.1
OG0000021	FGIG_06427, FGIG_06428	SHAE2_6330.1, SHAE2_6330.2
OG0000022	FGIG_03596, FGIG_03595	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000024	FGIG_02542	SHAE2_26160.1
OG0000024	FGIG_10904	SHAE2_96950.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6
OG0000026	FGIG_05063	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3, SHAE2_76510.1, SHAE2_76510.2
OG0000027	FGIG_03818	SHAE2_42940.1
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	FGIG_01225	SHAE2_61420.1
