Orthogroup	s.mekongi	fasciola_hepatica
OG0000000	KAK4474313.1, KAK4474221.1	FhHiC23_g12874.t1, FhHiC23_g1880.t1, FhHiC23_g10085.t1
OG0000000	KAK4467292.1	FhHiC23_g11020.t1, FhHiC23_g13776.t1, FhHiC23_g7392.t1
OG0000002	KAK4474338.1	FhHiC23_g11395.t1, FhHiC23_g6457.t1, FhHiC23_g12174.t1, FhHiC23_g15989.t1, FhHiC23_g14168.t1, FhHiC23_g4424.t1, FhHiC23_g14413.t1, FhHiC23_g14494.t1, FhHiC23_g8927.t1, FhHiC23_g6605.t1, FhHiC23_g14702.t1, FhHiC23_g14803.t1, FhHiC23_g4433.t1, FhHiC23_g4648.t1, FhHiC23_g9124.t1, FhHiC23_g13104.t1, FhHiC23_g16479.t1, FhHiC23_g16648.t1, FhHiC23_g6428.t1, FhHiC23_g9650.t1, FhHiC23_g14578.t1, FhHiC23_g6426.t1, FhHiC23_g7595.t1, FhHiC23_g16649.t1, FhHiC23_g14421.t1, FhHiC23_g10416.t1, FhHiC23_g6459.t1, FhHiC23_g14577.t1, FhHiC23_g3851.t1, FhHiC23_g10692.t1, FhHiC23_g10694.t1, FhHiC23_g14805.t1, FhHiC23_g5524.t1
OG0000002	KAK4467347.1	FhHiC23_g8487.t1, FhHiC23_g251.t1
OG0000002	KAK4474259.1	FhHiC23_g10032.t1, FhHiC23_g6421.t1
OG0000005	KAK4467571.1, KAK4474250.1	FhHiC23_g10056.t1
OG0000005	KAK4467977.1	FhHiC23_g11401.t1
OG0000005	KAK4468999.1	FhHiC23_g14193.t1, FhHiC23_g4566.t1
OG0000006	KAK4467570.1	FhHiC23_g7146.t1
OG0000006	KAK4471021.1	FhHiC23_g6592.t1
OG0000006	KAK4468381.1, KAK4474329.1, KAK4474327.1, KAK4472174.1, KAK4467496.1, KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1	FhHiC23_g1683.t1
OG0000006	KAK4471081.1	FhHiC23_g9745.t1
OG0000006	KAK4467266.1, KAK4471051.1, KAK4467263.1, KAK4467318.1, KAK4474267.1	FhHiC23_g12099.t1, FhHiC23_g7403.t1
OG0000009	KAK4471801.1	FhHiC23_g7761.t1
