Orthogroup	schistosoma_curassoni	fasciola_gigantica
OG0000000	SCUR1_60820.1	FGIG_11047
OG0000002	SCUR1_56640.1	FGIG_11489
OG0000008	SCUR1_77710.1, SCUR1_29990.1, SCUR1_49650.1, SCUR1_80680.1, SCUR1_3250.1, SCUR1_18080.1, SCUR1_34590.1, SCUR1_12050.1, SCUR1_48240.1, SCUR1_52260.1, SCUR1_37630.1, SCUR1_37100.1, SCUR1_5320.1, SCUR1_41520.1, SCUR1_5950.1, SCUR1_43610.1, SCUR1_43390.1, SCUR1_8410.1, SCUR1_60040.1, SCUR1_10360.1, SCUR1_85460.1, SCUR1_99950.1, SCUR1_15000.1, SCUR1_32700.1, SCUR1_99360.1, SCUR1_41850.1, SCUR1_74150.1, SCUR1_5300.1, SCUR1_10070.1, SCUR1_53440.1	FGIG_01604
OG0000012	SCUR1_40740.60, SCUR1_40740.61, SCUR1_40740.52, SCUR1_40740.56, SCUR1_40740.59, SCUR1_40740.54, SCUR1_40740.55, SCUR1_40740.57, SCUR1_40740.58, SCUR1_40740.53, SCUR1_40740.62, SCUR1_40740.51, SCUR1_40740.49, SCUR1_40740.50, SCUR1_40740.47, SCUR1_40740.46, SCUR1_40740.65, SCUR1_40740.66, SCUR1_40740.48, SCUR1_40740.44, SCUR1_40740.40, SCUR1_40740.41, SCUR1_40740.13, SCUR1_40740.10, SCUR1_40740.9, SCUR1_40740.11, SCUR1_40740.4, SCUR1_40740.7, SCUR1_40740.2, SCUR1_40740.5, SCUR1_40740.39, SCUR1_40740.19, SCUR1_40740.37, SCUR1_40740.14, SCUR1_40740.38, SCUR1_40740.31, SCUR1_40740.32, SCUR1_40740.23, SCUR1_40740.17, SCUR1_40740.15, SCUR1_40740.16, SCUR1_40740.12, SCUR1_40740.27, SCUR1_40740.33, SCUR1_40740.34, SCUR1_40740.20, SCUR1_40740.21, SCUR1_40740.22, SCUR1_40740.8, SCUR1_40740.6, SCUR1_40740.18, SCUR1_40740.28, SCUR1_40740.29, SCUR1_40740.30, SCUR1_40740.24, SCUR1_40740.25, SCUR1_40740.36, SCUR1_40740.26, SCUR1_40740.35, SCUR1_40740.1, SCUR1_40740.3, SCUR1_40740.42, SCUR1_40740.45, SCUR1_40740.63, SCUR1_40740.64	FGIG_00643
OG0000014	SCUR1_38430.34, SCUR1_38430.38, SCUR1_38430.10, SCUR1_38430.29, SCUR1_38430.30, SCUR1_38430.32, SCUR1_38430.33, SCUR1_38430.5, SCUR1_38430.7, SCUR1_38430.35, SCUR1_38430.36, SCUR1_38430.37, SCUR1_38430.16, SCUR1_38430.17, SCUR1_38430.18, SCUR1_38430.19, SCUR1_38430.27, SCUR1_38430.9, SCUR1_38430.28, SCUR1_38430.3, SCUR1_38430.31, SCUR1_38430.4, SCUR1_38430.6, SCUR1_38430.1, SCUR1_38430.15, SCUR1_38430.21, SCUR1_38430.22, SCUR1_38430.23, SCUR1_38430.2, SCUR1_38430.20, SCUR1_38430.24, SCUR1_38430.25, SCUR1_38430.26, SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14	FGIG_02434
OG0000015	SCUR1_65580.1, SCUR1_65590.1, SCUR1_65590.2	FGIG_12126, FGIG_08847
OG0000015	SCUR1_38610.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3, SCUR1_38620.4	FGIG_10471, FGIG_07736
OG0000015	SCUR1_43800.1	FGIG_03653
OG0000015	SCUR1_42920.1, SCUR1_42960.1, SCUR1_42910.1, SCUR1_42930.1	FGIG_02432
OG0000019	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2, SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4	FGIG_11320
OG0000021	SCUR1_8230.1	FGIG_04378, FGIG_04728
OG0000021	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3	FGIG_06427, FGIG_06428
OG0000022	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5	FGIG_03596, FGIG_03595
OG0000024	SCUR1_23660.1	FGIG_02542
OG0000024	SCUR1_90210.1	FGIG_10904
OG0000024	SCUR1_64030.1	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	SCUR1_79090.1	FGIG_05063
OG0000026	SCUR1_71450.1, SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5, SCUR1_71400.3	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	SCUR1_40200.1	FGIG_03818
OG0000028	SCUR1_69820.2, SCUR1_69820.4, SCUR1_69820.3, SCUR1_69820.16, SCUR1_69820.9, SCUR1_69820.11, SCUR1_69820.6, SCUR1_69820.13, SCUR1_69820.1, SCUR1_69820.17, SCUR1_69820.14, SCUR1_69820.7, SCUR1_69820.15, SCUR1_69820.8, SCUR1_69820.10, SCUR1_69820.18, SCUR1_69820.12, SCUR1_69820.5	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	SCUR1_57630.1, SCUR1_99660.1	FGIG_01225
OG0000029	SCUR1_86440.1	FGIG_12390, FGIG_07520
OG0000029	SCUR1_20790.1	FGIG_04785
OG0000029	SCUR1_86960.1, SCUR1_86950.1	FGIG_11109
OG0000030	SCUR1_6670.1	FGIG_03562
OG0000031	SCUR1_19830.3, SCUR1_19830.5, SCUR1_19830.11, SCUR1_19830.8, SCUR1_19830.6, SCUR1_19830.13, SCUR1_19830.4, SCUR1_19830.2, SCUR1_19830.1, SCUR1_19830.10, SCUR1_19830.14, SCUR1_19830.15, SCUR1_19830.7, SCUR1_19830.9, SCUR1_19830.12	FGIG_00219, FGIG_09645
OG0000032	SCUR1_9500.1	FGIG_12135
OG0000034	SCUR1_90450.1, SCUR1_90450.2, SCUR1_90450.3, SCUR1_90440.1, SCUR1_90430.1, SCUR1_57480.1, SCUR1_57500.1, SCUR1_57520.1, SCUR1_95610.1, SCUR1_57550.1, SCUR1_57380.1, SCUR1_95620.1, SCUR1_57530.1, SCUR1_57580.1	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	SCUR1_14970.1	FGIG_03979, FGIG_03980
OG0000037	SCUR1_59650.1, SCUR1_59730.1, SCUR1_59780.2, SCUR1_59790.1, SCUR1_100280.1, SCUR1_95090.4, SCUR1_95090.1, SCUR1_95090.2, SCUR1_95090.3, SCUR1_95090.5, SCUR1_95090.6	FGIG_03131, FGIG_03132
OG0000040	SCUR1_52110.3, SCUR1_52110.1, SCUR1_52110.9, SCUR1_52110.25, SCUR1_52110.29, SCUR1_52110.4, SCUR1_52110.5, SCUR1_52110.22, SCUR1_52110.26, SCUR1_52110.8, SCUR1_52110.21, SCUR1_52110.10, SCUR1_52110.12, SCUR1_52110.14, SCUR1_52110.17, SCUR1_52110.18, SCUR1_52110.6, SCUR1_52110.16, SCUR1_52110.7, SCUR1_52100.1, SCUR1_52110.11, SCUR1_52110.13, SCUR1_52110.15, SCUR1_52110.2, SCUR1_52110.19, SCUR1_52110.20, SCUR1_52110.23, SCUR1_52110.24, SCUR1_52110.27, SCUR1_52110.28	FGIG_07013
OG0000042	SCUR1_40080.1, SCUR1_40070.1, SCUR1_40040.1, SCUR1_40060.1, SCUR1_40050.3, SCUR1_40050.1, SCUR1_40050.2	FGIG_05270
