Orthogroup	schistosoma_bovis	schistosoma_japonicum
OG0000000	SBOV2_62110.1	EWB00_002406
OG0000000	SBOV2_80970.1	EWB00_006666
OG0000000	SBOV2_9250.1	EWB00_000526, EWB00_010702, EWB00_007607, EWB00_004691, EWB00_005852, EWB00_010238, EWB00_005256, EWB00_011224, EWB00_005553, EWB00_001588, EWB00_003186, EWB00_002564, EWB00_010463, EWB00_003662, EWB00_002046, EWB00_003953, EWB00_008032, EWB00_009428, EWB00_011418
OG0000000	SBOV2_79810.1	EWB00_003821
OG0000002	SBOV2_96700.1	EWB00_001692, EWB00_001693, EWB00_008905, EWB00_008308, EWB00_000919
OG0000002	SBOV2_32490.1, SBOV2_32490.2, SBOV2_32490.3, SBOV2_32490.4, SBOV2_66570.1, SBOV2_20750.1, SBOV2_18820.1, SBOV2_57690.1, SBOV2_57690.2, SBOV2_83090.1, SBOV2_83090.2, SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1, SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1, SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1, SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000002	SBOV2_50780.1, SBOV2_50780.2	EWB00_000881
OG0000003	SBOV2_12150.1, SBOV2_12150.2, SBOV2_42190.1, SBOV2_42200.1, SBOV2_22620.3, SBOV2_32260.1, SBOV2_22620.7, SBOV2_22620.1, SBOV2_22620.2, SBOV2_22620.5, SBOV2_22620.4, SBOV2_22620.6, SBOV2_32260.3, SBOV2_82120.2, SBOV2_82120.1, SBOV2_82120.3, SBOV2_82120.5, SBOV2_82120.4, SBOV2_82120.6, SBOV2_64240.1, SBOV2_64240.2, SBOV2_67820.4, SBOV2_27480.1, SBOV2_45640.1, SBOV2_45640.2, SBOV2_45640.3, SBOV2_39590.1, SBOV2_67820.2, SBOV2_67820.3, SBOV2_91670.1, SBOV2_91670.2, SBOV2_91670.3, SBOV2_67820.1, SBOV2_45640.4, SBOV2_96560.1, SBOV2_96560.2, SBOV2_76880.2, SBOV2_76880.4, SBOV2_76880.5, SBOV2_76880.6, SBOV2_76880.3, SBOV2_76880.1	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000004	SBOV2_45530.3, SBOV2_17290.1, SBOV2_26620.1, SBOV2_56720.1, SBOV2_56720.2, SBOV2_96260.1, SBOV2_80040.1, SBOV2_55030.1, SBOV2_92090.1	EWB00_009940
OG0000004	SBOV2_31470.1	EWB00_002233
OG0000005	SBOV2_9690.1, SBOV2_66400.1, SBOV2_71880.1	EWB00_000895
OG0000006	SBOV2_16310.1, SBOV2_18200.1, SBOV2_32360.1, SBOV2_3690.1, SBOV2_58460.1	EWB00_004294, EWB00_009952
OG0000006	SBOV2_82790.1, SBOV2_14350.1	EWB00_002568
OG0000008	SBOV2_68530.1	EWB00_003269
OG0000009	SBOV2_1710.1	EWB00_004712
OG0000010	SBOV2_3700.1	EWB00_004604
OG0000014	SBOV2_29480.27, SBOV2_29480.29, SBOV2_29480.28, SBOV2_29480.10, SBOV2_29480.3, SBOV2_29480.5, SBOV2_29480.6, SBOV2_29480.7, SBOV2_29480.8, SBOV2_29480.1, SBOV2_29480.12, SBOV2_29480.9, SBOV2_29480.2, SBOV2_29480.4, SBOV2_29480.26, SBOV2_29480.11, SBOV2_29480.13, SBOV2_29480.21, SBOV2_29480.22, SBOV2_29480.23, SBOV2_29480.24, SBOV2_29480.25, SBOV2_29480.18, SBOV2_29480.15, SBOV2_29480.19, SBOV2_29480.14, SBOV2_29480.31, SBOV2_29480.32, SBOV2_29480.33, SBOV2_29480.17, SBOV2_29480.30, SBOV2_29480.34, SBOV2_29480.16, SBOV2_29480.20	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	SBOV2_65410.1	EWB00_008878
OG0000015	SBOV2_65420.1	EWB00_008877
OG0000015	SBOV2_29300.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	SBOV2_29290.1	EWB00_004377.1, EWB00_004377.2
OG0000015	SBOV2_42900.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	SBOV2_41990.1	EWB00_006401.1, EWB00_006401.2
OG0000015	SBOV2_9870.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000018	SBOV2_2690.1	EWB00_010090
OG0000019	SBOV2_30990.2, SBOV2_30990.5, SBOV2_30990.4, SBOV2_30990.7, SBOV2_30990.3, SBOV2_30990.14, SBOV2_30990.8, SBOV2_30990.15, SBOV2_30990.16, SBOV2_30990.10, SBOV2_30990.11, SBOV2_30990.12, SBOV2_30990.13, SBOV2_30990.17, SBOV2_30990.9	EWB00_004344
OG0000019	SBOV2_30990.6, SBOV2_30990.1	EWB00_004346
OG0000020	SBOV2_91220.2, SBOV2_91220.3, SBOV2_91220.4, SBOV2_91220.5, SBOV2_91220.1	EWB00_000448
OG0000021	SBOV2_7110.1	EWB00_010539
OG0000021	SBOV2_5830.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	SBOV2_5840.1	EWB00_010822
OG0000021	SBOV2_5800.2, SBOV2_5800.1	EWB00_002049
