Orthogroup	schistosoma_spindale	schmidtea_mediterranea
OG0000000	SSPN1_67710.1, SSPN1_14040.1, SSPN1_42460.1, SSPN1_26510.1, SSPN1_47020.1, SSPN1_74680.1, SSPN1_37210.1, SSPN1_61060.1, SSPN1_20270.1, SSPN1_3120.1, SSPN1_61750.1, SSPN1_25780.1, SSPN1_17390.1, SSPN1_88550.1, SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1, SSPN1_48580.1, SSPN1_890.1, SSPN1_890.2, SSPN1_11550.1, SSPN1_18830.1, SSPN1_82850.1, SSPN1_86670.1, SSPN1_48920.1, SSPN1_7960.1, SSPN1_74880.1, SSPN1_69150.1, SSPN1_65120.1, SSPN1_72030.1, SSPN1_63740.1, SSPN1_46140.1, SSPN1_93400.1, SSPN1_27820.1, SSPN1_32780.1, SSPN1_89540.1, SSPN1_17560.1, SSPN1_30570.1, SSPN1_8650.1, SSPN1_3650.1, SSPN1_73800.1, SSPN1_20720.1, SSPN1_61350.1, SSPN1_17120.1, SSPN1_7780.1, SSPN1_52320.1, SSPN1_62800.1, SSPN1_4430.1, SSPN1_76950.1, SSPN1_26180.1, SSPN1_8190.1, SSPN1_20930.1	h1SMcT0000914.1
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1, SSPN1_65720.1, SSPN1_61980.1	h1SMcT0001934.1
OG0000009	SSPN1_45650.1, SSPN1_9010.1, SSPN1_11020.1, SSPN1_13330.1, SSPN1_41310.1, SSPN1_6760.1, SSPN1_3480.1, SSPN1_45700.1, SSPN1_18600.1, SSPN1_5930.1, SSPN1_8390.1, SSPN1_65410.1, SSPN1_90120.1, SSPN1_19830.1, SSPN1_81880.1, SSPN1_81030.1, SSPN1_59780.1, SSPN1_85940.1	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	SSPN1_36620.2, SSPN1_36620.1, SSPN1_36620.3, SSPN1_36630.1, SSPN1_64330.1, SSPN1_63940.1, SSPN1_63940.2, SSPN1_14170.1, SSPN1_30700.1, SSPN1_77220.1, SSPN1_83870.1, SSPN1_51530.1, SSPN1_51530.2, SSPN1_27230.1, SSPN1_57340.2, SSPN1_57340.1, SSPN1_57340.3	h1SMcT0012568.1
OG0000012	SSPN1_39340.1	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	SSPN1_32740.1	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	SSPN1_32720.1, SSPN1_58880.1, SSPN1_58870.1, SSPN1_32590.1, SSPN1_32580.1, SSPN1_32560.1, SSPN1_42190.1, SSPN1_42240.1, SSPN1_41450.1	h1SMcT0022961.1
OG0000019	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16, SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	h1SMcT0009829.1
OG0000021	SSPN1_8230.1, SSPN1_5730.1, SSPN1_5720.1, SSPN1_5740.1, SSPN1_5750.1, SSPN1_5680.1, SSPN1_5680.2, SSPN1_5700.1, SSPN1_5710.1, SSPN1_5690.1, SSPN1_5690.2	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3
