Orthogroup	schistosoma_spindale	s.mekongi
OG0000000	SSPN1_3650.1, SSPN1_73800.1, SSPN1_20720.1, SSPN1_61350.1, SSPN1_17120.1, SSPN1_7780.1, SSPN1_52320.1, SSPN1_62800.1, SSPN1_4430.1	KAK4474313.1, KAK4474221.1
OG0000000	SSPN1_76950.1, SSPN1_26180.1, SSPN1_8190.1, SSPN1_20930.1	KAK4467292.1
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1	KAK4467347.1
OG0000002	SSPN1_65720.1, SSPN1_61980.1	KAK4474259.1
OG0000004	SSPN1_27650.1	KAK4467974.1, KAK4467960.1, KAK4472131.1, KAK4467952.1, KAK4470008.1
OG0000004	SSPN1_78820.1, SSPN1_25370.1, SSPN1_61010.1, SSPN1_70400.1, SSPN1_43760.1, SSPN1_85200.1	KAK4472124.1
OG0000006	SSPN1_21890.1, SSPN1_9770.1	KAK4467570.1
OG0000006	SSPN1_25500.1, SSPN1_88340.1	KAK4468381.1, KAK4474329.1, KAK4474327.1, KAK4472174.1, KAK4467496.1
OG0000006	SSPN1_29180.1	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1
OG0000008	SSPN1_35900.1, SSPN1_45580.1, SSPN1_19160.1, SSPN1_91220.1, SSPN1_18720.1, SSPN1_29310.1, SSPN1_11470.1, SSPN1_29970.1, SSPN1_29970.2, SSPN1_33190.1, SSPN1_18310.1	KAK4472200.1
OG0000009	SSPN1_45700.1	KAK4469289.1
OG0000009	SSPN1_90120.1, SSPN1_19830.1, SSPN1_81880.1, SSPN1_81030.1	KAK4472212.1
OG0000014	SSPN1_32740.1	KAK4473936.1
OG0000015	SSPN1_32720.1	KAK4473938.1
OG0000015	SSPN1_58880.1	KAK4471448.1
OG0000015	SSPN1_32590.1	KAK4473954.1, KAK4473955.1
OG0000015	SSPN1_42240.1	KAK4467362.1, KAK4467363.1
OG0000016	SSPN1_30120.1	KAK4472342.1
OG0000018	SSPN1_79080.3, SSPN1_79080.4, SSPN1_79080.5, SSPN1_79080.6, SSPN1_79080.7, SSPN1_84460.1, SSPN1_86440.1, SSPN1_79080.1, SSPN1_79080.2	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1
OG0000019	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16	KAK4473983.1
OG0000019	SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	KAK4473981.1
OG0000021	SSPN1_5730.1, SSPN1_5720.1	KAK4475892.1, KAK4475894.1
OG0000021	SSPN1_5740.1, SSPN1_5750.1	KAK4475895.1
OG0000021	SSPN1_5680.1, SSPN1_5680.2	KAK4475890.1
OG0000021	SSPN1_5710.1	KAK4475891.1
OG0000021	SSPN1_5690.1, SSPN1_5690.2	KAK4475889.1
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	KAK4473037.1
OG0000023	SSPN1_44790.1	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1
OG0000023	SSPN1_8610.1	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1
OG0000024	SSPN1_22780.1	KAK4473313.1
OG0000024	SSPN1_88100.1	KAK4468456.1
OG0000024	SSPN1_65160.1	KAK4471475.1
OG0000024	SSPN1_77320.1	KAK4470835.1
OG0000024	SSPN1_77310.1	KAK4470057.1
OG0000026	SSPN1_76710.1, SSPN1_76710.2	KAK4470973.1
OG0000026	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2	KAK4470239.1, KAK4470240.1
OG0000026	SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	KAK4470216.1
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	KAK4470768.1
OG0000029	SSPN1_55690.1	KAK4471130.1
OG0000029	SSPN1_84220.1	KAK4468717.1
OG0000029	SSPN1_84180.1	KAK4468778.1
OG0000029	SSPN1_13090.1	KAK4474996.1
OG0000029	SSPN1_13090.2	KAK4474996.1
OG0000029	SSPN1_85060.1	KAK4468699.1
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	KAK4476063.1
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	KAK4475389.1
OG0000032	SSPN1_20150.1	KAK4476285.1
OG0000032	SSPN1_21640.1, SSPN1_76750.3, SSPN1_76750.1, SSPN1_76750.2	KAK4470045.1
OG0000033	SSPN1_64320.1	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1
OG0000034	SSPN1_88360.1	KAK4468479.1
OG0000034	SSPN1_88350.1, SSPN1_88330.1, SSPN1_88330.2	KAK4468478.1
OG0000034	SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5, SSPN1_55380.1, SSPN1_55370.1, SSPN1_55320.1	KAK4471028.1, KAK4471029.1
OG0000035	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2	KAK4475274.1
OG0000036	SSPN1_32030.1, SSPN1_42130.1	KAK4470022.1
OG0000037	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3	KAK4471851.1
OG0000037	SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1	KAK4471850.1
OG0000041	SSPN1_92970.1, SSPN1_92960.1, SSPN1_7690.1, SSPN1_39570.1, SSPN1_16210.1, SSPN1_80220.1, SSPN1_80750.1, SSPN1_80760.1, SSPN1_80760.2, SSPN1_80760.3, SSPN1_80760.4, SSPN1_77740.1, SSPN1_56540.1, SSPN1_40330.1, SSPN1_56510.3, SSPN1_93100.1, SSPN1_91300.1, SSPN1_48880.1, SSPN1_51640.1, SSPN1_56010.1	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1
OG0000042	SSPN1_31120.1	KAK4472150.1
OG0000042	SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7	KAK4472153.1
OG0000042	SSPN1_31150.2, SSPN1_31160.2, SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1	KAK4472151.1, KAK4472152.1
OG0000044	SSPN1_82650.1, SSPN1_82650.2	KAK4468903.1
OG0000044	SSPN1_82750.1, SSPN1_82730.1, SSPN1_82730.2, SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2	KAK4468904.1
OG0000045	SSPN1_19960.1	KAK4468037.1
OG0000049	SSPN1_67180.8, SSPN1_67180.1, SSPN1_67180.2, SSPN1_67180.7, SSPN1_67180.4, SSPN1_67180.5, SSPN1_67180.6, SSPN1_67180.3	KAK4470136.1, KAK4470137.1
OG0000049	SSPN1_70640.4, SSPN1_70640.3, SSPN1_70640.1, SSPN1_70640.5	KAK4470598.1
