Orthogroup	schistosoma_turkestanicum	fasciola_gigantica
OG0000002	STRK1_11320.1, STRK1_21760.1, STRK1_21740.1, STRK1_21740.2, STRK1_21640.1, STRK1_21630.1, STRK1_95530.3, STRK1_95530.1, STRK1_95530.2, STRK1_95530.4	FGIG_02209
OG0000012	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3, STRK1_95080.2, STRK1_95080.1, STRK1_95080.3	FGIG_00643
OG0000014	STRK1_32840.1	FGIG_02434
OG0000015	STRK1_58960.1, STRK1_58950.1	FGIG_12126, FGIG_08847
OG0000015	STRK1_28980.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	STRK1_28970.1	FGIG_10471, FGIG_07736
OG0000015	STRK1_40280.1	FGIG_03653
OG0000015	STRK1_41060.1	FGIG_02432
OG0000015	STRK1_9490.1	FGIG_05368, FGIG_05133
OG0000019	STRK1_28380.1, STRK1_28370.1	FGIG_11320
OG0000021	STRK1_12640.1	FGIG_04378, FGIG_04728
OG0000021	STRK1_3450.1	FGIG_06427, FGIG_06428
OG0000022	STRK1_25560.1, STRK1_25560.2	FGIG_03596, FGIG_03595
OG0000024	STRK1_22140.1	FGIG_02542
OG0000024	STRK1_101880.1	FGIG_10904
OG0000024	STRK1_58710.1	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	STRK1_76900.1, STRK1_76900.2	FGIG_05063
OG0000026	STRK1_69960.1, STRK1_69960.2	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	STRK1_38360.1, STRK1_105950.1	FGIG_03818
OG0000028	STRK1_68350.1	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777
OG0000029	STRK1_108400.1	FGIG_01225
OG0000029	STRK1_85070.1	FGIG_12390, FGIG_07520
OG0000029	STRK1_18700.1, STRK1_18700.2	FGIG_04785
OG0000029	STRK1_87900.1, STRK1_87910.1, STRK1_87930.1, STRK1_87920.1	FGIG_11109
OG0000030	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3	FGIG_03562
OG0000031	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3	FGIG_00219, FGIG_09645
OG0000034	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3, STRK1_89060.1, STRK1_89070.1, STRK1_89080.1, STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1	FGIG_11870, FGIG_10591, FGIG_05132
OG0000035	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1	FGIG_03979, FGIG_03980
OG0000037	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2, STRK1_58000.1, STRK1_105220.1, STRK1_57980.1	FGIG_03131, FGIG_03132
OG0000040	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5	FGIG_07013
OG0000042	STRK1_38240.1, STRK1_38230.1, STRK1_38230.2, STRK1_38230.3, STRK1_38190.1, STRK1_38200.1, STRK1_38210.1, STRK1_38220.1	FGIG_05270
OG0000043	STRK1_23860.1, STRK1_23860.2	FGIG_08366
OG0000044	STRK1_83210.1, STRK1_83210.2, STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1, STRK1_83840.1, STRK1_83810.1	FGIG_02910, FGIG_04537, FGIG_03293
OG0000049	STRK1_67640.1	FGIG_07932, FGIG_00477
OG0000049	STRK1_71350.1	FGIG_06077
OG0000050	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2	FGIG_02718, FGIG_02717, FGIG_07228
OG0000052	STRK1_27330.1	FGIG_00994
OG0000052	STRK1_16800.1	FGIG_02824
OG0000052	STRK1_440.1	FGIG_00846
OG0000052	STRK1_1120.1, STRK1_97400.1	FGIG_04304, FGIG_04301, FGIG_07308, FGIG_07600
OG0000052	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1	FGIG_04502, FGIG_12676
OG0000053	STRK1_2330.1	FGIG_08393, FGIG_12440
OG0000055	STRK1_66850.1	FGIG_03285, FGIG_05988
OG0000058	STRK1_86390.1	FGIG_11220
OG0000058	STRK1_77870.1	FGIG_06708
OG0000058	STRK1_77680.1, STRK1_97370.1, STRK1_100950.1, STRK1_77860.1, STRK1_103520.1, STRK1_77850.1	FGIG_00649
OG0000060	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1	FGIG_07684
OG0000061	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2	FGIG_09986
OG0000062	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5	FGIG_00991
OG0000064	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1	FGIG_12411, FGIG_06602
OG0000065	STRK1_21210.1, STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1	FGIG_09064, FGIG_08205, FGIG_12667, FGIG_08898, FGIG_01175, FGIG_10048, FGIG_08512, FGIG_02492, FGIG_07535, FGIG_12523
OG0000066	STRK1_27970.1, STRK1_27970.2, STRK1_27970.3, STRK1_27970.4	FGIG_00170
OG0000067	STRK1_100830.1, STRK1_61070.1, STRK1_61070.2, STRK1_100070.1	FGIG_02840, FGIG_02842
OG0000068	STRK1_51720.1	FGIG_12158
OG0000068	STRK1_90930.1	FGIG_12079
OG0000068	STRK1_31350.1	FGIG_07351
OG0000068	STRK1_27380.1	FGIG_05814
OG0000069	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1	FGIG_12680, FGIG_06996
OG0000070	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1	FGIG_00175, FGIG_00176, FGIG_00174
OG0000071	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2	FGIG_07065, FGIG_07067
OG0000072	STRK1_86450.1	FGIG_06022, FGIG_09056
OG0000073	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3	FGIG_05759
OG0000074	STRK1_720.2, STRK1_720.1	FGIG_06125
OG0000074	STRK1_88120.1	FGIG_03273
OG0000074	STRK1_10690.2, STRK1_10690.1	FGIG_07718
OG0000075	STRK1_35140.1, STRK1_35140.2	FGIG_05387
OG0000076	STRK1_85230.1, STRK1_85230.2	FGIG_04289, FGIG_04292, FGIG_04291, FGIG_04290
OG0000076	STRK1_16320.1, STRK1_16320.2	FGIG_08489, FGIG_08490, FGIG_08491
OG0000077	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2	FGIG_09054
OG0000078	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4	FGIG_04314
OG0000079	STRK1_29350.1, STRK1_29350.2	FGIG_07135, FGIG_07136
OG0000079	STRK1_51780.1, STRK1_51780.2	FGIG_05069, FGIG_05070
OG0000080	STRK1_101810.1, STRK1_39780.1, STRK1_39760.1, STRK1_39760.2, STRK1_39760.3	FGIG_03532
OG0000082	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3	FGIG_06461
OG0000085	STRK1_31220.1, STRK1_31220.2	FGIG_06241
OG0000086	STRK1_71670.1, STRK1_71670.2	FGIG_09371
OG0000087	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4	FGIG_03026
OG0000088	STRK1_17030.1, STRK1_17040.1, STRK1_17040.2	FGIG_14005, FGIG_05150
OG0000090	STRK1_104500.1, STRK1_49250.1, STRK1_49240.1	FGIG_01258
OG0000091	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5	FGIG_02767, FGIG_02766, FGIG_02768
OG0000092	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4	FGIG_06562
OG0000092	STRK1_8500.1, STRK1_8500.2	FGIG_11548
OG0000093	STRK1_38460.1	FGIG_04003
OG0000093	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1	FGIG_03785, FGIG_02320, FGIG_07732, FGIG_10190
OG0000094	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5	FGIG_00948
OG0000095	STRK1_60680.1	FGIG_01883
OG0000096	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2	FGIG_03065
OG0000097	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3	FGIG_06823
OG0000098	STRK1_64600.1, STRK1_64590.1	FGIG_08009
OG0000099	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2	FGIG_01162
OG0000099	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1	FGIG_12268, FGIG_12217, FGIG_10911
OG0000102	STRK1_3550.1, STRK1_3550.2	FGIG_11657
OG0000102	STRK1_56260.1	FGIG_04726, FGIG_06854
OG0000103	STRK1_75520.1, STRK1_75520.2	FGIG_06145, FGIG_13990
OG0000104	STRK1_3670.1, STRK1_3670.2	FGIG_08148
OG0000105	STRK1_13170.1	FGIG_00113, FGIG_06918
OG0000107	STRK1_49750.1	FGIG_03366, FGIG_08506, FGIG_12152
OG0000108	STRK1_12570.1, STRK1_12570.2	FGIG_10097, FGIG_10098, FGIG_03847
OG0000110	STRK1_30120.1, STRK1_30150.1	FGIG_03667
OG0000110	STRK1_30110.1	FGIG_10562
OG0000110	STRK1_30100.1, STRK1_30100.2	FGIG_06603
OG0000111	STRK1_46420.1	FGIG_03777
OG0000112	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1	FGIG_09308, FGIG_06819
OG0000114	STRK1_91030.1, STRK1_91030.2	FGIG_00156
OG0000115	STRK1_28410.1	FGIG_02859
OG0000116	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2	FGIG_03832, FGIG_01693
OG0000117	STRK1_30040.1	FGIG_02197
OG0000118	STRK1_37870.1, STRK1_109120.1, STRK1_37860.1, STRK1_109130.1, STRK1_37850.1	FGIG_02831
OG0000119	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7	FGIG_05939
OG0000120	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4	FGIG_06695
OG0000122	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2	FGIG_06459, FGIG_06458
OG0000123	STRK1_73130.1, STRK1_73130.2	FGIG_06911
OG0000125	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1	FGIG_12140, FGIG_05136
OG0000126	STRK1_68690.1	FGIG_02836, FGIG_00047
OG0000127	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2	FGIG_10651, FGIG_01876
OG0000128	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2	FGIG_02928
OG0000129	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2	FGIG_01051
OG0000130	STRK1_79420.1, STRK1_79420.2	FGIG_06548, FGIG_01370
