Orthogroup	schmidtea_mediterranea	fasciola_hepatica
OG0000000	h1SMcT0000914.1	FhHiC23_g7450.t1, FhHiC23_g16632.t1, FhHiC23_g15018.t1, FhHiC23_g16596.t1, FhHiC23_g5410.t1, FhHiC23_g16614.t1, FhHiC23_g5248.t1, FhHiC23_g5992.t1, FhHiC23_g6947.t1, FhHiC23_g1324.t1, FhHiC23_g912.t1, FhHiC23_g7351.t1, FhHiC23_g8250.t1, FhHiC23_g703.t1, FhHiC23_g16123.t1, FhHiC23_g16124.t1, FhHiC23_g5151.t1, FhHiC23_g7186.t1, FhHiC23_g16086.t1, FhHiC23_g13917.t1, FhHiC23_g8464.t1, FhHiC23_g6729.t1, FhHiC23_g6728.t1, FhHiC23_g16403.t1, FhHiC23_g1154.t1, FhHiC23_g7463.t1, FhHiC23_g7935.t1, FhHiC23_g7315.t1, FhHiC23_g3728.t1, FhHiC23_g13785.t1, FhHiC23_g9613.t1, FhHiC23_g5500.t1, FhHiC23_g10642.t1, FhHiC23_g12874.t1, FhHiC23_g1880.t1, FhHiC23_g10085.t1, FhHiC23_g11020.t1, FhHiC23_g13776.t1, FhHiC23_g7392.t1, FhHiC23_g2079.t1
OG0000002	h1SMcT0015173.1	FhHiC23_g11972.t1, FhHiC23_g15678.t1, FhHiC23_g16832.t1, FhHiC23_g8926.t1
OG0000002	h1SMcT0001934.1	FhHiC23_g13055.t1, FhHiC23_g13554.t1, FhHiC23_g9274.t1, FhHiC23_g9400.t1, FhHiC23_g7225.t1, FhHiC23_g1582.t1, FhHiC23_g14333.t1, FhHiC23_g1100.t1, FhHiC23_g10292.t1, FhHiC23_g11395.t1, FhHiC23_g6457.t1, FhHiC23_g12174.t1, FhHiC23_g15989.t1, FhHiC23_g14168.t1, FhHiC23_g4424.t1, FhHiC23_g14413.t1, FhHiC23_g14494.t1, FhHiC23_g8927.t1, FhHiC23_g6605.t1, FhHiC23_g14702.t1, FhHiC23_g14803.t1, FhHiC23_g4433.t1, FhHiC23_g4648.t1, FhHiC23_g9124.t1, FhHiC23_g13104.t1, FhHiC23_g16479.t1, FhHiC23_g16648.t1, FhHiC23_g6428.t1, FhHiC23_g9650.t1, FhHiC23_g14578.t1, FhHiC23_g6426.t1, FhHiC23_g7595.t1, FhHiC23_g16649.t1, FhHiC23_g14421.t1, FhHiC23_g10416.t1, FhHiC23_g6459.t1, FhHiC23_g14577.t1, FhHiC23_g3851.t1, FhHiC23_g10692.t1, FhHiC23_g10694.t1, FhHiC23_g14805.t1, FhHiC23_g5524.t1, FhHiC23_g764.t1, FhHiC23_g4130.t1, FhHiC23_g16558.t1, FhHiC23_g9182.t1, FhHiC23_g13364.t1, FhHiC23_g5628.t1, FhHiC23_g7913.t1, FhHiC23_g9388.t1, FhHiC23_g14341.t1, FhHiC23_g15427.t1, FhHiC23_g14984.t1, FhHiC23_g12877.t1, FhHiC23_g2549.t1, FhHiC23_g14734.t1, FhHiC23_g6841.t1, FhHiC23_g4327.t1, FhHiC23_g10594.t1, FhHiC23_g6724.t1, FhHiC23_g6726.t1, FhHiC23_g8487.t1, FhHiC23_g251.t1, FhHiC23_g10032.t1, FhHiC23_g6421.t1
OG0000005	h1SMcT0015150.1	FhHiC23_g10056.t1
OG0000005	h1SMcT0006406.1	FhHiC23_g4445.t1, FhHiC23_g7255.t1
OG0000005	h1SMcT0002504.1	FhHiC23_g11401.t1, FhHiC23_g14193.t1, FhHiC23_g4566.t1
OG0000008	h1SMcT0015005.1	FhHiC23_g12193.t1, FhHiC23_g1894.t1, FhHiC23_g5470.t1, FhHiC23_g11662.t1, FhHiC23_g3405.t1
OG0000009	h1SMcT0020629.46, h1SMcT0021509.1	FhHiC23_g12569.t1, FhHiC23_g10849.t1, FhHiC23_g14119.t1, FhHiC23_g10959.t1, FhHiC23_g9173.t1, FhHiC23_g5587.t1, FhHiC23_g9174.t1, FhHiC23_g4294.t1, FhHiC23_g4295.t1, FhHiC23_g4296.t1, FhHiC23_g15816.t1, FhHiC23_g15817.t1, FhHiC23_g9468.t1, FhHiC23_g7700.t1, FhHiC23_g1456.t1, FhHiC23_g1457.t1, FhHiC23_g7868.t1, FhHiC23_g9345.t1, FhHiC23_g7761.t1, FhHiC23_g10583.t1, FhHiC23_g14758.t1, FhHiC23_g11732.t1, FhHiC23_g673.t1, FhHiC23_g14320.t1, FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1, FhHiC23_g5989.t1, FhHiC23_g4650.t1, FhHiC23_g4653.t1, FhHiC23_g4654.t1, FhHiC23_g4651.t1, FhHiC23_g4652.t1, FhHiC23_g9494.t1, FhHiC23_g8305.t1, FhHiC23_g6322.t1, FhHiC23_g6320.t1
OG0000010	h1SMcT0012568.1	FhHiC23_g13872.t1, FhHiC23_g13871.t1, FhHiC23_g9580.t1, FhHiC23_g11528.t1, FhHiC23_g14491.t1, FhHiC23_g13905.t1, FhHiC23_g7574.t1, FhHiC23_g16107.t1, FhHiC23_g3945.t1, FhHiC23_g4164.t1, FhHiC23_g15908.t1, FhHiC23_g6917.t1, FhHiC23_g8336.t1, FhHiC23_g16300.t1, FhHiC23_g16196.t1, FhHiC23_g3372.t1, FhHiC23_g4088.t1, FhHiC23_g6530.t1, FhHiC23_g11872.t1, FhHiC23_g11605.t1, FhHiC23_g13659.t1, FhHiC23_g4543.t1, FhHiC23_g198.t1, FhHiC23_g1124.t1, FhHiC23_g8411.t1, FhHiC23_g13439.t1, FhHiC23_g2435.t1, FhHiC23_g2221.t1, FhHiC23_g16183.t1, FhHiC23_g8175.t1, FhHiC23_g7438.t1, FhHiC23_g5198.t1, FhHiC23_g13061.t1, FhHiC23_g7942.t1, FhHiC23_g13941.t1, FhHiC23_g6188.t1, FhHiC23_g9558.t1, FhHiC23_g10226.t1, FhHiC23_g7781.t1, FhHiC23_g4046.t1, FhHiC23_g3556.t1, FhHiC23_g77.t1, FhHiC23_g3228.t1, FhHiC23_g4342.t1, FhHiC23_g13481.t1, FhHiC23_g12470.t1, FhHiC23_g16493.t1
OG0000012	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
