Orthogroup	schistosoma_mattheei	fasciola_gigantica
OG0000008	SMTH1_29710.1, SMTH1_31760.1, SMTH1_18770.1, SMTH1_33160.1, SMTH1_84400.1, SMTH1_23190.1, SMTH1_7710.1, SMTH1_21730.1, SMTH1_107170.1, SMTH1_65740.1, SMTH1_43130.1, SMTH1_75640.1, SMTH1_104410.1, SMTH1_42070.1, SMTH1_42070.4, SMTH1_63450.1, SMTH1_39310.1, SMTH1_51230.1, SMTH1_84410.1, SMTH1_60990.1, SMTH1_38230.1, SMTH1_41790.1, SMTH1_43740.1, SMTH1_89920.1, SMTH1_59400.1, SMTH1_11370.1, SMTH1_84780.1, SMTH1_56030.1, SMTH1_64620.1, SMTH1_92250.1, SMTH1_65480.1, SMTH1_28910.1, SMTH1_77480.1, SMTH1_34670.1, SMTH1_37390.1, SMTH1_91310.1, SMTH1_3310.1, SMTH1_4950.1, SMTH1_103950.1, SMTH1_93940.1, SMTH1_1390.1, SMTH1_75040.1	FGIG_01604
OG0000009	SMTH1_77780.1	FGIG_02970
OG0000010	SMTH1_39190.1	FGIG_10402
OG0000012	SMTH1_45260.1, SMTH1_45270.1	FGIG_00643
OG0000014	SMTH1_42310.20, SMTH1_42310.7, SMTH1_42310.19, SMTH1_42310.4, SMTH1_42310.5, SMTH1_42310.2, SMTH1_42310.13, SMTH1_42310.14, SMTH1_42310.17, SMTH1_42310.3, SMTH1_42310.10, SMTH1_42310.6, SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9	FGIG_02434
OG0000015	SMTH1_73160.1, SMTH1_73170.1	FGIG_12126, FGIG_08847
OG0000015	SMTH1_42560.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	SMTH1_42570.3, SMTH1_42570.1, SMTH1_42570.2	FGIG_10471, FGIG_07736
OG0000015	SMTH1_48670.1	FGIG_03653
OG0000015	SMTH1_47630.1, SMTH1_47630.3, SMTH1_47630.4, SMTH1_47630.5, SMTH1_47630.2	FGIG_02432
OG0000015	SMTH1_11420.1	FGIG_05368, FGIG_05133
OG0000019	SMTH1_40590.10, SMTH1_40590.6, SMTH1_40590.8, SMTH1_40590.5, SMTH1_40590.7, SMTH1_40590.9, SMTH1_40590.1, SMTH1_40590.2, SMTH1_40590.3, SMTH1_40590.4, SMTH1_40590.13, SMTH1_40590.11, SMTH1_40590.12	FGIG_11320
OG0000021	SMTH1_9440.1	FGIG_04378, FGIG_04728
OG0000021	SMTH1_6690.1, SMTH1_6690.2	FGIG_06427, FGIG_06428
OG0000022	SMTH1_30110.1	FGIG_03596, FGIG_03595
OG0000024	SMTH1_26330.1	FGIG_02542
OG0000024	SMTH1_101590.1	FGIG_10904
OG0000024	SMTH1_71420.1, SMTH1_71420.2, SMTH1_71420.3	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	SMTH1_88650.1, SMTH1_88650.2	FGIG_05063
OG0000026	SMTH1_80430.1, SMTH1_80360.1	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998
OG0000027	SMTH1_44580.22, SMTH1_44580.24, SMTH1_44580.37, SMTH1_44580.23, SMTH1_44580.17, SMTH1_44580.16, SMTH1_44580.9, SMTH1_44580.31, SMTH1_44580.26, SMTH1_44580.10, SMTH1_44580.13, SMTH1_44580.2, SMTH1_44580.30, SMTH1_44580.11, SMTH1_44580.5, SMTH1_44580.27, SMTH1_44580.28, SMTH1_44580.32, SMTH1_44580.29, SMTH1_44580.3, SMTH1_44580.19, SMTH1_44580.33, SMTH1_44580.35, SMTH1_44580.4, SMTH1_44580.39, SMTH1_44580.15, SMTH1_44580.21, SMTH1_44580.8, SMTH1_44580.34, SMTH1_44580.6, SMTH1_44580.7, SMTH1_44580.36, SMTH1_44580.12, SMTH1_44580.20, SMTH1_44580.25, SMTH1_44580.38, SMTH1_44580.18, SMTH1_44580.1, SMTH1_44580.14	FGIG_03818
