Orthogroup	schistosoma_margrebowiei	trichobilharzia_regenti
OG0000000	SMRG1_20840.1	TREG1_81550.1
OG0000000	SMRG1_50500.1	TREG1_95580.1, TREG1_73090.1, TREG1_86490.1, TREG1_76630.1, TREG1_93090.1, TREG1_6350.1
OG0000000	SMRG1_1020.1	TREG1_99990.1
OG0000003	SMRG1_97880.2, SMRG1_97880.3, SMRG1_97880.7, SMRG1_97880.8, SMRG1_97880.9, SMRG1_97880.13, SMRG1_97880.6, SMRG1_97880.11, SMRG1_97880.4, SMRG1_97880.10, SMRG1_97880.12, SMRG1_97880.5, SMRG1_97880.1, SMRG1_26290.1, SMRG1_26290.2, SMRG1_82840.1, SMRG1_82840.2, SMRG1_81490.5, SMRG1_81490.6, SMRG1_81490.1, SMRG1_82840.5, SMRG1_81490.4, SMRG1_81490.2, SMRG1_64980.1, SMRG1_64980.3, SMRG1_81490.3, SMRG1_81490.7, SMRG1_64130.1, SMRG1_82840.3, SMRG1_82840.4, SMRG1_37000.1, SMRG1_64980.2, SMRG1_34870.1, SMRG1_78350.10, SMRG1_78350.11, SMRG1_78350.13, SMRG1_78350.15, SMRG1_78350.7, SMRG1_78350.8, SMRG1_78350.9, SMRG1_78350.12, SMRG1_78350.1, SMRG1_78350.2, SMRG1_78350.3, SMRG1_78350.5, SMRG1_78350.14, SMRG1_78350.4, SMRG1_78350.6	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1
OG0000006	SMRG1_81460.1, SMRG1_76890.1, SMRG1_33990.1, SMRG1_14940.1, SMRG1_64070.1, SMRG1_29020.1, SMRG1_38820.1, SMRG1_95670.1, SMRG1_34780.1, SMRG1_84840.1, SMRG1_88330.1, SMRG1_87900.1	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1
OG0000006	SMRG1_90230.1, SMRG1_8290.1, SMRG1_2410.1, SMRG1_2410.2, SMRG1_18260.1, SMRG1_2810.1, SMRG1_8270.1, SMRG1_41290.1	TREG1_87190.1, TREG1_132660.1, TREG1_1940.1
OG0000009	SMRG1_85170.1	TREG1_37970.1, TREG1_79180.1, TREG1_115630.1, TREG1_95220.1, TREG1_8090.1, TREG1_36810.1
OG0000009	SMRG1_1650.1	TREG1_34410.1, TREG1_97720.1, TREG1_4790.1, TREG1_3250.1, TREG1_132080.1, TREG1_92940.1, TREG1_21490.1, TREG1_140340.1, TREG1_81780.1, TREG1_71370.1, TREG1_15380.1, TREG1_102720.1, TREG1_87620.1, TREG1_18280.1, TREG1_5270.1, TREG1_8140.1
OG0000009	SMRG1_37020.1, SMRG1_3150.1	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2
OG0000009	SMRG1_93380.1	TREG1_135740.1, TREG1_119030.1, TREG1_10810.1, TREG1_34710.1, TREG1_47610.1, TREG1_60060.1, TREG1_135720.1, TREG1_3570.1
OG0000012	SMRG1_40800.59	TREG1_45790.1
OG0000014	SMRG1_38250.18, SMRG1_38250.3, SMRG1_38250.4, SMRG1_38250.1, SMRG1_38250.2, SMRG1_38250.12, SMRG1_38250.13, SMRG1_38250.15, SMRG1_38250.16, SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1
OG0000015	SMRG1_38270.1	TREG1_51330.1
OG0000015	SMRG1_66420.1	TREG1_82560.1
OG0000015	SMRG1_66430.1	TREG1_82570.1
OG0000015	SMRG1_38470.1	TREG1_44970.1
OG0000015	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3	TREG1_44960.1
OG0000015	SMRG1_38500.1	TREG1_44940.2, TREG1_44940.1
OG0000015	SMRG1_43920.2, SMRG1_43920.1	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1
OG0000015	SMRG1_43060.1	TREG1_42390.2
OG0000015	SMRG1_43100.1	TREG1_42390.1, TREG1_42390.3, TREG1_42400.1
OG0000016	SMRG1_61440.1, SMRG1_72700.1, SMRG1_53180.1, SMRG1_29570.1, SMRG1_830.1, SMRG1_81950.1, SMRG1_81990.1, SMRG1_12790.1	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1
OG0000016	SMRG1_1310.1, SMRG1_1310.2, SMRG1_1310.3, SMRG1_22130.1, SMRG1_22130.2, SMRG1_22140.1, SMRG1_41700.1, SMRG1_72570.1, SMRG1_46670.1	TREG1_101520.1, TREG1_101900.1, TREG1_26730.1, TREG1_28240.1, TREG1_30730.1, TREG1_145030.1, TREG1_139640.1, TREG1_61260.1, TREG1_28980.1, TREG1_30630.1, TREG1_28880.1, TREG1_29390.1, TREG1_32190.1, TREG1_4150.1, TREG1_57670.1, TREG1_94420.1, TREG1_45800.1, TREG1_84010.1, TREG1_63050.1
OG0000019	SMRG1_36800.9, SMRG1_36800.7, SMRG1_36800.10, SMRG1_36800.12, SMRG1_36800.5, SMRG1_36800.1, SMRG1_36800.3, SMRG1_36800.4, SMRG1_36800.6, SMRG1_36800.8, SMRG1_36800.2, SMRG1_36800.13, SMRG1_36800.14	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2
OG0000021	SMRG1_7940.1, SMRG1_7940.2	TREG1_7080.1
OG0000021	SMRG1_5610.1	TREG1_13160.1
OG0000021	SMRG1_5620.1	TREG1_13170.1, TREG1_13180.1
OG0000021	SMRG1_5580.1, SMRG1_5580.2	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5
OG0000021	SMRG1_5590.2, SMRG1_5590.4, SMRG1_5590.1, SMRG1_5590.3	TREG1_13140.1, TREG1_13140.2, TREG1_13140.3
OG0000021	SMRG1_5600.1	TREG1_13150.1
OG0000021	SMRG1_5560.1, SMRG1_5560.2	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2
OG0000022	SMRG1_27350.8, SMRG1_27350.7, SMRG1_27350.1, SMRG1_27350.9, SMRG1_27350.5, SMRG1_27350.2, SMRG1_27350.3, SMRG1_27350.4, SMRG1_27350.10, SMRG1_27350.6	TREG1_58780.1
OG0000023	SMRG1_31990.1, SMRG1_66930.1, SMRG1_71600.1, SMRG1_70570.1, SMRG1_74600.1, SMRG1_22550.1, SMRG1_79770.1, SMRG1_86430.1, SMRG1_86500.1, SMRG1_86510.1, SMRG1_8990.1, SMRG1_32280.1, SMRG1_81680.1, SMRG1_17810.1	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1
OG0000024	SMRG1_23720.1	TREG1_48810.1
