#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   1  10   1.4e-09   3.1e-06   24.5   1.3    23    67     2    46     1    48 0.84 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   2  10   4.5e-19     1e-15   55.9   6.6     4    86    49   134    47   162 0.84 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   3  10   2.5e-66   5.7e-63  212.3   0.1   141   315   398   578   371   608 0.85 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   4  10     4e-11   9.1e-08   29.6   0.0   314   385   606   679   593   682 0.87 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   5  10   4.1e-31   9.4e-28   95.7   0.0   384   481   726   834   720   862 0.85 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   6  10   4.2e-61   9.6e-58  195.0   0.0   489   614   902  1046   880  1060 0.82 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   7  10   2.2e-72   4.9e-69  232.4   0.1   618   771  1092  1248  1085  1252 0.93 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   8  10   4.7e-48   1.1e-44  151.8   0.0   772   941  1273  1487  1269  1491 0.76 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9   9  10     1e-06    0.0024   14.9   0.0   965  1006  1565  1606  1536  1616 0.82 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4475285.1         -           1722 50756at33208         -           1058  2.4e-304 1011.5  30.9  10  10     0.042        95   -0.3   0.0  1015  1038  1641  1664  1626  1670 0.78 hypothetical protein MN116_002356 [Schistosoma mekongi]
KAK4470370.1         -           1169 50756at33208         -           1058   2.9e-71  239.8   2.2   1   2   1.2e-28   2.8e-25   87.5   0.1   360   634   396   691   380   695 0.80 hypothetical protein MN116_005611 [Schistosoma mekongi]
KAK4470370.1         -           1169 50756at33208         -           1058   2.9e-71  239.8   2.2   2   2   4.8e-48   1.1e-44  151.8   0.2   616   923   710  1039   704  1149 0.83 hypothetical protein MN116_005611 [Schistosoma mekongi]
KAK4468357.1         -           2195 50756at33208         -           1058   8.6e-34  115.7   0.4   1   3   0.00015      0.34    7.8   0.0   385   424  1241  1280  1227  1307 0.86 hypothetical protein MN116_008150 [Schistosoma mekongi]
KAK4468357.1         -           2195 50756at33208         -           1058   8.6e-34  115.7   0.4   2   3   1.1e-12   2.4e-09   34.8   0.0   501   614  1466  1576  1446  1581 0.90 hypothetical protein MN116_008150 [Schistosoma mekongi]
KAK4468357.1         -           2195 50756at33208         -           1058   8.6e-34  115.7   0.4   3   3   4.8e-23   1.1e-19   69.0   0.1   605   802  1610  1831  1601  1877 0.80 hypothetical protein MN116_008150 [Schistosoma mekongi]
KAK4476061.1         -           1834 50756at33208         -           1058   6.2e-05   20.2   0.0   1   1     5e-08   0.00011   19.3   0.0   651   709   182   240   174   252 0.87 hypothetical protein MN116_001288 [Schistosoma mekongi]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/50756at33208.hmm
# Target file:     /users/40483456/protein/s.mekongi.faa
# Option settings: hmmsearch --domtblout /users/40483456/busco/results_pro/s.mekongi_busco/run_metazoa_odb10/hmmer_output/initial_run_results/50756at33208.out --cpu 1 /users/40483456/busco_datasets/busco_downloads/lineages/metazoa_odb10/hmms/50756at33208.hmm /users/40483456/protein/s.mekongi.faa 
# Current dir:     /users/40483456
# Date:            Thu Jan 15 18:04:28 2026
# [ok]
