Orthogroup	schistosoma_turkestanicum	s.mekongi
OG0000000	STRK1_100920.1, STRK1_106730.1, STRK1_102850.1, STRK1_86200.1, STRK1_106270.1, STRK1_33990.1, STRK1_42670.1, STRK1_33630.1, STRK1_106990.1, STRK1_50280.1, STRK1_54000.1, STRK1_6720.1	KAK4467292.1
OG0000002	STRK1_40290.1, STRK1_40290.2	KAK4468963.1, KAK4474300.1, KAK4474292.1, KAK4468401.1, KAK4470013.1, KAK4468389.1, KAK4468387.1, KAK4467415.1, KAK4471035.1, KAK4467347.1, KAK4467348.1, KAK4471052.1, KAK4472162.1, KAK4474339.1, KAK4467259.1, KAK4474249.1, KAK4468977.1, KAK4472141.1, KAK4468395.1, KAK4472211.1, KAK4472207.1, KAK4472132.1, KAK4470048.1, KAK4471020.1, KAK4468378.1, KAK4474245.1, KAK4472226.1, KAK4472138.1, KAK4468396.1, KAK4470000.1, KAK4471084.1, KAK4474337.1, KAK4467315.1, KAK4472136.1
OG0000004	STRK1_80630.1, STRK1_51910.1, STRK1_37450.1, STRK1_105100.1, STRK1_100440.1, STRK1_92990.1, STRK1_42560.1	KAK4474260.1
OG0000006	STRK1_41660.1, STRK1_55710.1, STRK1_86020.1, STRK1_22820.1, STRK1_22820.2, STRK1_48860.1, STRK1_63420.1, STRK1_63420.2, STRK1_14260.1, STRK1_44290.1, STRK1_22760.1, STRK1_21440.2, STRK1_29920.1, STRK1_18950.1, STRK1_18950.2, STRK1_6250.1, STRK1_65670.1, STRK1_109850.1	KAK4467570.1
OG0000006	STRK1_52500.1	KAK4467266.1, KAK4471051.1, KAK4467263.1, KAK4467318.1, KAK4474267.1
OG0000009	STRK1_39640.1	KAK4471529.1, KAK4471801.1, KAK4469289.1
OG0000012	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3	KAK4473632.1
OG0000014	STRK1_32840.1	KAK4473936.1
OG0000015	STRK1_32820.1	KAK4473938.1
OG0000015	STRK1_58960.1	KAK4471448.1
OG0000015	STRK1_28980.1	KAK4473954.1, KAK4473955.1
OG0000015	STRK1_40280.1	KAK4467362.1, KAK4467363.1
OG0000015	STRK1_9490.1	KAK4474356.1
OG0000019	STRK1_28380.1	KAK4473983.1
OG0000019	STRK1_28370.1	KAK4473981.1
OG0000020	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2	KAK4468750.1, KAK4468742.1, KAK4468876.1, KAK4468761.1
OG0000021	STRK1_3460.1	KAK4475892.1, KAK4475894.1
OG0000021	STRK1_3470.1	KAK4475895.1
OG0000021	STRK1_3440.1	KAK4475890.1
OG0000021	STRK1_3450.1	KAK4475891.1
OG0000021	STRK1_3430.1	KAK4475889.1
OG0000022	STRK1_25560.1, STRK1_25560.2	KAK4473037.1
OG0000023	STRK1_18830.1, STRK1_109670.1, STRK1_66810.1, STRK1_10470.1, STRK1_78320.1, STRK1_103420.1, STRK1_110510.1, STRK1_76590.1, STRK1_94860.1, STRK1_59810.1, STRK1_90750.1, STRK1_21690.1	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1
OG0000024	STRK1_22140.1	KAK4473313.1
OG0000024	STRK1_101880.1	KAK4468456.1
OG0000024	STRK1_58710.1	KAK4471475.1
OG0000024	STRK1_78170.1	KAK4470835.1
OG0000024	STRK1_78160.1	KAK4470057.1
OG0000026	STRK1_76900.1, STRK1_76900.2	KAK4470973.1
OG0000026	STRK1_69960.1, STRK1_69960.2	KAK4470239.1, KAK4470240.1, KAK4470216.1
OG0000027	STRK1_38360.1	KAK4473677.1
OG0000028	STRK1_68350.1	KAK4470768.1
OG0000029	STRK1_108400.1	KAK4471130.1
OG0000029	STRK1_85070.1	KAK4468717.1
OG0000029	STRK1_85080.1	KAK4468778.1
OG0000029	STRK1_18700.1	KAK4474996.1
OG0000029	STRK1_18700.2	KAK4474996.1
OG0000029	STRK1_87900.1, STRK1_87910.1	KAK4468699.1
OG0000029	STRK1_87930.1	KAK4468698.1
OG0000030	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3	KAK4476063.1
OG0000031	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3	KAK4475389.1
OG0000032	STRK1_56770.1	KAK4476283.1, KAK4476284.1
OG0000032	STRK1_76860.1	KAK4470045.1
OG0000034	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3	KAK4468479.1
OG0000034	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1	KAK4468478.1
OG0000034	STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1	KAK4471028.1, KAK4471029.1
OG0000035	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1	KAK4475274.1
OG0000036	STRK1_42430.1	KAK4472143.1, KAK4472173.1, KAK4474228.1, KAK4474291.1, KAK4467477.1, KAK4471065.1, KAK4474306.1, KAK4472149.1, KAK4470022.1
OG0000037	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2	KAK4471851.1
OG0000037	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1	KAK4471850.1
OG0000042	STRK1_38240.1	KAK4472150.1
OG0000042	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3	KAK4472153.1
OG0000042	STRK1_38190.1	KAK4473688.1
OG0000042	STRK1_38200.1, STRK1_38210.1, STRK1_38220.1	KAK4472151.1, KAK4472152.1
OG0000044	STRK1_83210.1, STRK1_83210.2	KAK4468903.1
OG0000044	STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1, STRK1_83840.1, STRK1_83810.1	KAK4468904.1
OG0000049	STRK1_67640.1	KAK4470136.1, KAK4470137.1
OG0000049	STRK1_71350.1	KAK4470598.1
OG0000050	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2	KAK4469367.1
OG0000052	STRK1_27330.1	KAK4472821.1
OG0000052	STRK1_16800.1	KAK4474336.1
OG0000052	STRK1_440.1	KAK4474374.1
OG0000052	STRK1_1120.1, STRK1_97400.1	KAK4474946.1
OG0000052	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1	KAK4471620.1
OG0000053	STRK1_2330.1	KAK4475177.1, KAK4475178.1
OG0000054	STRK1_94850.1, STRK1_78190.1	KAK4471025.1, KAK4468371.1, KAK4474289.1
OG0000054	STRK1_3800.1, STRK1_3800.2	KAK4471019.1
OG0000055	STRK1_66850.1	KAK4471575.1, KAK4471564.1
OG0000058	STRK1_86390.1	KAK4468525.1
OG0000058	STRK1_77870.1	KAK4470069.1
OG0000058	STRK1_77680.1	KAK4470074.1, KAK4470072.1
OG0000058	STRK1_97370.1, STRK1_100950.1, STRK1_77860.1, STRK1_103520.1, STRK1_77850.1	KAK4470068.1
OG0000060	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1	KAK4471247.1
OG0000061	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2	KAK4469486.1
OG0000062	STRK1_3690.1, STRK1_3690.2, STRK1_3690.3, STRK1_3690.4, STRK1_3690.6, STRK1_3690.5	KAK4475970.1
OG0000064	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1	KAK4475705.1
OG0000065	STRK1_21210.1	KAK4473358.1
OG0000065	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1	KAK4473352.1, KAK4473355.1, KAK4473357.1
OG0000066	STRK1_27970.1, STRK1_27970.2	KAK4473833.1
OG0000067	STRK1_100830.1, STRK1_61070.1, STRK1_61070.2, STRK1_100070.1	KAK4471577.1
OG0000068	STRK1_51720.1	KAK4469181.1
OG0000068	STRK1_90930.1	KAK4467758.1
OG0000068	STRK1_31350.1	KAK4473996.1, KAK4473997.1, KAK4473998.1
OG0000068	STRK1_27380.1	KAK4472801.1
OG0000069	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1	KAK4474982.1
OG0000070	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1	KAK4472878.1
OG0000071	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2	KAK4472253.1
OG0000072	STRK1_86450.1	KAK4468648.1
OG0000073	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3	KAK4469816.1
OG0000074	STRK1_720.1	KAK4476006.1
OG0000074	STRK1_88120.1	KAK4468714.1
OG0000074	STRK1_10690.2, STRK1_10690.1	KAK4474596.1
OG0000075	STRK1_35140.1, STRK1_35140.2	KAK4472282.1
OG0000076	STRK1_85230.1, STRK1_85230.2	KAK4468620.1
OG0000076	STRK1_16320.1, STRK1_16320.2	KAK4467358.1, KAK4475671.1
OG0000077	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2	KAK4475941.1
OG0000078	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4	KAK4467476.1, KAK4475827.1
OG0000079	STRK1_29350.1, STRK1_29350.2	KAK4472724.1
OG0000080	STRK1_39780.1	KAK4472503.1
OG0000082	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3	KAK4476263.1
