Orthogroup	trichobilharzia_regenti	schistosoma_turkestanicum
OG0000000	TREG1_83270.1	STRK1_106990.1, STRK1_50280.1
OG0000006	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1	STRK1_41660.1, STRK1_55710.1, STRK1_86020.1, STRK1_22820.1, STRK1_22820.2, STRK1_48860.1, STRK1_63420.1, STRK1_63420.2, STRK1_14260.1, STRK1_44290.1, STRK1_22760.1, STRK1_21440.2, STRK1_29920.1, STRK1_18950.1, STRK1_18950.2, STRK1_6250.1, STRK1_65670.1, STRK1_109850.1, STRK1_1850.1
OG0000009	TREG1_111030.1, TREG1_75240.1, TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1, TREG1_110120.1, TREG1_113870.1, TREG1_2240.1, TREG1_2250.1, TREG1_4050.1, TREG1_111470.1, TREG1_51970.1, TREG1_11990.1, TREG1_9000.1, TREG1_111240.1, TREG1_37970.1, TREG1_79180.1, TREG1_115630.1, TREG1_95220.1, TREG1_8090.1, TREG1_36810.1, TREG1_34410.1, TREG1_97720.1, TREG1_4790.1, TREG1_3250.1, TREG1_132080.1, TREG1_92940.1, TREG1_21490.1, TREG1_140340.1, TREG1_81780.1, TREG1_71370.1, TREG1_15380.1, TREG1_102720.1, TREG1_87620.1, TREG1_18280.1, TREG1_5270.1, TREG1_8140.1, TREG1_113410.1, TREG1_41040.1, TREG1_58490.1, TREG1_111100.1, TREG1_134360.1, TREG1_129910.1, TREG1_9150.1, TREG1_116050.1, TREG1_7850.1, TREG1_113040.1, TREG1_51650.1, TREG1_56290.1, TREG1_73870.1, TREG1_135550.1, TREG1_64950.1, TREG1_106560.1, TREG1_56430.1, TREG1_58610.1, TREG1_14020.1, TREG1_122800.1, TREG1_65930.1	STRK1_39640.1
OG0000012	TREG1_45790.1	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3
OG0000014	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1	STRK1_32840.1
OG0000015	TREG1_51330.1	STRK1_32820.1
OG0000015	TREG1_82560.1	STRK1_58960.1
OG0000015	TREG1_82570.1	STRK1_58950.1
OG0000015	TREG1_44970.1	STRK1_28980.1
OG0000015	TREG1_44960.1	STRK1_28970.1
OG0000015	TREG1_44940.2, TREG1_44940.1	STRK1_28940.1
OG0000015	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1	STRK1_40280.1
OG0000015	TREG1_42390.2	STRK1_41060.1
OG0000015	TREG1_42390.1, TREG1_42390.3, TREG1_42400.1	STRK1_41050.1, STRK1_41050.2, STRK1_41050.3
OG0000015	TREG1_129100.1	STRK1_9490.1
OG0000019	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2	STRK1_28380.1, STRK1_28370.1
OG0000021	TREG1_7080.1	STRK1_12640.1
OG0000021	TREG1_13160.1	STRK1_3460.1
OG0000021	TREG1_13170.1, TREG1_13180.1	STRK1_3470.1
OG0000021	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5	STRK1_3440.1
OG0000021	TREG1_13150.1	STRK1_3450.1
OG0000021	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2	STRK1_3430.1
OG0000022	TREG1_58780.1	STRK1_25560.1, STRK1_25560.2
OG0000023	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1	STRK1_18830.1, STRK1_109670.1, STRK1_66810.1, STRK1_10470.1, STRK1_78320.1, STRK1_103420.1, STRK1_110510.1, STRK1_76590.1, STRK1_94860.1, STRK1_59810.1, STRK1_90750.1, STRK1_21690.1
OG0000024	TREG1_48810.1	STRK1_22140.1
OG0000024	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1	STRK1_58710.1
OG0000024	TREG1_101000.1	STRK1_78170.1
OG0000024	TREG1_101010.1	STRK1_78160.1
OG0000026	TREG1_108810.1	STRK1_76900.1, STRK1_76900.2
OG0000026	TREG1_100830.1, TREG1_100840.1	STRK1_69960.1, STRK1_69960.2
OG0000027	TREG1_41010.1	STRK1_38360.1, STRK1_105950.1
OG0000028	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2	STRK1_68350.1
OG0000029	TREG1_77780.2, TREG1_77780.1	STRK1_108400.1
OG0000029	TREG1_125210.1	STRK1_85070.1
OG0000029	TREG1_120250.1	STRK1_85080.1
OG0000029	TREG1_124060.1	STRK1_87900.1, STRK1_87910.1
OG0000029	TREG1_124050.1	STRK1_87920.1
OG0000030	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1	STRK1_6180.1, STRK1_6180.4, STRK1_6180.5, STRK1_6180.6, STRK1_6180.7, STRK1_6180.8, STRK1_6180.2, STRK1_6180.3
OG0000031	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9	STRK1_19670.1, STRK1_19670.2, STRK1_19670.3
OG0000032	TREG1_77570.1, TREG1_77590.1, TREG1_77600.1, TREG1_77610.1	STRK1_9700.1, STRK1_56770.1
OG0000034	TREG1_128470.1	STRK1_89090.1, STRK1_89090.2, STRK1_89090.3
OG0000034	TREG1_103670.1, TREG1_103680.1, TREG1_103680.2	STRK1_89060.1, STRK1_89070.1, STRK1_89080.1, STRK1_56670.1, STRK1_56660.1, STRK1_56720.1, STRK1_56680.1, STRK1_56630.1, STRK1_56650.1
OG0000035	TREG1_21190.1, TREG1_21180.1	STRK1_4760.4, STRK1_4760.6, STRK1_4760.3, STRK1_4760.5, STRK1_4760.7, STRK1_4760.8, STRK1_4760.2, STRK1_4760.1
OG0000036	TREG1_94140.1, TREG1_38710.1, TREG1_23760.1, TREG1_26550.1, TREG1_96170.1, TREG1_4890.1, TREG1_109400.1, TREG1_37380.1, TREG1_129170.1, TREG1_116600.1, TREG1_820.1, TREG1_46890.1, TREG1_140720.1, TREG1_114640.1, TREG1_129140.1, TREG1_134900.1, TREG1_136510.1, TREG1_2510.1, TREG1_48130.1, TREG1_74950.1	STRK1_42430.1
OG0000037	TREG1_143150.1, TREG1_143170.1, TREG1_143160.1, TREG1_88320.1, TREG1_143140.1	STRK1_105250.1, STRK1_57970.1, STRK1_57970.2
OG0000037	TREG1_143780.2, TREG1_143780.5, TREG1_143780.6, TREG1_143780.8, TREG1_143780.9, TREG1_143780.10, TREG1_143780.7, TREG1_143780.4, TREG1_143780.1, TREG1_143780.3	STRK1_58000.1, STRK1_105220.1, STRK1_57980.1
OG0000040	TREG1_66800.2, TREG1_66800.1, TREG1_66800.3, TREG1_66800.4	STRK1_101230.2, STRK1_101230.1, STRK1_101230.3, STRK1_101230.4, STRK1_101230.5
OG0000042	TREG1_41180.1, TREG1_41180.2	STRK1_38240.1
OG0000042	TREG1_138040.1	STRK1_38230.1, STRK1_38230.2, STRK1_38230.3
OG0000042	TREG1_41220.1, TREG1_41220.2, TREG1_41220.3, TREG1_140250.1, TREG1_140240.1, TREG1_140250.2	STRK1_38190.1, STRK1_38200.1, STRK1_38210.1, STRK1_38220.1
OG0000043	TREG1_37960.2, TREG1_37960.9, TREG1_37960.3, TREG1_37960.10, TREG1_37960.1, TREG1_37960.6, TREG1_37960.5, TREG1_37960.7, TREG1_37960.8, TREG1_37960.4	STRK1_23860.1, STRK1_23860.2
OG0000044	TREG1_78880.1, TREG1_122270.2, TREG1_122270.1, TREG1_122270.3	STRK1_83210.1, STRK1_83210.2, STRK1_110250.1, STRK1_83790.1, STRK1_110290.1, STRK1_99090.1, STRK1_110280.1, STRK1_83840.1, STRK1_83810.1
OG0000049	TREG1_96590.1, TREG1_96590.2, TREG1_96590.3, TREG1_96590.4	STRK1_67640.1
OG0000049	TREG1_104790.1	STRK1_71350.1
OG0000050	TREG1_61870.1, TREG1_61870.2	STRK1_51560.1, STRK1_51570.1, STRK1_51570.2
OG0000052	TREG1_49560.1, TREG1_49560.2	STRK1_27330.1
OG0000052	TREG1_1120.1, TREG1_1140.1	STRK1_16800.1
OG0000052	TREG1_13330.1, TREG1_13320.1	STRK1_440.1
OG0000052	TREG1_1620.3, TREG1_1620.1, TREG1_1620.2	STRK1_1120.1, STRK1_97400.1
OG0000052	TREG1_82400.1	STRK1_64820.1, STRK1_108560.1, STRK1_64800.1, STRK1_96430.1
OG0000053	TREG1_26790.16, TREG1_26790.1, TREG1_26790.15, TREG1_26790.6, TREG1_26790.8, TREG1_26790.12, TREG1_26790.14, TREG1_26790.4, TREG1_26790.11, TREG1_26790.13, TREG1_26790.2, TREG1_26790.3, TREG1_26790.5, TREG1_26790.7, TREG1_26790.10, TREG1_26790.9	STRK1_2330.1
OG0000055	TREG1_24000.3, TREG1_24000.2, TREG1_24000.6, TREG1_24000.13, TREG1_24000.10, TREG1_24000.4, TREG1_24000.8, TREG1_24000.12, TREG1_24000.11, TREG1_24000.9, TREG1_24000.1, TREG1_24000.7, TREG1_24000.5	STRK1_66850.1
OG0000056	TREG1_137290.1	STRK1_44730.1, STRK1_44160.1, STRK1_44160.2, STRK1_44740.1
OG0000058	TREG1_125580.1	STRK1_86390.1
OG0000058	TREG1_101190.1, TREG1_101210.1	STRK1_77870.1
OG0000058	TREG1_109360.1, TREG1_109360.2	STRK1_77680.1
OG0000058	TREG1_101200.1	STRK1_97370.1, STRK1_100950.1, STRK1_77860.1, STRK1_103520.1, STRK1_77850.1
OG0000060	TREG1_87890.1	STRK1_62570.1, STRK1_62570.2, STRK1_102200.1
OG0000061	TREG1_76900.1, TREG1_76910.1	STRK1_46950.3, STRK1_46950.1, STRK1_46950.2
OG0000064	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8	STRK1_16030.3, STRK1_16030.2, STRK1_16030.4, STRK1_16030.1
OG0000065	TREG1_32260.1, TREG1_32260.2	STRK1_21210.1
OG0000065	TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2	STRK1_109970.1, STRK1_109730.2, STRK1_109730.1, STRK1_21710.1, STRK1_21200.1, STRK1_21720.1
OG0000066	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12	STRK1_27970.1, STRK1_27970.2, STRK1_27970.3, STRK1_27970.4
OG0000067	TREG1_91260.1	STRK1_100830.1, STRK1_61070.1, STRK1_61070.2, STRK1_100070.1
OG0000068	TREG1_71380.1	STRK1_51720.1
OG0000068	TREG1_131340.1, TREG1_131340.2	STRK1_90930.1
OG0000068	TREG1_55730.1	STRK1_31350.1
OG0000068	TREG1_49690.1	STRK1_27380.1
OG0000069	TREG1_21770.1, TREG1_21780.1	STRK1_18870.1, STRK1_18930.1, STRK1_18960.1
OG0000070	TREG1_42860.1	STRK1_40150.3, STRK1_40150.4, STRK1_40150.2, STRK1_40150.1
OG0000071	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2	STRK1_109260.1, STRK1_109260.2, STRK1_27490.1, STRK1_27490.3, STRK1_27490.2
OG0000072	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15	STRK1_86450.1
OG0000073	TREG1_65500.1, TREG1_65510.1	STRK1_110660.1, STRK1_54890.1, STRK1_54890.2, STRK1_54890.3
OG0000074	TREG1_121440.3, TREG1_121440.1, TREG1_121440.2	STRK1_88120.1
OG0000074	TREG1_20790.1	STRK1_10690.2, STRK1_10690.1
OG0000075	TREG1_53440.1, TREG1_53440.2	STRK1_35140.1, STRK1_35140.2
OG0000076	TREG1_126320.1, TREG1_126330.1	STRK1_85230.1, STRK1_85230.2
OG0000076	TREG1_910.2, TREG1_910.1, TREG1_920.1	STRK1_16320.1, STRK1_16320.2
OG0000077	TREG1_9470.1, TREG1_9470.2	STRK1_10130.1, STRK1_10130.3, STRK1_10130.2
OG0000078	TREG1_1670.2, TREG1_1670.1, TREG1_1670.3, TREG1_1670.5, TREG1_1670.6, TREG1_1670.7, TREG1_1670.4	STRK1_3170.5, STRK1_3170.6, STRK1_3170.7, STRK1_3170.8, STRK1_3170.3, STRK1_3170.1, STRK1_3170.2, STRK1_3170.4
OG0000079	TREG1_52960.1	STRK1_29350.1, STRK1_29350.2
OG0000079	TREG1_71980.1, TREG1_71980.5, TREG1_71980.2, TREG1_71980.4, TREG1_71980.3	STRK1_51780.1, STRK1_51780.2
OG0000080	TREG1_40460.2, TREG1_40460.3, TREG1_40460.4, TREG1_40460.5, TREG1_40460.1, TREG1_40460.6	STRK1_101810.1, STRK1_39780.1, STRK1_39760.1, STRK1_39760.2, STRK1_39760.3
OG0000082	TREG1_7110.14, TREG1_7110.8, TREG1_7110.1, TREG1_7110.11, TREG1_7110.2, TREG1_7110.3, TREG1_7110.4, TREG1_7110.5, TREG1_7110.6, TREG1_7110.9, TREG1_7110.12, TREG1_7110.10, TREG1_7110.7, TREG1_7110.13	STRK1_9790.2, STRK1_9790.4, STRK1_9790.5, STRK1_9790.1, STRK1_9790.3
OG0000083	TREG1_22720.1, TREG1_117120.1, TREG1_133620.1, TREG1_30920.1, TREG1_46910.1, TREG1_80250.1, TREG1_80250.2, TREG1_80570.1, TREG1_128070.1, TREG1_134010.1, TREG1_126000.1, TREG1_29030.1, TREG1_29040.1, TREG1_81290.1, TREG1_94430.1, TREG1_85870.1, TREG1_145310.1, TREG1_80490.1, TREG1_6070.1, TREG1_68420.1, TREG1_8700.1, TREG1_143420.1, TREG1_143420.2, TREG1_143420.3, TREG1_143420.4, TREG1_117060.1, TREG1_117170.1, TREG1_79400.1, TREG1_93950.1, TREG1_96390.1, TREG1_137080.1, TREG1_93740.1, TREG1_65840.1, TREG1_111620.1, TREG1_31950.1, TREG1_132730.1, TREG1_18000.1, TREG1_100610.1, TREG1_100610.2, TREG1_86410.1, TREG1_130800.1, TREG1_30140.1, TREG1_54600.1, TREG1_89180.1, TREG1_140520.1, TREG1_140520.2, TREG1_49520.1, TREG1_93050.1, TREG1_32080.1, TREG1_111080.1, TREG1_30480.1, TREG1_104970.1, TREG1_17260.1, TREG1_17260.2, TREG1_30510.1, TREG1_33980.1, TREG1_34320.1, TREG1_79500.1, TREG1_93430.1, TREG1_70200.1, TREG1_30020.1, TREG1_104960.1, TREG1_78180.1, TREG1_34280.1, TREG1_33320.1, TREG1_97020.1, TREG1_133100.1	STRK1_77560.1, STRK1_77560.2
OG0000085	TREG1_54260.1, TREG1_54250.1	STRK1_31220.1, STRK1_31220.2
OG0000086	TREG1_100910.2, TREG1_100910.3, TREG1_100910.8, TREG1_100910.6, TREG1_100910.5, TREG1_100910.4, TREG1_100910.10, TREG1_100910.1, TREG1_100910.7, TREG1_100910.9	STRK1_71670.1, STRK1_71670.2
OG0000087	TREG1_69010.1	STRK1_47250.7, STRK1_47250.5, STRK1_47250.1, STRK1_47250.2, STRK1_47250.6, STRK1_47250.3, STRK1_47250.4
OG0000088	TREG1_18410.1, TREG1_18410.2	STRK1_17030.1
OG0000088	TREG1_18400.1, TREG1_18400.2, TREG1_18400.3	STRK1_17040.1, STRK1_17040.2
OG0000090	TREG1_61990.5, TREG1_61990.6, TREG1_61990.1, TREG1_61990.12, TREG1_61990.13, TREG1_61990.2, TREG1_61990.3, TREG1_61990.4, TREG1_61990.8, TREG1_62010.1, TREG1_62030.1, TREG1_61990.7	STRK1_104500.1, STRK1_49250.1, STRK1_49240.1
OG0000091	TREG1_63980.1, TREG1_63970.1	STRK1_45930.4, STRK1_45930.1, STRK1_45930.2, STRK1_45930.3, STRK1_45930.5
OG0000092	TREG1_108950.6, TREG1_108950.3, TREG1_108950.4, TREG1_108950.2, TREG1_108950.1, TREG1_108950.5, TREG1_108950.7	STRK1_1440.1, STRK1_1440.2, STRK1_95560.1, STRK1_1440.3, STRK1_1440.4
OG0000092	TREG1_28070.1	STRK1_8500.1, STRK1_8500.2
OG0000093	TREG1_40800.1	STRK1_38460.1
OG0000093	TREG1_36490.1, TREG1_36500.1, TREG1_36510.1, TREG1_36520.1, TREG1_36540.1, TREG1_36560.1, TREG1_36550.1	STRK1_97970.1, STRK1_100710.1, STRK1_102120.1
OG0000094	TREG1_6800.1	STRK1_12440.10, STRK1_12440.8, STRK1_12440.9, STRK1_12440.1, STRK1_12440.2, STRK1_12440.3, STRK1_12440.7, STRK1_12440.6, STRK1_12440.4, STRK1_12440.5
OG0000095	TREG1_88160.1, TREG1_88160.2, TREG1_88160.4, TREG1_88160.5, TREG1_88160.3	STRK1_60680.1
OG0000096	TREG1_50750.1, TREG1_50750.4, TREG1_50750.5, TREG1_50750.6, TREG1_50750.2, TREG1_50750.3	STRK1_36430.3, STRK1_36430.1, STRK1_36430.2
OG0000097	TREG1_6190.1	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3
OG0000098	TREG1_89850.1	STRK1_64600.1, STRK1_64590.1
OG0000099	TREG1_92100.1, TREG1_92090.1, TREG1_92150.1	STRK1_66160.1, STRK1_66130.1, STRK1_104580.1, STRK1_66160.2
OG0000099	TREG1_100730.1	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1
OG0000102	TREG1_121500.1, TREG1_12110.1, TREG1_12100.1, TREG1_12100.2	STRK1_3550.1, STRK1_3550.2
OG0000102	TREG1_78640.2, TREG1_78640.1, TREG1_78640.3	STRK1_56260.1
OG0000103	TREG1_103240.4, TREG1_103240.8, TREG1_103240.1, TREG1_103240.2, TREG1_103240.7, TREG1_103240.9, TREG1_103240.5, TREG1_103240.3, TREG1_103240.6	STRK1_75520.1, STRK1_75520.2
OG0000104	TREG1_5890.1	STRK1_3670.1, STRK1_3670.2
OG0000105	TREG1_4000.1, TREG1_3990.1	STRK1_13170.1
OG0000106	TREG1_98200.1, TREG1_98320.1	STRK1_87300.1, STRK1_101570.1, STRK1_104770.1, STRK1_87290.1, STRK1_87260.1, STRK1_87310.1, STRK1_87270.1, STRK1_87270.2, STRK1_102780.1, STRK1_87280.1, STRK1_72760.1, STRK1_72790.1, STRK1_102100.1, STRK1_72780.1, STRK1_72770.1
OG0000107	TREG1_73890.1	STRK1_49750.1
OG0000107	TREG1_71680.1	STRK1_49750.2
OG0000108	TREG1_6870.5, TREG1_6870.6, TREG1_6870.4, TREG1_6870.3, TREG1_6870.1, TREG1_6870.2	STRK1_12570.1, STRK1_12570.2
OG0000110	TREG1_47950.1	STRK1_30120.1
OG0000110	TREG1_48000.1	STRK1_30150.1
OG0000110	TREG1_47940.1, TREG1_48010.1	STRK1_30110.1
OG0000110	TREG1_48030.1, TREG1_48020.1	STRK1_30100.1, STRK1_30100.2
OG0000111	TREG1_66640.1	STRK1_46420.1
OG0000112	TREG1_117660.1	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1
OG0000114	TREG1_134270.1, TREG1_134270.2	STRK1_91030.1, STRK1_91030.2
OG0000115	TREG1_45770.1	STRK1_28410.1
OG0000116	TREG1_67890.4, TREG1_67890.2, TREG1_67890.5, TREG1_67890.1, TREG1_67890.3	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2
OG0000117	TREG1_48240.1, TREG1_48240.4, TREG1_48240.2, TREG1_48240.3	STRK1_30040.1
OG0000118	TREG1_45530.1, TREG1_45530.2	STRK1_37870.1
OG0000118	TREG1_45520.2, TREG1_45520.7, TREG1_45520.1, TREG1_45520.3, TREG1_45520.4, TREG1_45520.5, TREG1_45520.6, TREG1_45610.1, TREG1_45620.1, TREG1_45560.1, TREG1_45640.1, TREG1_45640.2	STRK1_109120.1, STRK1_37860.1, STRK1_109130.1, STRK1_37850.1
OG0000119	TREG1_135860.5, TREG1_135860.3, TREG1_135860.4, TREG1_135860.7, TREG1_135860.6, TREG1_135860.9, TREG1_135860.10, TREG1_135860.1, TREG1_135860.2, TREG1_135860.11, TREG1_135860.8	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7
OG0000120	TREG1_47680.6, TREG1_47680.10, TREG1_47680.1, TREG1_47680.2, TREG1_47680.3, TREG1_47680.5, TREG1_47680.8, TREG1_47680.9, TREG1_47680.4, TREG1_47680.7	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4
OG0000122	TREG1_101160.8, TREG1_101160.1, TREG1_101160.2, TREG1_101160.7, TREG1_101160.3, TREG1_101160.4, TREG1_101160.5, TREG1_101160.6	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2
OG0000123	TREG1_104380.1, TREG1_104380.2, TREG1_104380.3	STRK1_73130.1, STRK1_73130.2
OG0000125	TREG1_11410.12, TREG1_11410.5, TREG1_11410.7, TREG1_11410.11, TREG1_11410.3, TREG1_11410.4, TREG1_11410.8, TREG1_11410.1, TREG1_11410.2, TREG1_11410.10, TREG1_11410.6, TREG1_11410.9	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1
OG0000126	TREG1_95210.1	STRK1_68690.1
OG0000127	TREG1_54350.1	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2
OG0000128	TREG1_42700.1, TREG1_42710.1	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2
OG0000129	TREG1_51790.1	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2
OG0000130	TREG1_114030.3, TREG1_114030.1, TREG1_114030.2	STRK1_79420.1, STRK1_79420.2
OG0000131	TREG1_11060.2, TREG1_11060.5, TREG1_11060.1, TREG1_11060.4, TREG1_11060.6, TREG1_11060.3	STRK1_12320.1
OG0000131	TREG1_10880.1	STRK1_12290.1, STRK1_83820.1, STRK1_83830.1, STRK1_83850.1, STRK1_83860.1
OG0000132	TREG1_52710.1, TREG1_52710.2	STRK1_36280.1, STRK1_36280.2
OG0000133	TREG1_46850.1	STRK1_32070.1
