Orthogroup	schistosoma_curassoni	s.mekongi
OG0000000	SCUR1_78890.1, SCUR1_41070.1, SCUR1_86560.1, SCUR1_60840.1, SCUR1_78680.1, SCUR1_21760.1, SCUR1_64960.1, SCUR1_49910.1, SCUR1_74540.1, SCUR1_11060.1, SCUR1_81040.1, SCUR1_33810.1, SCUR1_3950.1, SCUR1_3160.1	KAK4474313.1, KAK4474221.1
OG0000000	SCUR1_2030.1, SCUR1_59970.1, SCUR1_13410.1, SCUR1_84530.1, SCUR1_37650.1, SCUR1_31490.1, SCUR1_46190.1, SCUR1_64420.1, SCUR1_36220.1, SCUR1_10670.1, SCUR1_18070.1	KAK4467292.1
OG0000002	SCUR1_47440.1, SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3, SCUR1_17510.1, SCUR1_42100.1, SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1, SCUR1_97850.1, SCUR1_97850.2, SCUR1_94900.1	KAK4467347.1
OG0000002	SCUR1_56640.1	KAK4474259.1
OG0000004	SCUR1_59990.1	KAK4470021.1
OG0000006	SCUR1_64410.1, SCUR1_47060.1, SCUR1_99930.1, SCUR1_69570.1, SCUR1_67860.1, SCUR1_87410.1, SCUR1_37570.1	KAK4467570.1
OG0000006	SCUR1_97460.1	KAK4468381.1, KAK4474329.1, KAK4474327.1, KAK4472174.1, KAK4467496.1
OG0000006	SCUR1_32370.1, SCUR1_63120.1	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1
OG0000008	SCUR1_29990.1, SCUR1_49650.1, SCUR1_80680.1, SCUR1_3250.1, SCUR1_18080.1, SCUR1_34590.1, SCUR1_12050.1, SCUR1_48240.1, SCUR1_52260.1, SCUR1_37630.1, SCUR1_37100.1, SCUR1_5320.1, SCUR1_41520.1, SCUR1_5950.1, SCUR1_43610.1, SCUR1_43390.1, SCUR1_8410.1, SCUR1_60040.1, SCUR1_10360.1, SCUR1_85460.1, SCUR1_99950.1, SCUR1_15000.1, SCUR1_32700.1, SCUR1_99360.1, SCUR1_41850.1, SCUR1_74150.1, SCUR1_5300.1, SCUR1_10070.1	KAK4472200.1
OG0000009	SCUR1_23720.1, SCUR1_80140.1, SCUR1_21410.1, SCUR1_21410.2	KAK4471801.1
OG0000009	SCUR1_68060.1, SCUR1_40170.1, SCUR1_48290.1, SCUR1_25210.1	KAK4472212.1
OG0000012	SCUR1_40740.63, SCUR1_40740.64	KAK4473632.1
OG0000014	SCUR1_38430.34, SCUR1_38430.38, SCUR1_38430.10, SCUR1_38430.29, SCUR1_38430.30, SCUR1_38430.32, SCUR1_38430.33, SCUR1_38430.5, SCUR1_38430.7, SCUR1_38430.35, SCUR1_38430.36, SCUR1_38430.37, SCUR1_38430.16, SCUR1_38430.17, SCUR1_38430.18, SCUR1_38430.19, SCUR1_38430.27, SCUR1_38430.9, SCUR1_38430.28, SCUR1_38430.3, SCUR1_38430.31, SCUR1_38430.4, SCUR1_38430.6, SCUR1_38430.1, SCUR1_38430.15, SCUR1_38430.21, SCUR1_38430.22, SCUR1_38430.23, SCUR1_38430.2, SCUR1_38430.20, SCUR1_38430.24, SCUR1_38430.25, SCUR1_38430.26, SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14	KAK4473936.1
OG0000015	SCUR1_38440.1	KAK4473938.1
OG0000015	SCUR1_65580.1	KAK4471448.1
OG0000015	SCUR1_38610.1	KAK4473954.1, KAK4473955.1
OG0000015	SCUR1_43800.1	KAK4467362.1, KAK4467363.1
OG0000016	SCUR1_1010.1	KAK4472342.1
