Orthogroup	opisthorchis_viverrini	schmidtea_mediterranea
OG0000000	T265_06533, T265_08570, T265_11698, T265_12546, T265_06177, T265_03248, T265_02413, T265_06638, T265_04635, T265_09917, T265_08882, T265_05532, T265_09370, T265_05276, T265_01027, T265_06587, T265_07591, T265_13751, T265_06143, T265_11671, T265_15361, T265_02362, T265_13866, T265_15223, T265_07427, T265_10562, T265_01486, T265_06926, T265_03798, T265_05554, T265_01422, T265_05160, T265_11429, T265_09742, T265_03429, T265_05572, T265_15647, T265_07687, T265_06526, T265_04884, T265_10809, T265_07517, T265_02826, T265_06663, T265_00603, T265_14063, T265_00103, T265_02131, T265_14942, T265_07200, T265_06091, T265_11586, T265_12734, T265_05736, T265_00282, T265_03380, T265_14712, T265_06932, T265_01261, T265_10246, T265_09694, T265_05340, T265_12961, T265_14658, T265_04750, T265_06821, T265_10817, T265_08973, T265_13859, T265_11753, T265_03797, T265_02084, T265_12901, T265_01387, T265_00077, T265_01026, T265_02287, T265_13581, T265_11717, T265_13817, T265_02455, T265_05867, T265_05297, T265_00702, T265_06344, T265_00441, T265_06646, T265_04510, T265_04094, T265_07705, T265_07496, T265_04545, T265_11720, T265_15202, T265_08248, T265_04346, T265_06626, T265_14616, T265_08392, T265_04654, T265_03606, T265_07107, T265_05673, T265_13115, T265_14745, T265_05418, T265_06006, T265_06300, T265_02039, T265_12005, T265_10068, T265_11176, T265_15728, T265_13717, T265_06754, T265_13091, T265_15497, T265_12887, T265_14625, T265_13541, T265_13105, T265_12768, T265_01918, T265_09900, T265_01833, T265_14019, T265_11185, T265_11456, T265_01508, T265_09381, T265_14925, T265_13796, T265_02918, T265_13050, T265_13257, T265_06733, T265_11075, T265_01836, T265_10051, T265_01226, T265_10313, T265_06708, T265_09401, T265_12055, T265_14585, T265_03491, T265_07219, T265_02827, T265_06356, T265_02691, T265_06740, T265_02706, T265_11584, T265_13208, T265_06915, T265_05637, T265_08413, T265_11175, T265_13747, T265_01112, T265_10079, T265_01663, T265_15688, T265_00419, T265_07431, T265_01929, T265_01570, T265_01431, T265_07780, T265_01386, T265_05368, T265_10118, T265_13927, T265_09709, T265_07528, T265_02171, T265_08179, T265_10371, T265_05969, T265_14756, T265_04084, T265_13694, T265_10818, T265_14300, T265_08752, T265_01655, T265_03689, T265_14240, T265_04774, T265_08861, T265_15512, T265_06418, T265_03868, T265_15666, T265_11256, T265_06940, T265_06155, T265_15217, T265_10433, T265_01308, T265_07248, T265_01342, T265_00862, T265_09276, T265_09458, T265_10132, T265_13343, T265_12951, T265_12152, T265_10189, T265_08208, T265_04445, T265_08265, T265_07213, T265_02252, T265_00642, T265_02938, T265_10989, T265_14993, T265_02443, T265_10065, T265_06680, T265_05034, T265_03519, T265_13143, T265_02262, T265_05644, T265_09281, T265_11939, T265_10934, T265_01032, T265_10183, T265_02748, T265_07356, T265_00989, T265_03225, T265_13193, T265_04370, T265_02479, T265_08292, T265_06106, T265_03992, T265_00738, T265_00648, T265_03740, T265_04814, T265_03618, T265_07508, T265_05251, T265_13971, T265_05924, T265_11738, T265_01000, T265_04573, T265_03467, T265_01355, T265_11891, T265_05764, T265_14052, T265_05739, T265_04107, T265_08627	h1SMcT0000914.1
OG0000002	T265_07568	h1SMcT0015173.1
OG0000002	T265_08272, T265_09025, T265_07095, T265_05988, T265_06278, T265_09314, T265_02771, T265_09435, T265_11803, T265_05040, T265_05430	h1SMcT0001934.1
OG0000005	T265_08678, T265_06144	h1SMcT0006406.1
OG0000005	T265_15624, T265_08884, T265_05955, T265_13723	h1SMcT0002504.1
OG0000009	T265_05386, T265_09113, T265_01730, T265_14900, T265_01906, T265_00922, T265_04043, T265_07923, T265_02768, T265_15882, T265_02247	h1SMcT0020629.46, h1SMcT0021509.1
OG0000010	T265_07521, T265_04640, T265_08228, T265_11188, T265_00946, T265_06572, T265_07798, T265_13863, T265_04991, T265_12735, T265_13486, T265_03840, T265_05696, T265_01457, T265_03616, T265_05745, T265_15748, T265_03727, T265_13421, T265_03839, T265_08549, T265_04547, T265_00181, T265_03079	h1SMcT0012568.1
OG0000012	T265_16252, T265_09012	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2
OG0000014	T265_11882	h1SMcT0018859.1, h1SMcT0020270.1
OG0000015	T265_11957, T265_01531, T265_01477, T265_11097, T265_06549, T265_06909, T265_06206, T265_10622, T265_01474, T265_01478, T265_01475, T265_15127, T265_04684, T265_11849, T265_12815, T265_15569, T265_01525, T265_01476, T265_15570, T265_01534, T265_12809, T265_04378	h1SMcT0022961.1
OG0000019	T265_07377, T265_13773	h1SMcT0009829.1
