Orthogroup	schistosoma_rodhaini	fasciola_gigantica
OG0000002	SRDH2_34910.1, SRDH2_89180.1	FGIG_11489
OG0000008	SRDH2_73390.1, SRDH2_8270.1, SRDH2_60930.1, SRDH2_43810.1, SRDH2_72260.1, SRDH2_100010.1, SRDH2_9710.1, SRDH2_48070.1, SRDH2_64900.1, SRDH2_37160.1, SRDH2_76800.1, SRDH2_19940.1, SRDH2_34490.1, SRDH2_33040.1, SRDH2_22090.1, SRDH2_102040.1, SRDH2_2620.1, SRDH2_71240.1, SRDH2_17770.1, SRDH2_99260.1, SRDH2_82170.1, SRDH2_101100.1, SRDH2_101970.1, SRDH2_101970.2, SRDH2_101150.1, SRDH2_57980.1, SRDH2_37950.1, SRDH2_65060.1, SRDH2_79060.1, SRDH2_39320.1, SRDH2_12840.1, SRDH2_91540.1, SRDH2_91540.2	FGIG_01604
OG0000012	SRDH2_40810.7, SRDH2_40810.12, SRDH2_40810.10, SRDH2_40810.8, SRDH2_40810.13, SRDH2_40810.9, SRDH2_40810.11, SRDH2_40810.1, SRDH2_40810.3, SRDH2_40810.5, SRDH2_40810.2, SRDH2_40810.4, SRDH2_40810.6	FGIG_00643
OG0000014	SRDH2_32020.33, SRDH2_32020.13, SRDH2_32020.17, SRDH2_32020.23, SRDH2_32020.27, SRDH2_32020.25, SRDH2_32020.18, SRDH2_32020.37, SRDH2_32020.3, SRDH2_32020.4, SRDH2_32020.12, SRDH2_32020.14, SRDH2_32020.16, SRDH2_32020.19, SRDH2_32020.20, SRDH2_32020.28, SRDH2_32020.1, SRDH2_32020.15, SRDH2_32020.24, SRDH2_32020.30, SRDH2_32020.5, SRDH2_32020.8, SRDH2_32020.38, SRDH2_32020.40, SRDH2_32020.2, SRDH2_32020.21, SRDH2_32020.29, SRDH2_32020.6, SRDH2_32020.11, SRDH2_32020.26, SRDH2_32020.31, SRDH2_32020.32, SRDH2_32020.34, SRDH2_32020.22, SRDH2_32020.10, SRDH2_32020.35, SRDH2_32020.36, SRDH2_32020.39, SRDH2_32020.9	FGIG_02434
OG0000015	SRDH2_66330.1, SRDH2_66340.1	FGIG_12126, FGIG_08847
OG0000015	SRDH2_38560.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	SRDH2_38570.1	FGIG_10471, FGIG_07736
OG0000015	SRDH2_43900.1	FGIG_03653
OG0000015	SRDH2_43070.1, SRDH2_43080.1, SRDH2_43060.1	FGIG_02432
OG0000015	SRDH2_10450.1	FGIG_05368, FGIG_05133
OG0000019	SRDH2_34300.1, SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4	FGIG_11320
OG0000021	SRDH2_8550.1	FGIG_04378, FGIG_04728
OG0000021	SRDH2_102090.1, SRDH2_5880.1	FGIG_06427, FGIG_06428
OG0000022	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3	FGIG_03596, FGIG_03595
OG0000023	SRDH2_67100.1	FGIG_12315
OG0000024	SRDH2_24010.1	FGIG_02542
OG0000024	SRDH2_94350.1	FGIG_10904
OG0000024	SRDH2_67860.1	FGIG_07662, FGIG_11018, FGIG_08815
OG0000026	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6	FGIG_05063
