Orthogroup	opisthorchis_viverrini	schistosoma_spindale
OG0000000	T265_03248, T265_02413, T265_06638, T265_04635, T265_09917	SSPN1_67710.1
OG0000000	T265_04445	SSPN1_26510.1
OG0000000	T265_08265, T265_07213	SSPN1_47020.1
OG0000000	T265_02938, T265_10989	SSPN1_61750.1, SSPN1_25780.1
OG0000000	T265_10065	SSPN1_17390.1
OG0000000	T265_06680	SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1
OG0000000	T265_08292, T265_06106, T265_03992, T265_00738	SSPN1_3650.1, SSPN1_73800.1, SSPN1_20720.1, SSPN1_61350.1
OG0000000	T265_00648	SSPN1_17120.1
OG0000000	T265_14052	SSPN1_8190.1
OG0000002	T265_11803	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1
OG0000002	T265_05040, T265_05430	SSPN1_65720.1, SSPN1_61980.1
OG0000003	T265_11432	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7
OG0000005	T265_11244	SSPN1_32330.1, SSPN1_34260.1, SSPN1_84120.1, SSPN1_9750.1, SSPN1_10670.1, SSPN1_69880.1, SSPN1_47380.1, SSPN1_80810.1, SSPN1_28240.1, SSPN1_30380.1
OG0000006	T265_12134	SSPN1_25500.1, SSPN1_88340.1, SSPN1_43780.1, SSPN1_19950.1, SSPN1_68800.1, SSPN1_29180.1
OG0000006	T265_06454	SSPN1_35780.1, SSPN1_75220.1, SSPN1_10930.1, SSPN1_36210.1, SSPN1_18280.1, SSPN1_68450.1, SSPN1_44910.1, SSPN1_3430.1
OG0000012	T265_16252, T265_09012	SSPN1_39340.1
OG0000014	T265_11882	SSPN1_32740.1
OG0000015	T265_11957	SSPN1_58880.1, SSPN1_58870.1
OG0000015	T265_01474, T265_01478, T265_01475, T265_15127	SSPN1_32590.1
OG0000015	T265_01476, T265_15570	SSPN1_42190.1
OG0000019	T265_07377	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16, SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3
OG0000021	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494	SSPN1_8230.1
OG0000021	T265_00883	SSPN1_5730.1, SSPN1_5720.1, SSPN1_5740.1, SSPN1_5750.1, SSPN1_5680.1, SSPN1_5680.2, SSPN1_5700.1
OG0000021	T265_13972, T265_07708, T265_07709, T265_14167	SSPN1_5710.1
OG0000022	T265_03268	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2
OG0000023	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001	SSPN1_44790.1
OG0000023	T265_09097	SSPN1_8610.1
OG0000024	T265_04524, T265_12877	SSPN1_22780.1
OG0000024	T265_08845	SSPN1_88100.1
OG0000024	T265_10896, T265_12043, T265_03132	SSPN1_65160.1
OG0000026	T265_07485	SSPN1_76710.1, SSPN1_76710.2
OG0000026	T265_12778, T265_12779, T265_13344, T265_13367	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2, SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3
OG0000027	T265_14036	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17, SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31, SSPN1_30990.4, SSPN1_30990.30, SSPN1_30990.35, SSPN1_30990.24, SSPN1_30990.28, SSPN1_30990.29, SSPN1_30990.14, SSPN1_30990.11, SSPN1_30990.6, SSPN1_30990.37, SSPN1_30990.15, SSPN1_30990.20, SSPN1_30990.39
OG0000028	T265_03596, T265_13290	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3
OG0000029	T265_08214	SSPN1_55690.1
OG0000029	T265_00572, T265_00570, T265_00571	SSPN1_84220.1
OG0000029	T265_09500, T265_09499, T265_09501, T265_16249	SSPN1_85060.1, SSPN1_85050.1
OG0000030	T265_14111	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77
OG0000031	T265_06361	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6
OG0000032	T265_03331	SSPN1_55430.1
OG0000032	T265_07282	SSPN1_21640.1, SSPN1_76750.3, SSPN1_76750.1, SSPN1_76750.2
OG0000034	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005	SSPN1_88360.1, SSPN1_88350.1, SSPN1_88330.1, SSPN1_88330.2, SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5, SSPN1_55380.1, SSPN1_55370.1, SSPN1_55320.1
OG0000035	T265_00972	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2
OG0000037	T265_00630	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3, SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1
OG0000038	T265_12650	SSPN1_83300.1, SSPN1_60260.1, SSPN1_32470.1, SSPN1_67920.1, SSPN1_73920.1, SSPN1_8810.1, SSPN1_12250.1, SSPN1_12250.2
OG0000040	T265_01293	SSPN1_50390.1, SSPN1_50400.1
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SSPN1_31120.1, SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7, SSPN1_31150.2, SSPN1_31160.2, SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1
