Orthogroup	schistosoma_intercalatum	schistosoma_haematobium
OG0000000	SINT1_27320.1, SINT1_96870.1, SINT1_6730.1	SHAE2_63900.1
OG0000000	SINT1_62850.1, SINT1_48570.1	SHAE2_69240.1
OG0000000	SINT1_65930.1	SHAE2_29520.1
OG0000000	SINT1_59000.1, SINT1_2420.1, SINT1_2490.1	SHAE2_77190.1, SHAE2_77190.2
OG0000000	SINT1_3960.1	SHAE2_81470.1
OG0000000	SINT1_13010.1	SHAE2_22980.1, SHAE2_22980.2, SHAE2_22980.3, SHAE2_22980.4, SHAE2_100780.1, SHAE2_69900.1
OG0000000	SINT1_3870.1, SINT1_3900.1	SHAE2_44510.1
OG0000000	SINT1_75520.1	SHAE2_36390.1, SHAE2_51630.1
OG0000000	SINT1_18930.1	SHAE2_54860.1, SHAE2_68440.1
OG0000000	SINT1_40970.1	SHAE2_11400.1
OG0000000	SINT1_41760.1	SHAE2_51070.1
OG0000000	SINT1_41170.1, SINT1_23230.1	SHAE2_19080.1
OG0000000	SINT1_90690.1, SINT1_49080.1, SINT1_58080.1	SHAE2_25780.1
OG0000000	SINT1_42170.1	SHAE2_33880.1
OG0000000	SINT1_45530.1, SINT1_81240.1	SHAE2_67380.1, SHAE2_67390.1
OG0000000	SINT1_6180.1	SHAE2_33930.1
OG0000000	SINT1_51150.1	SHAE2_90210.1
OG0000000	SINT1_62500.1	SHAE2_77100.1
OG0000002	SINT1_48900.1	SHAE2_24820.1, SHAE2_24820.2, SHAE2_24820.3, SHAE2_24820.4
OG0000002	SINT1_1990.1, SINT1_1990.2, SINT1_1990.3	SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3
OG0000003	SINT1_17140.1	SHAE2_20960.1
OG0000003	SINT1_35410.1, SINT1_35410.2, SINT1_35410.5, SINT1_35410.3, SINT1_35410.6, SINT1_35410.4, SINT1_35410.7, SINT1_35410.8, SINT1_17320.3, SINT1_17320.8, SINT1_17320.1, SINT1_17320.2, SINT1_17320.7	SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2
OG0000003	SINT1_17140.4, SINT1_17140.6, SINT1_17140.3, SINT1_890.1, SINT1_17140.2	SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5
OG0000003	SINT1_64680.3, SINT1_64680.4, SINT1_64680.1, SINT1_86810.3, SINT1_86810.2, SINT1_21700.1, SINT1_21700.2, SINT1_48210.2, SINT1_94580.1, SINT1_48210.1	SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5
OG0000004	SINT1_32650.1, SINT1_72000.1	SHAE2_54750.1, SHAE2_54750.2
OG0000004	SINT1_45250.1	SHAE2_92300.1, SHAE2_56980.1, SHAE2_56980.2, SHAE2_2480.1
OG0000004	SINT1_31170.1	SHAE2_29060.1
OG0000004	SINT1_68350.1	SHAE2_16670.1
OG0000004	SINT1_82280.1	SHAE2_54530.1
OG0000004	SINT1_66570.1	SHAE2_85020.1, SHAE2_102090.1, SHAE2_60460.1
OG0000004	SINT1_77150.1	SHAE2_15780.1
OG0000004	SINT1_1210.1	SHAE2_81380.1
OG0000004	SINT1_44880.1	SHAE2_38170.1
OG0000004	SINT1_1220.1	SHAE2_93840.1
OG0000004	SINT1_37370.1	SHAE2_102320.1, SHAE2_37060.1
OG0000004	SINT1_66670.1, SINT1_81820.1	SHAE2_70400.1, SHAE2_92480.1
OG0000004	SINT1_77680.1, SINT1_71570.1, SINT1_40360.1, SINT1_17680.1	SHAE2_44870.1
OG0000004	SINT1_26150.1	SHAE2_36270.1, SHAE2_54650.1
OG0000004	SINT1_69830.1	SHAE2_96260.1, SHAE2_96260.2
OG0000005	SINT1_26890.1, SINT1_6630.1	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1
OG0000005	SINT1_18860.1	SHAE2_55620.1
OG0000005	SINT1_32790.1, SINT1_94730.1	SHAE2_24880.1, SHAE2_48280.1
OG0000005	SINT1_69100.1	SHAE2_17810.1
OG0000005	SINT1_48750.1, SINT1_13590.1, SINT1_26950.1, SINT1_44150.1	SHAE2_98820.1
OG0000005	SINT1_10810.1, SINT1_10820.1, SINT1_16870.1, SINT1_29460.1, SINT1_29460.2, SINT1_29460.3, SINT1_29460.4, SINT1_29460.5, SINT1_29460.6, SINT1_29460.7, SINT1_18820.1	SHAE2_16280.1, SHAE2_57870.1, SHAE2_91870.1
OG0000005	SINT1_56920.1	SHAE2_23190.1
OG0000006	SINT1_39810.1	SHAE2_14790.1
OG0000006	SINT1_59640.1	SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1
OG0000006	SINT1_85130.1	SHAE2_63560.1, SHAE2_50040.1
OG0000006	SINT1_5030.1, SINT1_76970.1	SHAE2_49370.1
OG0000006	SINT1_49590.1, SINT1_9870.1, SINT1_500.1, SINT1_500.3, SINT1_500.2	SHAE2_77110.1, SHAE2_14280.1
OG0000006	SINT1_94400.1	SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4
OG0000006	SINT1_60220.1, SINT1_12740.1, SINT1_76250.1, SINT1_88950.1	SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1
OG0000008	SINT1_46510.1, SINT1_25930.1, SINT1_64440.1, SINT1_70830.1, SINT1_63570.1, SINT1_33470.1, SINT1_71680.1, SINT1_79730.1, SINT1_53990.1, SINT1_53990.2	SHAE2_83090.1
