Orthogroup	schistosoma_guineensis	fasciola_hepatica
OG0000000	SGUI1_51200.1	FhHiC23_g12874.t1
OG0000000	SGUI1_23940.1, SGUI1_72970.1, SGUI1_80390.1, SGUI1_85530.1, SGUI1_40540.1, SGUI1_39870.1, SGUI1_88850.1, SGUI1_16980.1, SGUI1_85750.1	FhHiC23_g1880.t1
OG0000000	SGUI1_4030.1	FhHiC23_g10085.t1
OG0000000	SGUI1_95960.1	FhHiC23_g11020.t1, FhHiC23_g13776.t1
OG0000002	SGUI1_40810.1	FhHiC23_g11972.t1, FhHiC23_g15678.t1, FhHiC23_g16832.t1, FhHiC23_g8926.t1
OG0000002	SGUI1_47330.1, SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6, SGUI1_79030.1, SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1, SGUI1_13840.1, SGUI1_25370.1, SGUI1_25370.2	FhHiC23_g8487.t1, FhHiC23_g251.t1
OG0000004	SGUI1_17760.1	FhHiC23_g2505.t1
OG0000005	SGUI1_46820.1, SGUI1_69540.1	FhHiC23_g11333.t1
OG0000005	SGUI1_48720.1, SGUI1_8030.1	FhHiC23_g13259.t1, FhHiC23_g5281.t1
OG0000005	SGUI1_8270.1, SGUI1_24780.1, SGUI1_5770.1, SGUI1_6690.1, SGUI1_96750.1	FhHiC23_g13492.t1
OG0000006	SGUI1_58630.1	FhHiC23_g7146.t1
OG0000006	SGUI1_74190.1, SGUI1_53820.1, SGUI1_46610.1, SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1	FhHiC23_g1683.t1
OG0000008	SGUI1_82730.1	FhHiC23_g9647.t1, FhHiC23_g16538.t1, FhHiC23_g6271.t1, FhHiC23_g15774.t1, FhHiC23_g9965.t1, FhHiC23_g740.t1, FhHiC23_g3867.t1, FhHiC23_g2994.t1, FhHiC23_g4554.t1, FhHiC23_g8916.t1
OG0000009	SGUI1_90400.1	FhHiC23_g9345.t1
OG0000009	SGUI1_34150.1	FhHiC23_g7761.t1
OG0000009	SGUI1_35110.1	FhHiC23_g11732.t1
OG0000009	SGUI1_95330.1, SGUI1_18020.1	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1
OG0000010	SGUI1_57400.1, SGUI1_74850.1	FhHiC23_g3228.t1
OG0000012	SGUI1_40550.1	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
OG0000014	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	FhHiC23_g14469.t1
OG0000015	SGUI1_38090.2, SGUI1_38090.1	FhHiC23_g14476.t1
OG0000015	SGUI1_66240.1	FhHiC23_g13988.t1, FhHiC23_g13993.t1
OG0000015	SGUI1_38300.1	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1
OG0000015	SGUI1_38310.1	FhHiC23_g16654.t1, FhHiC23_g14001.t1
OG0000015	SGUI1_43650.1	FhHiC23_g14206.t1
OG0000015	SGUI1_9360.1	FhHiC23_g14628.t1, FhHiC23_g13668.t1
OG0000016	SGUI1_36680.1	FhHiC23_g7639.t1
OG0000016	SGUI1_25480.1	FhHiC23_g4075.t1
OG0000016	SGUI1_45710.1, SGUI1_45920.1, SGUI1_85950.1, SGUI1_41740.1	FhHiC23_g5367.t1
OG0000016	SGUI1_17330.1	FhHiC23_g8033.t1, FhHiC23_g13246.t1
OG0000019	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7, SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	FhHiC23_g5935.t1, FhHiC23_g5936.t1
OG0000021	SGUI1_7740.1	FhHiC23_g13529.t1, FhHiC23_g12834.t1
OG0000021	SGUI1_5490.1	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2
OG0000022	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13	FhHiC23_g10034.t1, FhHiC23_g10034.t2
