Orthogroup	schistosoma_bovis	schistosoma_curassoni
OG0000000	SBOV2_46600.1	SCUR1_23690.1, SCUR1_88590.1, SCUR1_37140.1, SCUR1_20710.1, SCUR1_2040.1
OG0000000	SBOV2_32480.1	SCUR1_5140.1
OG0000000	SBOV2_45160.1	SCUR1_42610.1
OG0000000	SBOV2_43280.1	SCUR1_34020.1
OG0000000	SBOV2_28070.1	SCUR1_75830.1, SCUR1_8040.1
OG0000000	SBOV2_24640.1	SCUR1_63140.1, SCUR1_85690.1
OG0000000	SBOV2_45580.1	SCUR1_6680.1, SCUR1_45890.1, SCUR1_12880.1, SCUR1_56780.1
OG0000000	SBOV2_10200.1	SCUR1_77770.1
OG0000000	SBOV2_38300.1	SCUR1_62700.1
OG0000000	SBOV2_62110.1	SCUR1_78890.1
OG0000000	SBOV2_80970.1	SCUR1_3160.1
OG0000002	SBOV2_32490.1, SBOV2_32490.2, SBOV2_32490.3, SBOV2_32490.4	SCUR1_97110.1, SCUR1_97110.2, SCUR1_97110.3, SCUR1_97110.4, SCUR1_97110.5, SCUR1_97110.6, SCUR1_97110.7
OG0000002	SBOV2_18820.1	SCUR1_47440.1
OG0000002	SBOV2_96120.1	SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3
OG0000002	SBOV2_62270.1	SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1
OG0000002	SBOV2_56620.1, SBOV2_1220.1	SCUR1_97850.1, SCUR1_97850.2
OG0000002	SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3	SCUR1_10130.1
OG0000002	SBOV2_50780.1, SBOV2_50780.2	SCUR1_56640.1
OG0000003	SBOV2_42190.1	SCUR1_10840.3, SCUR1_10840.14, SCUR1_10840.13, SCUR1_10840.12, SCUR1_50550.1, SCUR1_50550.2, SCUR1_10840.1, SCUR1_10840.2
