Orthogroup	schistosoma_spindale	schistosoma_haematobium
OG0000000	SSPN1_37210.1, SSPN1_61060.1, SSPN1_20270.1	SHAE2_67200.1
OG0000000	SSPN1_61750.1, SSPN1_25780.1	SHAE2_63900.1
OG0000000	SSPN1_17390.1	SHAE2_31870.1
OG0000000	SSPN1_88550.1, SSPN1_61070.1, SSPN1_11310.1, SSPN1_47720.1	SHAE2_36390.1
OG0000000	SSPN1_48580.1	SHAE2_79560.1
OG0000000	SSPN1_20930.1	SHAE2_33930.1, SHAE2_90210.1, SHAE2_77100.1, SHAE2_43990.1, SHAE2_76270.1
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1	SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5, SHAE2_23170.1, SHAE2_23170.2, SHAE2_23170.3, SHAE2_23170.4, SHAE2_77780.2, SHAE2_77780.3, SHAE2_77780.1, SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3, SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2, SHAE2_77790.1
OG0000003	SSPN1_45180.1, SSPN1_45180.5, SSPN1_57060.1, SSPN1_45180.2, SSPN1_45180.4, SSPN1_45180.3, SSPN1_45190.1, SSPN1_91610.3, SSPN1_91610.4, SSPN1_91610.1, SSPN1_91610.5, SSPN1_91610.2, SSPN1_91610.6, SSPN1_91610.7	SHAE2_20960.1, SHAE2_24270.4, SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2, SHAE2_64480.3, SHAE2_70960.1, SHAE2_70960.2, SHAE2_70960.3, SHAE2_70960.4, SHAE2_64480.5, SHAE2_91290.2, SHAE2_91290.4, SHAE2_91290.3, SHAE2_24270.7, SHAE2_91290.1, SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5, SHAE2_18320.1, SHAE2_18320.2, SHAE2_37220.3, SHAE2_37220.2, SHAE2_37220.1, SHAE2_37220.4, SHAE2_37220.5, SHAE2_78510.3, SHAE2_78510.1, SHAE2_78510.2, SHAE2_43020.12, SHAE2_43020.14, SHAE2_43020.15, SHAE2_43020.16, SHAE2_43020.18, SHAE2_43020.11, SHAE2_43020.9, SHAE2_43020.13, SHAE2_43020.17, SHAE2_20310.1, SHAE2_20310.2, SHAE2_20310.4, SHAE2_20310.3, SHAE2_20310.5, SHAE2_85630.2, SHAE2_82280.2, SHAE2_82280.1, SHAE2_82280.3
OG0000004	SSPN1_54000.1	SHAE2_18830.1
OG0000004	SSPN1_73490.1	SHAE2_46350.1
