# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	SMTH1_32800.1	4115.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SMTH1_32800.2	4076.1	1933	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	SMTH1_106660.1	949.8	1046	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	SMTH1_37890.1	1140.6	1410	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	SMTH1_7550.1	2100.8	1620	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	SMTH1_21820.1	442.2	399	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Duplicated	SMTH1_90090.2	1161.3	1167	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	SMTH1_90090.1	1034.1	1086	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	SMTH1_16750.1	1020.4	995	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	SMTH1_22410.1	1022.9	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	SMTH1_4060.1	957.4	631	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Duplicated	SMTH1_42310.19	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
63697at33208	Duplicated	SMTH1_42310.4	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
