Orthogroup	schistosoma_japonicum	schistosoma_guineensis
OG0000000	EWB00_003688, EWB00_001896	SGUI1_64180.1
OG0000000	EWB00_011331, EWB00_010543	SGUI1_95960.1
OG0000000	EWB00_003821	SGUI1_93570.1
OG0000002	EWB00_001692, EWB00_001693, EWB00_008905, EWB00_008308, EWB00_000919	SGUI1_40810.1
OG0000002	EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826	SGUI1_47330.1, SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6, SGUI1_79030.1, SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1, SGUI1_13840.1, SGUI1_25370.1, SGUI1_25370.2, SGUI1_20860.1, SGUI1_63510.1, SGUI1_63520.1, SGUI1_63520.2, SGUI1_63520.3, SGUI1_63520.4, SGUI1_78380.1, SGUI1_5820.1, SGUI1_5820.2, SGUI1_5820.3, SGUI1_5820.4, SGUI1_5820.5, SGUI1_5820.6, SGUI1_53120.1, SGUI1_53120.2, SGUI1_53120.3, SGUI1_53120.4, SGUI1_53120.5, SGUI1_53120.6, SGUI1_17210.1, SGUI1_93450.1, SGUI1_3520.1, SGUI1_3520.2, SGUI1_78590.1, SGUI1_78590.2, SGUI1_78590.3, SGUI1_78600.1, SGUI1_87510.1
OG0000003	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346	SGUI1_88310.1, SGUI1_88310.10, SGUI1_88310.2, SGUI1_88310.3, SGUI1_88310.4, SGUI1_88310.5, SGUI1_88310.6, SGUI1_88310.7, SGUI1_88310.8, SGUI1_88310.9, SGUI1_48420.1, SGUI1_39580.2, SGUI1_39580.4, SGUI1_39580.1, SGUI1_39580.3, SGUI1_4310.2, SGUI1_37100.5, SGUI1_37100.2, SGUI1_4310.3, SGUI1_4310.4, SGUI1_4310.5, SGUI1_4310.1, SGUI1_39580.5, SGUI1_28570.1, SGUI1_28570.2, SGUI1_54350.2, SGUI1_54350.3, SGUI1_54350.4, SGUI1_64140.1, SGUI1_54350.1, SGUI1_54350.5, SGUI1_64980.2, SGUI1_93520.1, SGUI1_65880.2, SGUI1_65880.4, SGUI1_12980.1, SGUI1_12980.3, SGUI1_12980.7, SGUI1_12980.8, SGUI1_12980.2, SGUI1_12980.4, SGUI1_12980.5, SGUI1_12980.6, SGUI1_64980.1, SGUI1_65880.3, SGUI1_65880.5, SGUI1_65880.1, SGUI1_12980.12, SGUI1_12980.13, SGUI1_12980.14, SGUI1_12980.15, SGUI1_12130.3, SGUI1_12980.11, SGUI1_12980.9, SGUI1_78310.1, SGUI1_12130.4, SGUI1_12130.2, SGUI1_3720.1, SGUI1_31530.3, SGUI1_31530.6, SGUI1_31530.1, SGUI1_31530.2, SGUI1_31530.4, SGUI1_19480.1, SGUI1_19480.2, SGUI1_19480.4, SGUI1_31530.7, SGUI1_31530.5, SGUI1_12130.5, SGUI1_12980.16, SGUI1_12980.17, SGUI1_78310.2, SGUI1_22480.2, SGUI1_22480.3, SGUI1_75660.4, SGUI1_75660.6, SGUI1_75660.1, SGUI1_75660.3, SGUI1_75660.5, SGUI1_22480.1, SGUI1_22480.4, SGUI1_31530.9, SGUI1_19480.3, SGUI1_19480.5, SGUI1_19480.6, SGUI1_31530.8, SGUI1_12980.10, SGUI1_78310.5, SGUI1_12980.19, SGUI1_78310.4, SGUI1_12980.18, SGUI1_78310.3, SGUI1_43280.1, SGUI1_86310.1, SGUI1_78270.5, SGUI1_78270.11, SGUI1_78270.3, SGUI1_78270.6, SGUI1_78270.1, SGUI1_78270.10, SGUI1_78270.4, SGUI1_78270.9, SGUI1_78270.2, SGUI1_78270.7, SGUI1_78270.8
OG0000004	EWB00_009940	SGUI1_54210.1, SGUI1_80740.1, SGUI1_55320.1, SGUI1_43500.1, SGUI1_65720.1, SGUI1_52500.1, SGUI1_17400.1, SGUI1_35800.1, SGUI1_87470.1, SGUI1_51600.1, SGUI1_5410.1, SGUI1_83380.1, SGUI1_62090.1, SGUI1_69880.1, SGUI1_73310.1, SGUI1_89290.1, SGUI1_22020.1, SGUI1_69970.1, SGUI1_66340.1, SGUI1_16360.1, SGUI1_61020.1, SGUI1_55970.1, SGUI1_86110.1, SGUI1_50300.1, SGUI1_74730.1, SGUI1_90060.1, SGUI1_5950.1, SGUI1_42510.1, SGUI1_28130.1, SGUI1_66280.1, SGUI1_50420.1, SGUI1_39310.1, SGUI1_52510.1, SGUI1_82750.1
OG0000004	EWB00_002233	SGUI1_74620.1
OG0000005	EWB00_002047, EWB00_000812, EWB00_002569	SGUI1_22440.1, SGUI1_13160.1, SGUI1_13090.1, SGUI1_90020.1
OG0000005	EWB00_000895	SGUI1_48720.1
OG0000006	EWB00_004294, EWB00_009952	SGUI1_76880.1, SGUI1_58630.1, SGUI1_57070.1
