Orthogroup	schistosoma_bovis	schistosoma_rodhaini
OG0000000	SBOV2_46600.1	SRDH2_77170.1
OG0000000	SBOV2_45580.1	SRDH2_102430.1, SRDH2_82340.1, SRDH2_25620.1, SRDH2_86260.1, SRDH2_40700.1, SRDH2_80700.1, SRDH2_92740.1, SRDH2_7430.1, SRDH2_36210.1, SRDH2_88670.1, SRDH2_30050.1, SRDH2_48790.1
OG0000000	SBOV2_80970.1	SRDH2_24900.1, SRDH2_101460.1, SRDH2_14500.1, SRDH2_101870.1, SRDH2_13090.1, SRDH2_1270.1, SRDH2_31520.1, SRDH2_40850.1, SRDH2_55230.1, SRDH2_28860.1, SRDH2_95130.1, SRDH2_51740.1
OG0000000	SBOV2_79810.1	SRDH2_96830.1, SRDH2_18590.1, SRDH2_100110.1
OG0000002	SBOV2_32490.1, SBOV2_32490.2, SBOV2_32490.3, SBOV2_32490.4, SBOV2_66570.1, SBOV2_20750.1, SBOV2_18820.1, SBOV2_57690.1, SBOV2_57690.2, SBOV2_83090.1, SBOV2_83090.2, SBOV2_96120.1, SBOV2_35760.1, SBOV2_35760.2, SBOV2_35760.3, SBOV2_35760.4, SBOV2_35760.5, SBOV2_35760.6, SBOV2_35760.7, SBOV2_35760.8, SBOV2_62270.1, SBOV2_56620.1, SBOV2_1220.1, SBOV2_22520.1, SBOV2_22520.2, SBOV2_22520.3, SBOV2_22520.4, SBOV2_22530.1, SBOV2_34690.1, SBOV2_34690.2, SBOV2_34700.1, SBOV2_45060.1, SBOV2_44130.1, SBOV2_44130.2, SBOV2_44130.3, SBOV2_44130.4, SBOV2_24270.1, SBOV2_24270.2, SBOV2_24270.3	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2
OG0000002	SBOV2_50780.1, SBOV2_50780.2	SRDH2_34910.1, SRDH2_89180.1
OG0000004	SBOV2_84080.1	SRDH2_92700.1
OG0000004	SBOV2_17290.1	SRDH2_50480.1
OG0000004	SBOV2_92090.1	SRDH2_85640.1
OG0000004	SBOV2_31470.1	SRDH2_89230.1
OG0000005	SBOV2_77100.1	SRDH2_102570.1
OG0000005	SBOV2_40350.1, SBOV2_40350.2, SBOV2_56940.1	SRDH2_16230.1, SRDH2_45960.1, SRDH2_60700.1
OG0000005	SBOV2_35020.1, SBOV2_90330.1, SBOV2_22550.1	SRDH2_74440.1, SRDH2_1360.1, SRDH2_79640.1, SRDH2_93790.1, SRDH2_9680.1, SRDH2_55640.1, SRDH2_39870.1, SRDH2_24030.1, SRDH2_92820.1, SRDH2_68140.1, SRDH2_42260.1, SRDH2_40170.1
OG0000006	SBOV2_16310.1, SBOV2_18200.1, SBOV2_32360.1, SBOV2_3690.1, SBOV2_58460.1	SRDH2_20190.1, SRDH2_75960.1, SRDH2_21900.1, SRDH2_21900.3, SRDH2_21900.2, SRDH2_22130.1, SRDH2_31310.1, SRDH2_65790.1, SRDH2_73010.1, SRDH2_34190.1, SRDH2_840.1
