Orthogroup	schistosoma_haematobium	fasciola_hepatica
OG0000000	SHAE2_63900.1	FhHiC23_g1154.t1, FhHiC23_g7463.t1
OG0000000	SHAE2_25780.1, SHAE2_33880.1, SHAE2_49000.1	FhHiC23_g1880.t1
OG0000000	SHAE2_67380.1, SHAE2_67390.1	FhHiC23_g10085.t1
OG0000002	SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5	FhHiC23_g8487.t1, FhHiC23_g251.t1
OG0000004	SHAE2_18830.1	FhHiC23_g16605.t1
OG0000005	SHAE2_10930.1, SHAE2_91860.1, SHAE2_62940.1, SHAE2_64600.1	FhHiC23_g11333.t1
OG0000005	SHAE2_55620.1	FhHiC23_g13259.t1, FhHiC23_g5281.t1
OG0000005	SHAE2_67630.1	FhHiC23_g13492.t1
OG0000005	SHAE2_71560.1	FhHiC23_g13673.t1
OG0000006	SHAE2_7560.1, SHAE2_83290.1, SHAE2_71160.1, SHAE2_25890.1, SHAE2_85780.1	FhHiC23_g7146.t1
OG0000006	SHAE2_14790.1, SHAE2_64040.1, SHAE2_64040.2, SHAE2_25840.1, SHAE2_63560.1, SHAE2_50040.1, SHAE2_64180.1, SHAE2_49370.1, SHAE2_102570.1	FhHiC23_g1683.t1
OG0000006	SHAE2_77110.1, SHAE2_14280.1	FhHiC23_g7517.t1
OG0000006	SHAE2_14150.1, SHAE2_13340.1, SHAE2_28540.1, SHAE2_5140.1, SHAE2_85960.1, SHAE2_2730.2, SHAE2_13460.1, SHAE2_98580.1, SHAE2_3600.1, SHAE2_48770.1, SHAE2_96550.1, SHAE2_15810.1, SHAE2_2730.1, SHAE2_2730.3, SHAE2_75170.1, SHAE2_72530.1, SHAE2_54980.1, SHAE2_97000.1, SHAE2_79020.1, SHAE2_81870.1, SHAE2_77820.1, SHAE2_38110.1, SHAE2_38100.1, SHAE2_38070.1, SHAE2_38060.1, SHAE2_38080.1, SHAE2_38090.1, SHAE2_80060.1, SHAE2_80070.1, SHAE2_81620.1, SHAE2_81620.2, SHAE2_81620.3, SHAE2_81620.4, SHAE2_98220.1, SHAE2_102720.1, SHAE2_93680.1	FhHiC23_g2201.t1
OG0000009	SHAE2_50000.1, SHAE2_50000.2, SHAE2_81890.1	FhHiC23_g10583.t1, FhHiC23_g14758.t1
OG0000009	SHAE2_31360.1, SHAE2_41140.1, SHAE2_74440.1, SHAE2_64150.1	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1
OG0000010	SHAE2_61590.1	FhHiC23_g4046.t1, FhHiC23_g3556.t1
OG0000010	SHAE2_30810.1	FhHiC23_g77.t1
OG0000010	SHAE2_30800.1, SHAE2_26010.1	FhHiC23_g3228.t1
OG0000012	SHAE2_43510.24, SHAE2_43510.26, SHAE2_43510.25, SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8, SHAE2_43510.27	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
