# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	STRK1_30390.1	4115.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	STRK1_30390.2	4076.2	1933	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	STRK1_30390.3	3528.4	1654	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	STRK1_90460.1	1459.0	1647	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	STRK1_27550.1	1196.4	1410	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Duplicated	STRK1_6070.1	2118.3	1621	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	STRK1_6070.2	2118.3	1621	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
16244at33208	Duplicated	STRK1_6070.3	2118.3	1621	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	STRK1_18010.1	521.2	499	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	STRK1_79660.1	1141.7	1190	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	STRK1_4680.1	1015.8	942	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	STRK1_18580.1	1056.2	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	STRK1_16640.1	1805.7	1038	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	STRK1_32840.1	1898.8	930	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Missing
65302at33208	Complete	STRK1_77550.1	801.3	924	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	STRK1_45290.1	1197.4	864	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Duplicated	STRK1_33970.1	458.3	506	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	STRK1_33960.1	438.4	466	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
75406at33208	Duplicated	STRK1_33960.2	438.4	466	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Complete	STRK1_79610.1	575.1	784	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	STRK1_26090.1	751.3	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	STRK1_7790.1	232.0	429	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	STRK1_7980.1	441.6	658	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	STRK1_83110.1	1041.3	859	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	STRK1_32200.1	296.2	574	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	STRK1_12760.1	1268.8	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	STRK1_69600.1	131.9	415	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Missing
109109at33208	Complete	STRK1_12810.1	966.6	584	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Duplicated	STRK1_45330.3	482.2	392	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111730at33208	Duplicated	STRK1_45330.1	473.5	383	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	STRK1_51810.1	310.6	246	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Complete	STRK1_49670.1	1575.9	858	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Complete	STRK1_58450.1	828.2	551	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119591at33208	Complete	STRK1_45060.1	1034.8	972	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Missing
123923at33208	Duplicated	STRK1_10620.1	215.3	482	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
123923at33208	Duplicated	STRK1_10620.2	215.3	482	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Complete	STRK1_28780.1	705.3	706	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Duplicated	STRK1_2600.1	581.4	591	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	STRK1_2600.2	536.6	561	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	STRK1_2600.3	536.6	561	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	STRK1_2600.4	511.0	526	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Complete	STRK1_31540.1	665.7	561	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Missing
130256at33208	Complete	STRK1_14850.1	292.0	494	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
131349at33208	Complete	STRK1_32640.1	1230.1	930	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131848at33208	Missing
132087at33208	Complete	STRK1_25300.1	515.9	557	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
134492at33208	Complete	STRK1_29140.1	927.2	866	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
135294at33208	Complete	STRK1_16200.1	257.5	432	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
137383at33208	Complete	STRK1_73700.1	774.7	645	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
139188at33208	Duplicated	STRK1_21170.1	373.5	602	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	STRK1_21170.2	373.3	544	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	STRK1_21170.3	324.5	529	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
143619at33208	Complete	STRK1_36930.1	248.3	316	https://v10-1.orthodb.org/?query=143619at33208	GPI transamidase component PIG-T
143997at33208	Duplicated	STRK1_13400.1	381.4	377	https://v10-1.orthodb.org/?query=143997at33208	Tetratricopeptide repeat
143997at33208	Duplicated	STRK1_13400.2	380.2	377	https://v10-1.orthodb.org/?query=143997at33208	Tetratricopeptide repeat
146671at33208	Complete	STRK1_35280.1	734.5	683	https://v10-1.orthodb.org/?query=146671at33208	NFACT protein, C-terminal
147873at33208	Complete	STRK1_46910.1	846.6	531	https://v10-1.orthodb.org/?query=147873at33208	Crooked neck pre-mRNA splicing factor 1
148067at33208	Complete	STRK1_68830.1	184.3	420	https://v10-1.orthodb.org/?query=148067at33208	Nrap protein, domain 3
148325at33208	Duplicated	STRK1_59640.1	295.6	281	https://v10-1.orthodb.org/?query=148325at33208	THO complex subunit 1
148325at33208	Duplicated	STRK1_59640.2	295.3	281	https://v10-1.orthodb.org/?query=148325at33208	THO complex subunit 1
148325at33208	Duplicated	STRK1_59640.3	295.3	281	https://v10-1.orthodb.org/?query=148325at33208	THO complex subunit 1
152327at33208	Missing
152977at33208	Complete	STRK1_43280.1	379.1	465	https://v10-1.orthodb.org/?query=152977at33208	Dymeclin
153034at33208	Fragmented	STRK1_940.1	440.3	284	https://v10-1.orthodb.org/?query=153034at33208	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
157109at33208	Complete	STRK1_94270.1	111.6	207	https://v10-1.orthodb.org/?query=157109at33208	Zinc finger C2H2-type
157138at33208	Missing
158845at33208	Missing
158962at33208	Duplicated	STRK1_52360.1	469.9	520	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
158962at33208	Duplicated	STRK1_52360.4	469.9	520	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
158962at33208	Duplicated	STRK1_52360.2	469.5	520	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
162821at33208	Complete	STRK1_73710.1	509.6	402	https://v10-1.orthodb.org/?query=162821at33208	Glycosyl hydrolase family 63, C-terminal
164767at33208	Complete	STRK1_84560.1	504.6	677	https://v10-1.orthodb.org/?query=164767at33208	WD40 repeat
166097at33208	Missing
168850at33208	Duplicated	STRK1_47710.1	543.9	503	https://v10-1.orthodb.org/?query=168850at33208	Sec1-like protein
168850at33208	Duplicated	STRK1_47710.2	543.9	503	https://v10-1.orthodb.org/?query=168850at33208	Sec1-like protein
168924at33208	Complete	STRK1_22720.1	454.8	467	https://v10-1.orthodb.org/?query=168924at33208	ER membrane protein complex subunit 1, C-terminal
169864at33208	Complete	STRK1_60310.1	318.5	470	https://v10-1.orthodb.org/?query=169864at33208	CCAAT-binding factor
172677at33208	Fragmented	STRK1_53430.2	98.4	126	https://v10-1.orthodb.org/?query=172677at33208	Sphingomyelin phosphodiesterase 4
176247at33208	Duplicated	STRK1_2130.1	356.0	324	https://v10-1.orthodb.org/?query=176247at33208	Tyrosyl-DNA phosphodiesterase I
176247at33208	Duplicated	STRK1_2130.2	356.0	324	https://v10-1.orthodb.org/?query=176247at33208	Tyrosyl-DNA phosphodiesterase I
177718at33208	Complete	STRK1_55610.1	328.8	348	https://v10-1.orthodb.org/?query=177718at33208	WD40 repeat
177858at33208	Complete	STRK1_17670.1	885.4	590	https://v10-1.orthodb.org/?query=177858at33208	Helicase, C-terminal
178537at33208	Complete	STRK1_80520.1	921.3	466	https://v10-1.orthodb.org/?query=178537at33208	Radical SAM
179485at33208	Duplicated	STRK1_58290.1	452.1	451	https://v10-1.orthodb.org/?query=179485at33208	WD40 repeat
179485at33208	Duplicated	STRK1_58290.2	452.1	451	https://v10-1.orthodb.org/?query=179485at33208	WD40 repeat
180808at33208	Missing
182834at33208	Complete	STRK1_700.1	403.1	499	https://v10-1.orthodb.org/?query=182834at33208	anaphase-promoting complex subunit 2
184508at33208	Complete	STRK1_83310.1	373.0	425	https://v10-1.orthodb.org/?query=184508at33208	SERRATE/Ars2 , C-terminal
184717at33208	Complete	STRK1_57130.1	895.0	511	https://v10-1.orthodb.org/?query=184717at33208	ATP-binding cassette sub-family E member 1
186208at33208	Duplicated	STRK1_27960.1	876.1	691	https://v10-1.orthodb.org/?query=186208at33208	RNA cytidine acetyltransferase
186208at33208	Duplicated	STRK1_27960.2	748.3	587	https://v10-1.orthodb.org/?query=186208at33208	RNA cytidine acetyltransferase
186707at33208	Duplicated	STRK1_5120.1	173.0	453	https://v10-1.orthodb.org/?query=186707at33208	Exocyst complex component 7
186707at33208	Duplicated	STRK1_5120.2	172.4	450	https://v10-1.orthodb.org/?query=186707at33208	Exocyst complex component 7
187280at33208	Missing
