Orthogroup	fasciola_hepatica	schistosoma_rodhaini
OG0000000	FhHiC23_g7935.t1	SRDH2_8510.1
OG0000002	FhHiC23_g8487.t1, FhHiC23_g251.t1	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2
OG0000002	FhHiC23_g10032.t1	SRDH2_34910.1, SRDH2_89180.1
OG0000005	FhHiC23_g11333.t1	SRDH2_102570.1
OG0000005	FhHiC23_g16305.t1, FhHiC23_g9120.t1, FhHiC23_g4721.t1, FhHiC23_g4722.t1, FhHiC23_g12761.t1, FhHiC23_g8406.t1, FhHiC23_g13492.t1, FhHiC23_g13673.t1	SRDH2_74440.1, SRDH2_1360.1, SRDH2_79640.1, SRDH2_93790.1, SRDH2_9680.1, SRDH2_55640.1, SRDH2_39870.1, SRDH2_24030.1, SRDH2_92820.1, SRDH2_68140.1, SRDH2_42260.1, SRDH2_40170.1
OG0000006	FhHiC23_g7146.t1	SRDH2_20190.1, SRDH2_75960.1, SRDH2_21900.1, SRDH2_21900.3, SRDH2_21900.2, SRDH2_22130.1, SRDH2_31310.1, SRDH2_65790.1, SRDH2_73010.1, SRDH2_34190.1, SRDH2_840.1
OG0000006	FhHiC23_g1683.t1	SRDH2_49820.1, SRDH2_56060.1, SRDH2_59490.1, SRDH2_11650.1, SRDH2_76390.1, SRDH2_7170.1, SRDH2_90220.1
OG0000006	FhHiC23_g12099.t1, FhHiC23_g7403.t1	SRDH2_65340.1
OG0000006	FhHiC23_g13649.t1	SRDH2_93320.1, SRDH2_73660.1, SRDH2_60720.1, SRDH2_102070.1, SRDH2_43700.1, SRDH2_79500.1, SRDH2_24320.1, SRDH2_40220.1, SRDH2_9810.1, SRDH2_30420.1
OG0000006	FhHiC23_g2201.t1	SRDH2_55650.1, SRDH2_4790.1, SRDH2_94580.1, SRDH2_95820.1, SRDH2_90660.1, SRDH2_74280.1
OG0000009	FhHiC23_g9345.t1	SRDH2_10110.1, SRDH2_26480.1
OG0000009	FhHiC23_g7761.t1	SRDH2_82870.1, SRDH2_36960.1, SRDH2_71930.1
OG0000009	FhHiC23_g10583.t1, FhHiC23_g14758.t1	SRDH2_94200.1
OG0000009	FhHiC23_g11732.t1	SRDH2_44870.1, SRDH2_28150.1, SRDH2_40630.1, SRDH2_79370.1, SRDH2_12230.1, SRDH2_19910.1
OG0000009	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1	SRDH2_97380.1, SRDH2_57780.1, SRDH2_25420.1, SRDH2_76010.1, SRDH2_2650.1, SRDH2_17810.1, SRDH2_17820.1, SRDH2_2640.1, SRDH2_100460.3, SRDH2_100480.1, SRDH2_39630.1, SRDH2_84630.1, SRDH2_66450.1, SRDH2_33280.1, SRDH2_3140.1
OG0000010	FhHiC23_g77.t1	SRDH2_68920.1
