Orthogroup	trichobilharzia_regenti	s.mekongi
OG0000000	TREG1_99990.1, TREG1_83270.1	KAK4467292.1
OG0000002	TREG1_121520.1, TREG1_44080.1, TREG1_49960.1	KAK4474259.1
OG0000005	TREG1_47720.1	KAK4467977.1, KAK4468999.1
OG0000006	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1	KAK4467570.1
OG0000009	TREG1_75240.1	KAK4471529.1
OG0000009	TREG1_37970.1, TREG1_79180.1, TREG1_115630.1, TREG1_95220.1, TREG1_8090.1, TREG1_36810.1	KAK4471801.1
OG0000009	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2	KAK4472212.1
OG0000012	TREG1_45790.1	KAK4473632.1
OG0000014	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1	KAK4473936.1
OG0000015	TREG1_51330.1	KAK4473938.1
OG0000015	TREG1_82560.1	KAK4471448.1
OG0000015	TREG1_44970.1	KAK4473954.1, KAK4473955.1
OG0000015	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1	KAK4467362.1, KAK4467363.1
OG0000015	TREG1_129100.1	KAK4474356.1
OG0000016	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1	KAK4472342.1
OG0000019	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2	KAK4473983.1, KAK4473981.1
OG0000021	TREG1_13160.1	KAK4475892.1, KAK4475894.1
OG0000021	TREG1_13170.1, TREG1_13180.1	KAK4475895.1
OG0000021	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5	KAK4475890.1
OG0000021	TREG1_13150.1	KAK4475891.1
OG0000021	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2	KAK4475889.1
OG0000022	TREG1_58780.1	KAK4473037.1
OG0000023	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1
OG0000024	TREG1_48810.1	KAK4473313.1
OG0000024	TREG1_89210.1, TREG1_89200.1, TREG1_89200.2, TREG1_89220.1, TREG1_89230.1, TREG1_89190.1, TREG1_90190.1	KAK4471475.1
OG0000024	TREG1_101000.1	KAK4470835.1
