# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	KAK4472420.1	4112.5	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	KAK4467819.1	1470.3	1617	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	KAK4472261.1	1176.4	1398	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	KAK4476061.1	1223.4	1005	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Fragmented	KAK4475050.1	330.1	321	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	KAK4467991.1	1159.8	1161	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	KAK4475285.1	1011.5	940	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	KAK4475007.1	1046.3	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	KAK4475629.1	1804.1	1038	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	KAK4473936.1	1897.2	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Missing
65302at33208	Complete	KAK4470898.1	805.4	924	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	KAK4469116.1	1208.2	864	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	KAK4472515.1	450.8	500	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Complete	KAK4468300.1	572.2	806	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	KAK4472961.1	750.2	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
