# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	h1SMcT0006604.1	3745.6	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	h1SMcT0018473.1	1904.7	1745	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	h1SMcT0009486.1	1153.7	1443	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	h1SMcT0006943.1	2207.3	1646	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	h1SMcT0020429.5	608.1	546	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Duplicated	h1SMcT0008692.2	625.1	846	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
45934at33208	Duplicated	h1SMcT0008692.1	548.3	637	https://v10-1.orthodb.org/?query=45934at33208	WASH complex subunit 7, central domain
49474at33208	Duplicated	h1SMcT0003694.3	1075.9	1173	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	h1SMcT0003694.4	1075.8	1173	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
49474at33208	Duplicated	h1SMcT0003694.1	1071.8	1173	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	h1SMcT0008134.1	950.2	1040	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	h1SMcT0007478.1	879.5	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	h1SMcT0003475.1	921.1	916	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	h1SMcT0008186.1	1638.6	1037	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	h1SMcT0018859.1	1731.1	937	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Complete	h1SMcT0017542.1	97.9	282	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Missing
66018at33208	Complete	h1SMcT0000690.1	1159.8	852	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	h1SMcT0020434.1	438.6	603	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Duplicated	h1SMcT0003306.1	651.6	875	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	h1SMcT0003306.2	651.6	875	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Complete	h1SMcT0022036.1	739.4	520	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Complete	h1SMcT0020619.1	272.1	471	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Complete	h1SMcT0012398.1	1116.5	938	https://v10-1.orthodb.org/?query=99614at33208	WASH complex, subunit strumpellin
99987at33208	Complete	h1SMcT0008602.1	340.3	663	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	h1SMcT0006516.3	578.9	539	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Duplicated	h1SMcT0015577.1	364.0	621	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
103854at33208	Duplicated	h1SMcT0015577.2	364.0	621	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
