Orthogroup	schistosoma_turkestanicum	schistosoma_curassoni
OG0000000	STRK1_54000.1, STRK1_6720.1	SCUR1_2030.1, SCUR1_59970.1
OG0000002	STRK1_40290.1, STRK1_40290.2	SCUR1_97110.1, SCUR1_97110.2, SCUR1_97110.3, SCUR1_97110.4, SCUR1_97110.5, SCUR1_97110.6, SCUR1_97110.7, SCUR1_47440.1, SCUR1_52480.1, SCUR1_52480.2, SCUR1_52480.3, SCUR1_52480.4, SCUR1_52490.1, SCUR1_90640.10, SCUR1_90640.6, SCUR1_90640.7, SCUR1_90640.8, SCUR1_90640.9, SCUR1_90780.1, SCUR1_7650.1, SCUR1_7650.2, SCUR1_7650.3, SCUR1_7650.4, SCUR1_7650.5, SCUR1_45910.1, SCUR1_83220.1, SCUR1_69750.1, SCUR1_2520.3, SCUR1_17510.1, SCUR1_42100.1, SCUR1_23710.1, SCUR1_23710.2, SCUR1_23710.3, SCUR1_23710.5, SCUR1_23710.4, SCUR1_23710.6, SCUR1_24410.1, SCUR1_97850.1, SCUR1_97850.2, SCUR1_94900.1, SCUR1_10130.1, SCUR1_70910.3, SCUR1_70910.1, SCUR1_17250.1, SCUR1_70910.2, SCUR1_70910.4, SCUR1_70910.5, SCUR1_70910.6, SCUR1_70910.7, SCUR1_93400.1, SCUR1_93400.2, SCUR1_93400.3, SCUR1_93400.4, SCUR1_44420.1
OG0000004	STRK1_80630.1, STRK1_51910.1, STRK1_37450.1, STRK1_105100.1, STRK1_100440.1, STRK1_92990.1, STRK1_42560.1	SCUR1_73880.1, SCUR1_22250.1, SCUR1_53750.1, SCUR1_14550.1, SCUR1_10120.1, SCUR1_89610.1, SCUR1_63070.1, SCUR1_59610.1, SCUR1_76340.1, SCUR1_31840.1, SCUR1_16900.1, SCUR1_42680.1, SCUR1_27450.1, SCUR1_72320.1, SCUR1_48190.1, SCUR1_93760.1, SCUR1_26670.1, SCUR1_42900.1, SCUR1_62660.1, SCUR1_73600.1, SCUR1_65690.1, SCUR1_91290.1, SCUR1_63310.1, SCUR1_94450.1, SCUR1_89260.1, SCUR1_18250.1, SCUR1_71730.1, SCUR1_34200.1, SCUR1_89390.1
OG0000005	STRK1_81020.1, STRK1_70210.1, STRK1_68120.1	SCUR1_58770.1, SCUR1_43030.1, SCUR1_39690.1, SCUR1_76910.1, SCUR1_55630.1, SCUR1_90280.1, SCUR1_93510.1, SCUR1_32030.1, SCUR1_13830.1, SCUR1_89370.1
OG0000006	STRK1_41660.1, STRK1_55710.1, STRK1_86020.1, STRK1_22820.1, STRK1_22820.2, STRK1_48860.1, STRK1_63420.1, STRK1_63420.2, STRK1_14260.1, STRK1_44290.1, STRK1_22760.1, STRK1_21440.2, STRK1_29920.1, STRK1_18950.1, STRK1_18950.2, STRK1_6250.1, STRK1_65670.1, STRK1_109850.1	SCUR1_64410.1, SCUR1_47060.1, SCUR1_99930.1, SCUR1_69570.1, SCUR1_67860.1, SCUR1_87410.1, SCUR1_37570.1
OG0000006	STRK1_1850.1	SCUR1_81700.1, SCUR1_36840.1, SCUR1_89870.1, SCUR1_93140.1
OG0000006	STRK1_52500.1	SCUR1_10110.1, SCUR1_91530.1, SCUR1_2540.1
OG0000009	STRK1_39640.1	SCUR1_70190.1, SCUR1_23720.1, SCUR1_80140.1, SCUR1_21410.1, SCUR1_21410.2, SCUR1_51510.1, SCUR1_46810.1
OG0000010	STRK1_22300.1, STRK1_110010.1, STRK1_97800.1, STRK1_92040.1, STRK1_53290.1, STRK1_49560.1, STRK1_56870.1, STRK1_41030.1, STRK1_104050.1	SCUR1_53870.1
OG0000012	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3	SCUR1_40740.63, SCUR1_40740.64
OG0000014	STRK1_32840.1	SCUR1_38430.34, SCUR1_38430.38, SCUR1_38430.10, SCUR1_38430.29, SCUR1_38430.30, SCUR1_38430.32, SCUR1_38430.33, SCUR1_38430.5, SCUR1_38430.7, SCUR1_38430.35, SCUR1_38430.36, SCUR1_38430.37, SCUR1_38430.16, SCUR1_38430.17, SCUR1_38430.18, SCUR1_38430.19, SCUR1_38430.27, SCUR1_38430.9, SCUR1_38430.28, SCUR1_38430.3, SCUR1_38430.31, SCUR1_38430.4, SCUR1_38430.6, SCUR1_38430.1, SCUR1_38430.15, SCUR1_38430.21, SCUR1_38430.22, SCUR1_38430.23, SCUR1_38430.2, SCUR1_38430.20, SCUR1_38430.24, SCUR1_38430.25, SCUR1_38430.26, SCUR1_38430.13, SCUR1_38430.11, SCUR1_38430.14
OG0000015	STRK1_32820.1	SCUR1_38440.1
OG0000015	STRK1_58960.1	SCUR1_65580.1
OG0000015	STRK1_58950.1	SCUR1_65590.1, SCUR1_65590.2
OG0000015	STRK1_28980.1	SCUR1_38610.1
OG0000015	STRK1_28970.1	SCUR1_38620.1, SCUR1_38620.2, SCUR1_38620.3, SCUR1_38620.4
OG0000015	STRK1_28940.1	SCUR1_38640.1
OG0000015	STRK1_40280.1	SCUR1_43800.1
OG0000015	STRK1_41060.1	SCUR1_42920.1, SCUR1_42960.1, SCUR1_42910.1, SCUR1_42930.1
OG0000015	STRK1_41050.1, STRK1_41050.2, STRK1_41050.3	SCUR1_42960.2
OG0000019	STRK1_28380.1	SCUR1_36850.7, SCUR1_36850.9, SCUR1_36850.3, SCUR1_36850.5, SCUR1_36850.6, SCUR1_36850.8, SCUR1_36850.1, SCUR1_36850.4, SCUR1_36850.2
OG0000019	STRK1_28370.1	SCUR1_36860.1, SCUR1_36860.5, SCUR1_36860.3, SCUR1_36860.2, SCUR1_36860.4
OG0000020	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2	SCUR1_90860.1, SCUR1_90600.2, SCUR1_90600.5, SCUR1_90600.6, SCUR1_90600.1, SCUR1_90600.3, SCUR1_90600.4
OG0000021	STRK1_12640.1	SCUR1_8230.1
OG0000021	STRK1_3460.1	SCUR1_5850.1
OG0000021	STRK1_3470.1	SCUR1_5860.1, SCUR1_5860.2, SCUR1_5860.5, SCUR1_5860.3, SCUR1_5860.4
OG0000021	STRK1_3440.1	SCUR1_5820.1, SCUR1_5820.2, SCUR1_5820.3, SCUR1_5820.4
OG0000021	STRK1_3450.1	SCUR1_5840.2, SCUR1_5840.1, SCUR1_5840.3
OG0000021	STRK1_3430.1	SCUR1_5810.3, SCUR1_5810.4, SCUR1_5810.2, SCUR1_5810.1
OG0000022	STRK1_25560.1, STRK1_25560.2	SCUR1_27210.14, SCUR1_27210.15, SCUR1_27210.6, SCUR1_27210.7, SCUR1_27210.1, SCUR1_27210.8, SCUR1_27210.10, SCUR1_27210.13, SCUR1_27210.9, SCUR1_27210.12, SCUR1_27210.21, SCUR1_27210.20, SCUR1_27210.19, SCUR1_27210.18, SCUR1_27210.16, SCUR1_27210.17, SCUR1_27210.2, SCUR1_27210.3, SCUR1_27210.11, SCUR1_27210.4, SCUR1_27210.5
OG0000023	STRK1_89660.1, STRK1_74850.1, STRK1_87840.1	SCUR1_83970.1
OG0000024	STRK1_22140.1	SCUR1_23660.1
OG0000024	STRK1_101880.1	SCUR1_90210.1
OG0000024	STRK1_58710.1	SCUR1_64030.1
OG0000024	STRK1_78170.1	SCUR1_79670.1
OG0000024	STRK1_78160.1	SCUR1_79660.1, SCUR1_79660.2
OG0000026	STRK1_76900.1, STRK1_76900.2	SCUR1_79090.1
OG0000026	STRK1_69960.1, STRK1_69960.2	SCUR1_71450.1, SCUR1_71400.2, SCUR1_71400.1, SCUR1_71400.4, SCUR1_71400.7, SCUR1_71400.6, SCUR1_71400.5, SCUR1_71400.3
OG0000027	STRK1_105950.1	SCUR1_40200.1
