Orthogroup	schistosoma_mattheei	schistosoma_mansoni
OG0000003	SMTH1_51780.8, SMTH1_51780.9, SMTH1_51780.5, SMTH1_51780.7, SMTH1_51780.1, SMTH1_51780.3, SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4, SMTH1_63200.1, SMTH1_63200.2, SMTH1_63200.3, SMTH1_103170.4, SMTH1_103180.3, SMTH1_103170.5, SMTH1_103180.4, SMTH1_103170.1, SMTH1_103170.2, SMTH1_103170.6, SMTH1_103180.1, SMTH1_103170.8, SMTH1_103170.7, SMTH1_103180.2, SMTH1_103170.3	Smp_059140.1, Smp_167670.1, Smp_167780.1
OG0000004	SMTH1_40470.1, SMTH1_6510.1, SMTH1_48810.1, SMTH1_50310.1, SMTH1_20460.1, SMTH1_48240.1, SMTH1_98470.1, SMTH1_19350.1, SMTH1_33620.1	Smp_037690.1
OG0000009	SMTH1_89240.1, SMTH1_89240.2	Smp_245810.1
OG0000010	SMTH1_64040.1	Smp_158710.1
OG0000012	SMTH1_45260.1	Smp_154760.1, Smp_154760.2
OG0000014	SMTH1_42310.16, SMTH1_42310.18, SMTH1_42310.8, SMTH1_42310.1, SMTH1_42310.15, SMTH1_42310.11, SMTH1_42310.12, SMTH1_42310.9	Smp_141630.1
OG0000015	SMTH1_42330.1	Smp_201030.1
OG0000015	SMTH1_73160.1	Smp_326390.1
OG0000015	SMTH1_73170.1	Smp_202130.1
OG0000015	SMTH1_42560.1	Smp_201060.1
OG0000015	SMTH1_42570.3, SMTH1_42570.1, SMTH1_42570.2	Smp_095520.1
OG0000015	SMTH1_42590.1	Smp_174520.1
OG0000015	SMTH1_48670.1	Smp_320310.1
OG0000015	SMTH1_47630.1, SMTH1_47630.3, SMTH1_47630.4, SMTH1_47630.5	Smp_312630.1, Smp_302860.1
OG0000015	SMTH1_47640.1	Smp_320210.1
OG0000015	SMTH1_47660.1	Smp_200190.1
OG0000015	SMTH1_11420.1	Smp_322950.1
