Orthogroup	opisthorchis_viverrini	schistosoma_margrebowiei
OG0000000	T265_04445	SMRG1_39140.1
OG0000000	T265_02252	SMRG1_39150.1
OG0000000	T265_02938, T265_10989	SMRG1_77850.1
OG0000000	T265_10065	SMRG1_64020.1, SMRG1_20570.1
OG0000000	T265_06680	SMRG1_50500.1
OG0000000	T265_03740, T265_04814	SMRG1_72270.1
OG0000000	T265_03618	SMRG1_42550.1, SMRG1_26810.1
OG0000000	T265_11738, T265_01000, T265_04573, T265_03467	SMRG1_1020.1
OG0000000	T265_01355, T265_11891	SMRG1_8740.1
OG0000000	T265_14052	SMRG1_9520.1
OG0000000	T265_05739, T265_04107	SMRG1_21630.1
OG0000002	T265_11803	SMRG1_5880.1, SMRG1_5880.2, SMRG1_5880.3, SMRG1_5890.1, SMRG1_61740.1, SMRG1_32870.1, SMRG1_91560.1, SMRG1_91560.2, SMRG1_91560.3, SMRG1_91560.4, SMRG1_91560.5, SMRG1_91560.6, SMRG1_91560.7, SMRG1_91570.1, SMRG1_34740.1, SMRG1_34740.10, SMRG1_34740.12, SMRG1_34740.13, SMRG1_34740.2, SMRG1_34740.3, SMRG1_34740.4, SMRG1_34740.5, SMRG1_34740.6, SMRG1_34740.7, SMRG1_34740.8, SMRG1_34740.9, SMRG1_34750.1, SMRG1_72800.1, SMRG1_72800.2, SMRG1_72800.3, SMRG1_72800.4, SMRG1_72800.5, SMRG1_72800.6, SMRG1_89490.1, SMRG1_89490.2
OG0000003	T265_11432	SMRG1_97880.2, SMRG1_97880.3, SMRG1_97880.7, SMRG1_97880.8, SMRG1_97880.9, SMRG1_97880.13, SMRG1_97880.6, SMRG1_97880.11, SMRG1_97880.4, SMRG1_97880.10, SMRG1_97880.12, SMRG1_97880.5, SMRG1_97880.1, SMRG1_26290.1, SMRG1_26290.2, SMRG1_82840.1, SMRG1_82840.2, SMRG1_81490.5, SMRG1_81490.6, SMRG1_81490.1, SMRG1_82840.5, SMRG1_81490.4, SMRG1_81490.2, SMRG1_64980.1, SMRG1_64980.3, SMRG1_81490.3, SMRG1_81490.7, SMRG1_64130.1, SMRG1_82840.3, SMRG1_82840.4, SMRG1_37000.1, SMRG1_64980.2, SMRG1_34870.1, SMRG1_78350.10, SMRG1_78350.11, SMRG1_78350.13, SMRG1_78350.15, SMRG1_78350.7, SMRG1_78350.8, SMRG1_78350.9, SMRG1_78350.12, SMRG1_78350.1, SMRG1_78350.2, SMRG1_78350.3, SMRG1_78350.5, SMRG1_78350.14, SMRG1_78350.4, SMRG1_78350.6
OG0000005	T265_11244	SMRG1_22610.1, SMRG1_61910.1, SMRG1_16540.1, SMRG1_16520.1, SMRG1_43520.1, SMRG1_32650.1, SMRG1_72200.1, SMRG1_97660.1, SMRG1_8560.1
OG0000006	T265_12134	SMRG1_96150.1, SMRG1_26330.1
OG0000010	T265_00181	SMRG1_86660.1
