Orthogroup	schistosoma_mansoni	schistosoma_margrebowiei
OG0000003	Smp_059140.1, Smp_167670.1, Smp_167780.1	SMRG1_97880.2, SMRG1_97880.3, SMRG1_97880.7, SMRG1_97880.8, SMRG1_97880.9, SMRG1_97880.13, SMRG1_97880.6, SMRG1_97880.11, SMRG1_97880.4, SMRG1_97880.10, SMRG1_97880.12, SMRG1_97880.5, SMRG1_97880.1, SMRG1_26290.1, SMRG1_26290.2, SMRG1_82840.1, SMRG1_82840.2, SMRG1_81490.5, SMRG1_81490.6, SMRG1_81490.1, SMRG1_82840.5, SMRG1_81490.4, SMRG1_81490.2, SMRG1_64980.1, SMRG1_64980.3, SMRG1_81490.3, SMRG1_81490.7, SMRG1_64130.1, SMRG1_82840.3, SMRG1_82840.4, SMRG1_37000.1, SMRG1_64980.2, SMRG1_34870.1, SMRG1_78350.10, SMRG1_78350.11, SMRG1_78350.13, SMRG1_78350.15, SMRG1_78350.7, SMRG1_78350.8, SMRG1_78350.9, SMRG1_78350.12, SMRG1_78350.1, SMRG1_78350.2, SMRG1_78350.3, SMRG1_78350.5, SMRG1_78350.14, SMRG1_78350.4, SMRG1_78350.6
OG0000004	Smp_037690.1	SMRG1_79980.1, SMRG1_64480.1, SMRG1_21460.1, SMRG1_72490.1, SMRG1_64540.1, SMRG1_53600.1, SMRG1_64830.1, SMRG1_40440.1, SMRG1_41960.1, SMRG1_71400.1, SMRG1_68800.1
OG0000009	Smp_245810.1	SMRG1_37020.1
OG0000009	Smp_118710.1	SMRG1_3150.1
OG0000012	Smp_154760.1, Smp_154760.2	SMRG1_40800.37, SMRG1_40800.39, SMRG1_40800.28, SMRG1_40800.35, SMRG1_40800.14, SMRG1_40800.18, SMRG1_40800.12, SMRG1_40800.38, SMRG1_40800.27, SMRG1_40800.36, SMRG1_40800.1, SMRG1_40800.30, SMRG1_40800.19, SMRG1_40800.20, SMRG1_40800.57, SMRG1_40800.58, SMRG1_40800.47, SMRG1_40800.23, SMRG1_40800.17, SMRG1_40800.29, SMRG1_40800.50, SMRG1_40800.42, SMRG1_40800.43, SMRG1_40800.53, SMRG1_40800.8, SMRG1_40800.10, SMRG1_40800.16, SMRG1_40800.7, SMRG1_40800.40, SMRG1_40800.15, SMRG1_40800.48, SMRG1_40800.51, SMRG1_40800.31, SMRG1_40800.26, SMRG1_40800.6, SMRG1_40800.49, SMRG1_40800.52, SMRG1_40800.21, SMRG1_40800.34, SMRG1_40800.25, SMRG1_40800.54, SMRG1_40800.41, SMRG1_40800.33, SMRG1_40800.45, SMRG1_40800.46, SMRG1_40800.55, SMRG1_40800.56, SMRG1_40800.5, SMRG1_40800.44, SMRG1_40800.32, SMRG1_40800.24, SMRG1_40800.11, SMRG1_40800.13, SMRG1_40800.2, SMRG1_40800.22, SMRG1_40800.3, SMRG1_40800.4
OG0000014	Smp_141630.1	SMRG1_38250.10, SMRG1_38250.7, SMRG1_38250.9, SMRG1_38250.11, SMRG1_38250.14, SMRG1_38250.17, SMRG1_38250.5, SMRG1_38250.6, SMRG1_38250.8
OG0000015	Smp_201030.1	SMRG1_38270.1
OG0000015	Smp_326390.1	SMRG1_66420.1
OG0000015	Smp_202130.1	SMRG1_66430.1
OG0000015	Smp_201060.1	SMRG1_38470.1
OG0000015	Smp_095520.1	SMRG1_38480.1, SMRG1_38480.2, SMRG1_38480.3
OG0000015	Smp_174520.1	SMRG1_38500.1
OG0000015	Smp_320310.1	SMRG1_43920.2, SMRG1_43920.1
OG0000015	Smp_312630.1, Smp_302860.1	SMRG1_43060.2, SMRG1_43060.3
OG0000015	Smp_200180.1	SMRG1_43070.1
OG0000015	Smp_320210.1	SMRG1_43080.1
OG0000015	Smp_200190.1	SMRG1_43100.1
OG0000015	Smp_322950.1	SMRG1_9700.1, SMRG1_9780.1
OG0000016	Smp_169310.1	SMRG1_61440.1, SMRG1_72700.1, SMRG1_53180.1, SMRG1_29570.1
