Orthogroup	schistosoma_mansoni	schistosoma_japonicum
OG0000000	Smp_130500.1	EWB00_003401, EWB00_010051
OG0000003	Smp_059140.1, Smp_167670.1, Smp_167780.1	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346
OG0000004	Smp_037690.1	EWB00_009940
OG0000006	Smp_330020.1	EWB00_004008
OG0000010	Smp_158940.1	EWB00_003501
OG0000010	Smp_158710.1	EWB00_004748
OG0000014	Smp_141630.1	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	Smp_326390.1	EWB00_008878
OG0000015	Smp_202130.1	EWB00_008877
OG0000015	Smp_201060.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	Smp_095520.1	EWB00_004377.1, EWB00_004377.2
OG0000015	Smp_174520.1	EWB00_004374
OG0000015	Smp_320310.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	Smp_200190.1	EWB00_006401.1, EWB00_006401.2
OG0000015	Smp_322950.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000018	Smp_350200.1, Smp_247320.1, Smp_266740.1	EWB00_010090
OG0000019	Smp_102690.1	EWB00_004344
OG0000019	Smp_179320.1	EWB00_004346
OG0000020	Smp_341270.1	EWB00_000448
OG0000021	Smp_145560.1	EWB00_010539
OG0000021	Smp_134980.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	Smp_245140.1	EWB00_010822
OG0000021	Smp_135010.1	EWB00_002049
OG0000021	Smp_245150.3, Smp_245150.5, Smp_245150.4, Smp_245150.2, Smp_245150.6, Smp_245150.1	EWB00_002050.1, EWB00_002050.2
OG0000021	Smp_245160.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000021	Smp_135020.1	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3
OG0000022	Smp_163420.1	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000024	Smp_103790.1	EWB00_007079
OG0000024	Smp_016780.1	EWB00_009218.2, EWB00_009218.1, EWB00_009219
OG0000024	Smp_027920.1	EWB00_008906
OG0000024	Smp_103140.1	EWB00_001214
OG0000024	Smp_090120.1	EWB00_003471
OG0000026	Smp_055780.1	EWB00_002251.1, EWB00_002251.2
OG0000026	Smp_336100.1	EWB00_002721
OG0000026	Smp_089200.1, Smp_089200.2	EWB00_002746
OG0000027	Smp_332600.2, Smp_332600.9, Smp_332600.1, Smp_332600.6, Smp_332600.8, Smp_332600.4, Smp_332600.7, Smp_332600.3, Smp_332600.5	EWB00_003944
OG0000028	Smp_141010.2, Smp_141010.1, Smp_141010.4, Smp_141010.5, Smp_141010.3	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4
OG0000029	Smp_072870.1	EWB00_008857
OG0000029	Smp_203130.1	EWB00_007517
OG0000029	Smp_307010.1	EWB00_002502.1
OG0000029	Smp_307020.1	EWB00_002502.1
OG0000029	Smp_307010.1	EWB00_002502.2
OG0000029	Smp_307020.1	EWB00_002502.2
OG0000029	Smp_307010.1	EWB00_002502.4
OG0000029	Smp_307020.1	EWB00_002502.4
OG0000029	Smp_183710.1, Smp_306600.1	EWB00_004876
OG0000030	Smp_174960.1	EWB00_003826
OG0000031	Smp_017010.1	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3
OG0000032	Smp_079970.1	EWB00_008462.2, EWB00_008462.1, EWB00_008462.3
OG0000032	Smp_030730.1	EWB00_009578
OG0000032	Smp_313990.1, Smp_164480.1, Smp_078040.1, Smp_313980.1	EWB00_003338
OG0000034	Smp_009430.1	EWB00_008584
OG0000034	Smp_308940.1, Smp_308930.1	EWB00_008585
OG0000034	Smp_309980.1, Smp_327270.1, Smp_168550.1, Smp_331970.1	EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6
OG0000035	Smp_045860.1	EWB00_002318
OG0000037	Smp_157980.1, Smp_157980.2	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3
OG0000037	Smp_308100.1, Smp_308110.1	EWB00_006569
OG0000040	Smp_014400.1, Smp_014400.2, Smp_328330.1, Smp_328330.2	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4
OG0000041	Smp_158210.1	EWB00_010562, EWB00_005597, EWB00_003816
OG0000042	Smp_247180.1	EWB00_009261.1, EWB00_009261.2
OG0000042	Smp_247170.1	EWB00_009262
OG0000042	Smp_048050.1, Smp_048050.2, Smp_049230.1	EWB00_004609
OG0000042	Smp_302320.1, Smp_185680.2, Smp_302350.1, Smp_303690.1, Smp_185680.1, Smp_302350.2, Smp_302270.1, Smp_302280.1, Smp_302290.1	EWB00_004610, EWB00_009263
OG0000043	Smp_083340.1	EWB00_003370, EWB00_010871
OG0000044	Smp_155560.1, Smp_315070.1, Smp_062120.1, Smp_305550.1	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3
OG0000044	Smp_155530.1, Smp_062080.1	EWB00_011369.1, EWB00_011369.2
OG0000045	Smp_094770.1, Smp_175400.1	EWB00_004967.2, EWB00_004967.1, EWB00_004969, EWB00_004967.3
OG0000046	Smp_174250.1	EWB00_001944
OG0000046	Smp_175190.1	EWB00_002829
OG0000048	Smp_349350.1, Smp_340140.1, Smp_350510.1, Smp_165600.1, Smp_165590.1, Smp_349560.1, Smp_349630.1, Smp_329780.1, Smp_192050.1, Smp_349090.1, Smp_349670.1, Smp_349250.1, Smp_349190.1, Smp_349240.1, Smp_349210.1, Smp_349160.1, Smp_350320.1, Smp_350220.1, Smp_349690.1, Smp_349700.1, Smp_349730.1, Smp_350230.1, Smp_349710.1, Smp_349720.1, Smp_349570.1, Smp_179390.1, Smp_349650.1, Smp_349740.1, Smp_350150.1, Smp_350210.1, Smp_350160.1, Smp_350160.2, Smp_349070.1, Smp_349050.1, Smp_349150.1, Smp_179970.1, Smp_349580.1, Smp_350240.1, Smp_194130.1, Smp_173350.1, Smp_349100.1, Smp_349520.1, Smp_349530.1	EWB00_001580
