Orthogroup	s.mekongi	schistosoma_guineensis
OG0000000	KAK4474313.1, KAK4474221.1	SGUI1_8610.1, SGUI1_72140.1, SGUI1_51200.1, SGUI1_5880.1, SGUI1_23940.1, SGUI1_72970.1, SGUI1_80390.1, SGUI1_85530.1, SGUI1_40540.1, SGUI1_39870.1, SGUI1_88850.1, SGUI1_16980.1, SGUI1_85750.1, SGUI1_21020.1, SGUI1_5870.1, SGUI1_45370.1, SGUI1_35810.1, SGUI1_64180.1, SGUI1_9310.1, SGUI1_51190.1, SGUI1_76640.1, SGUI1_4030.1, SGUI1_32290.1
OG0000000	KAK4467292.1	SGUI1_95960.1, SGUI1_93570.1, SGUI1_9770.1, SGUI1_64030.1, SGUI1_50100.1, SGUI1_75250.1, SGUI1_82770.1, SGUI1_42670.1, SGUI1_67100.1, SGUI1_55010.1, SGUI1_90550.1, SGUI1_53490.1, SGUI1_21620.1, SGUI1_21620.2, SGUI1_53860.1, SGUI1_69340.1, SGUI1_18180.1, SGUI1_95760.1, SGUI1_31910.1, SGUI1_31910.2, SGUI1_31910.3, SGUI1_31910.4, SGUI1_31910.5, SGUI1_69020.1, SGUI1_39480.1, SGUI1_8640.1, SGUI1_30170.1
OG0000002	KAK4467347.1	SGUI1_47330.1, SGUI1_12810.1, SGUI1_29140.1, SGUI1_29140.2, SGUI1_29140.3, SGUI1_29140.4, SGUI1_29140.5, SGUI1_29140.6, SGUI1_79030.1, SGUI1_28020.1, SGUI1_28020.2, SGUI1_61250.1, SGUI1_13840.1, SGUI1_25370.1, SGUI1_25370.2
OG0000004	KAK4474260.1	SGUI1_55320.1
OG0000004	KAK4470021.1	SGUI1_74620.1
OG0000005	KAK4474285.1, KAK4472197.1, KAK4472189.1	SGUI1_24510.1
OG0000006	KAK4467570.1	SGUI1_76880.1, SGUI1_58630.1, SGUI1_57070.1
OG0000006	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1	SGUI1_68830.1, SGUI1_54880.1, SGUI1_92600.1
OG0000008	KAK4472200.1	SGUI1_38260.1, SGUI1_9390.1, SGUI1_9390.2, SGUI1_67330.1, SGUI1_16340.1, SGUI1_13020.1, SGUI1_13750.1, SGUI1_12660.1, SGUI1_12540.1, SGUI1_47370.1, SGUI1_27000.1, SGUI1_90850.1, SGUI1_57630.1, SGUI1_39120.1, SGUI1_1320.1, SGUI1_29210.1, SGUI1_1190.1, SGUI1_10740.1, SGUI1_47340.1, SGUI1_58470.1, SGUI1_2730.1, SGUI1_72400.1, SGUI1_13750.3, SGUI1_41060.1
OG0000009	KAK4471801.1	SGUI1_34150.1
OG0000009	KAK4472212.1	SGUI1_95330.1, SGUI1_18020.1
OG0000014	KAK4473936.1	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5
OG0000015	KAK4473938.1	SGUI1_38090.2, SGUI1_38090.1
OG0000015	KAK4473954.1, KAK4473955.1	SGUI1_38300.1
OG0000015	KAK4467362.1, KAK4467363.1	SGUI1_43650.1
OG0000015	KAK4474356.1	SGUI1_9360.1
OG0000016	KAK4472342.1	SGUI1_36680.1, SGUI1_42920.1, SGUI1_67160.1, SGUI1_62150.1, SGUI1_81820.1, SGUI1_93260.1
OG0000018	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1	SGUI1_95460.1, SGUI1_49660.2, SGUI1_49660.5, SGUI1_70620.1, SGUI1_49660.3, SGUI1_49660.4, SGUI1_49660.6, SGUI1_27910.1, SGUI1_27920.1, SGUI1_49660.1, SGUI1_4330.2, SGUI1_4340.2, SGUI1_4330.4, SGUI1_4340.4, SGUI1_7860.1, SGUI1_4330.3, SGUI1_4330.5, SGUI1_4340.3, SGUI1_4340.5, SGUI1_4330.1, SGUI1_4340.1, SGUI1_72780.2, SGUI1_72780.1, SGUI1_72780.3, SGUI1_63130.1, SGUI1_63130.2, SGUI1_63130.3, SGUI1_87320.1, SGUI1_97010.1, SGUI1_97010.2
OG0000019	KAK4473983.1	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7
OG0000019	KAK4473981.1	SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15
OG0000021	KAK4475892.1, KAK4475894.1	SGUI1_5500.1
OG0000021	KAK4475890.1	SGUI1_5470.3, SGUI1_5470.1, SGUI1_5470.2
OG0000021	KAK4475891.1	SGUI1_5490.1
OG0000021	KAK4475889.1	SGUI1_5450.1, SGUI1_5450.2
OG0000022	KAK4473037.1	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13
OG0000023	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1	SGUI1_37700.1, SGUI1_37700.2
OG0000023	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1	SGUI1_43890.1, SGUI1_86030.1, SGUI1_12860.1, SGUI1_58570.1
OG0000024	KAK4473313.1	SGUI1_23290.1
OG0000024	KAK4468456.1	SGUI1_91920.1
OG0000024	KAK4471475.1	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2
OG0000024	KAK4470835.1	SGUI1_80800.1, SGUI1_80800.2
