# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Duplicated	SMRG1_29650.2	4113.9	1958	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
5951at33208	Duplicated	SMRG1_29650.1	4074.5	1933	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	SMRG1_97580.1	1495.7	1675	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	SMRG1_34150.2	1202.1	1402	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	SMRG1_6320.1	2111.5	1621	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Duplicated	SMRG1_19270.1	523.4	500	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
40200at33208	Duplicated	SMRG1_19270.2	514.7	500	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	SMRG1_82500.1	970.3	867	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	SMRG1_14550.1	1021.6	997	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Duplicated	SMRG1_19770.2	1053.9	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SMRG1_19770.1	1053.0	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SMRG1_19770.3	1032.6	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
56573at33208	Duplicated	SMRG1_19770.4	1032.6	881	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	SMRG1_3400.1	1174.0	662	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Duplicated	SMRG1_38250.3	1896.7	926	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
