Orthogroup	schistosoma_haematobium	schistosoma_mattheei
OG0000000	SHAE2_67200.1	SMTH1_83350.1
OG0000000	SHAE2_74450.1, SHAE2_63900.1	SMTH1_29220.1, SMTH1_81860.1
OG0000000	SHAE2_69240.1	SMTH1_61590.1
OG0000000	SHAE2_29520.1	SMTH1_71430.1
OG0000000	SHAE2_81470.1, SHAE2_22980.1, SHAE2_22980.2, SHAE2_22980.3, SHAE2_22980.4, SHAE2_100780.1, SHAE2_69900.1	SMTH1_88000.1, SMTH1_50730.1, SMTH1_66270.1, SMTH1_22330.1, SMTH1_39170.1, SMTH1_63530.1, SMTH1_21400.1
OG0000000	SHAE2_79350.1, SHAE2_44510.1, SHAE2_59870.1	SMTH1_47590.1
OG0000000	SHAE2_36390.1, SHAE2_51630.1	SMTH1_77130.1
OG0000000	SHAE2_54860.1, SHAE2_68440.1	SMTH1_820.1
OG0000000	SHAE2_25780.1	SMTH1_41800.1, SMTH1_6790.1
OG0000000	SHAE2_67380.1, SHAE2_67390.1	SMTH1_91240.1
OG0000000	SHAE2_33930.1	SMTH1_26170.1, SMTH1_46570.1
OG0000000	SHAE2_77100.1	SMTH1_31620.1
OG0000000	SHAE2_43990.1, SHAE2_76270.1	SMTH1_450.1
OG0000002	SHAE2_24820.1, SHAE2_24820.2, SHAE2_24820.3, SHAE2_24820.4	SMTH1_25620.1
OG0000002	SHAE2_2970.1, SHAE2_2970.2, SHAE2_2980.1	SMTH1_36660.2
OG0000002	SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1	SMTH1_103050.1, SMTH1_37050.1, SMTH1_37050.2, SMTH1_103040.1, SMTH1_85150.1, SMTH1_85150.2, SMTH1_55100.1
OG0000002	SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4	SMTH1_97440.1, SMTH1_97450.1
OG0000002	SHAE2_56500.1	SMTH1_76200.1, SMTH1_76200.2, SMTH1_76200.3, SMTH1_76200.4, SMTH1_9180.1, SMTH1_9180.2, SMTH1_9180.3, SMTH1_59920.2, SMTH1_58680.1, SMTH1_58690.1, SMTH1_58690.2, SMTH1_107630.1, SMTH1_107630.2, SMTH1_59920.1
OG0000002	SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3	SMTH1_63260.1, SMTH1_63260.2
OG0000002	SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2	SMTH1_107240.1
OG0000002	SHAE2_77790.1	SMTH1_107250.1
OG0000003	SHAE2_24270.4, SHAE2_24270.6, SHAE2_64480.1, SHAE2_64480.2, SHAE2_64480.4, SHAE2_64480.7, SHAE2_64480.6, SHAE2_24270.1, SHAE2_24270.8, SHAE2_24270.9, SHAE2_24270.10, SHAE2_24270.2	SMTH1_51780.9
OG0000003	SHAE2_64480.5	SMTH1_51780.1, SMTH1_51780.3
OG0000003	SHAE2_93960.1, SHAE2_93960.3, SHAE2_93960.6, SHAE2_93960.4, SHAE2_93960.2, SHAE2_93960.5	SMTH1_51780.2, SMTH1_51780.6, SMTH1_51780.4
