Orthogroup	schistosoma_guineensis	fasciola_gigantica
OG0000002	SGUI1_40810.1	FGIG_02209
OG0000008	SGUI1_53450.1, SGUI1_38260.1, SGUI1_9390.1, SGUI1_9390.2, SGUI1_67330.1, SGUI1_16340.1, SGUI1_13020.1, SGUI1_13750.1, SGUI1_12660.1, SGUI1_12540.1, SGUI1_47370.1, SGUI1_27000.1, SGUI1_90850.1, SGUI1_57630.1, SGUI1_39120.1, SGUI1_1320.1, SGUI1_29210.1, SGUI1_1190.1, SGUI1_10740.1, SGUI1_47340.1, SGUI1_58470.1, SGUI1_2730.1, SGUI1_72400.1, SGUI1_13750.3, SGUI1_41060.1, SGUI1_82730.1	FGIG_01604
OG0000010	SGUI1_57400.1, SGUI1_74850.1	FGIG_10402
OG0000012	SGUI1_40550.1	FGIG_00643
OG0000014	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5	FGIG_02434
OG0000015	SGUI1_66240.1	FGIG_12126, FGIG_08847
OG0000015	SGUI1_38300.1	FGIG_10861, FGIG_10862, FGIG_07349
OG0000015	SGUI1_38310.1	FGIG_10471, FGIG_07736
OG0000015	SGUI1_43650.1	FGIG_03653
OG0000015	SGUI1_9360.1	FGIG_05368, FGIG_05133
OG0000019	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7, SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15	FGIG_11320
