Orthogroup	s.mekongi	schistosoma_rodhaini
OG0000000	KAK4474313.1, KAK4474221.1	SRDH2_24900.1, SRDH2_101460.1, SRDH2_14500.1, SRDH2_101870.1, SRDH2_13090.1, SRDH2_1270.1, SRDH2_31520.1, SRDH2_40850.1, SRDH2_55230.1, SRDH2_28860.1, SRDH2_95130.1, SRDH2_51740.1
OG0000000	KAK4467292.1	SRDH2_56950.1, SRDH2_13220.1, SRDH2_87450.1, SRDH2_55070.1, SRDH2_96830.1, SRDH2_18590.1, SRDH2_100110.1
OG0000002	KAK4467347.1	SRDH2_8910.1, SRDH2_8910.2, SRDH2_8920.1, SRDH2_101720.1, SRDH2_101720.2, SRDH2_101720.3, SRDH2_101720.4, SRDH2_2520.1, SRDH2_81780.1, SRDH2_55620.1, SRDH2_93980.1, SRDH2_93980.2, SRDH2_93980.3, SRDH2_93980.4, SRDH2_93980.5, SRDH2_40490.10, SRDH2_40490.3, SRDH2_40490.4, SRDH2_40490.5, SRDH2_40490.6, SRDH2_40490.7, SRDH2_40490.8, SRDH2_40490.9, SRDH2_10090.1, SRDH2_10090.2, SRDH2_10090.3, SRDH2_10090.4, SRDH2_41980.1, SRDH2_16800.1, SRDH2_40490.1, SRDH2_40490.2, SRDH2_9000.1, SRDH2_9000.2
OG0000002	KAK4474259.1	SRDH2_34910.1, SRDH2_89180.1
OG0000004	KAK4470021.1	SRDH2_89230.1
OG0000006	KAK4467570.1	SRDH2_20190.1, SRDH2_75960.1, SRDH2_21900.1, SRDH2_21900.3, SRDH2_21900.2, SRDH2_22130.1, SRDH2_31310.1, SRDH2_65790.1, SRDH2_73010.1, SRDH2_34190.1, SRDH2_840.1
OG0000006	KAK4468381.1, KAK4474329.1, KAK4474327.1, KAK4472174.1, KAK4467496.1	SRDH2_49820.1, SRDH2_56060.1
OG0000006	KAK4470026.1, KAK4472137.1, KAK4472129.1, KAK4472182.1	SRDH2_59490.1, SRDH2_11650.1, SRDH2_76390.1, SRDH2_7170.1, SRDH2_90220.1
OG0000006	KAK4467266.1, KAK4471051.1, KAK4467263.1, KAK4467318.1, KAK4474267.1	SRDH2_65340.1
OG0000008	KAK4472200.1	SRDH2_73390.1, SRDH2_8270.1, SRDH2_60930.1, SRDH2_43810.1, SRDH2_72260.1, SRDH2_100010.1, SRDH2_9710.1, SRDH2_48070.1, SRDH2_64900.1, SRDH2_37160.1, SRDH2_76800.1, SRDH2_19940.1, SRDH2_34490.1, SRDH2_33040.1, SRDH2_22090.1, SRDH2_102040.1, SRDH2_2620.1, SRDH2_71240.1, SRDH2_17770.1, SRDH2_99260.1, SRDH2_82170.1, SRDH2_101100.1, SRDH2_101970.1, SRDH2_101970.2, SRDH2_101150.1, SRDH2_57980.1, SRDH2_37950.1, SRDH2_65060.1, SRDH2_79060.1, SRDH2_39320.1, SRDH2_12840.1
OG0000009	KAK4471801.1	SRDH2_82870.1, SRDH2_36960.1, SRDH2_71930.1
OG0000009	KAK4469289.1	SRDH2_56120.1, SRDH2_56120.2
OG0000009	KAK4472212.1	SRDH2_2650.1, SRDH2_17810.1, SRDH2_17820.1, SRDH2_2640.1, SRDH2_100460.3, SRDH2_100480.1, SRDH2_39630.1, SRDH2_84630.1, SRDH2_66450.1, SRDH2_33280.1, SRDH2_3140.1
OG0000014	KAK4473936.1	SRDH2_32020.33, SRDH2_32020.13, SRDH2_32020.17, SRDH2_32020.23, SRDH2_32020.27, SRDH2_32020.25, SRDH2_32020.18, SRDH2_32020.37, SRDH2_32020.3, SRDH2_32020.4, SRDH2_32020.12, SRDH2_32020.14, SRDH2_32020.16, SRDH2_32020.19, SRDH2_32020.20, SRDH2_32020.28, SRDH2_32020.1, SRDH2_32020.15, SRDH2_32020.24, SRDH2_32020.30, SRDH2_32020.5, SRDH2_32020.8, SRDH2_32020.38, SRDH2_32020.40, SRDH2_32020.2, SRDH2_32020.21, SRDH2_32020.29, SRDH2_32020.6, SRDH2_32020.11, SRDH2_32020.26, SRDH2_32020.31, SRDH2_32020.32, SRDH2_32020.34, SRDH2_32020.22, SRDH2_32020.10, SRDH2_32020.35, SRDH2_32020.36, SRDH2_32020.39, SRDH2_32020.9
OG0000015	KAK4473938.1	SRDH2_32040.2
OG0000015	KAK4471448.1	SRDH2_66330.1
OG0000015	KAK4473954.1, KAK4473955.1	SRDH2_38560.1
OG0000015	KAK4467362.1, KAK4467363.1	SRDH2_43900.1
OG0000015	KAK4474356.1	SRDH2_10450.1
OG0000016	KAK4472342.1	SRDH2_37960.1
OG0000018	KAK4474218.1, KAK4470049.1, KAK4472213.1, KAK4472215.1, KAK4474347.1, KAK4467968.1	SRDH2_71230.4, SRDH2_56830.5, SRDH2_56830.3, SRDH2_56830.7, SRDH2_71230.3, SRDH2_56830.1, SRDH2_56830.2, SRDH2_56830.8, SRDH2_71230.1, SRDH2_71230.2, SRDH2_102440.1, SRDH2_102440.2, SRDH2_102440.3, SRDH2_56830.4, SRDH2_56830.6, SRDH2_71230.5, SRDH2_71230.6, SRDH2_58370.1, SRDH2_13100.1, SRDH2_67220.1, SRDH2_58360.1
OG0000019	KAK4473983.1	SRDH2_34300.1
OG0000019	KAK4473981.1	SRDH2_34310.5, SRDH2_34310.7, SRDH2_34310.6, SRDH2_34310.3, SRDH2_34310.2, SRDH2_34310.1, SRDH2_34310.4
OG0000021	KAK4475892.1, KAK4475894.1	SRDH2_5890.1
OG0000021	KAK4475895.1	SRDH2_5900.1
OG0000021	KAK4475890.1	SRDH2_5860.2, SRDH2_5860.1, SRDH2_102110.1
OG0000021	KAK4475891.1	SRDH2_102090.1, SRDH2_5880.1
OG0000021	KAK4475889.1	SRDH2_5850.3, SRDH2_5850.2, SRDH2_5850.1, SRDH2_5850.4
OG0000022	KAK4473037.1	SRDH2_27620.10, SRDH2_27620.33, SRDH2_27620.25, SRDH2_27620.8, SRDH2_27620.37, SRDH2_27620.34, SRDH2_27620.11, SRDH2_27620.17, SRDH2_27620.12, SRDH2_27620.18, SRDH2_27620.16, SRDH2_27620.31, SRDH2_27620.1, SRDH2_27620.30, SRDH2_27620.5, SRDH2_27620.2, SRDH2_27620.32, SRDH2_27620.21, SRDH2_27620.28, SRDH2_27620.22, SRDH2_27620.23, SRDH2_27620.6, SRDH2_27620.19, SRDH2_27620.20, SRDH2_27620.26, SRDH2_27620.14, SRDH2_27620.15, SRDH2_27620.13, SRDH2_27620.9, SRDH2_27620.7, SRDH2_27620.29, SRDH2_27620.24, SRDH2_27620.4, SRDH2_27620.27, SRDH2_27620.3
OG0000023	KAK4467522.1, KAK4474231.1, KAK4468380.1, KAK4470017.1, KAK4467959.1, KAK4471063.1, KAK4474263.1, KAK4468370.1, KAK4467584.1	SRDH2_86550.1, SRDH2_46810.1, SRDH2_44490.1, SRDH2_37230.1, SRDH2_15010.1, SRDH2_15010.2, SRDH2_80730.1, SRDH2_80730.2
OG0000023	KAK4468392.1	SRDH2_67100.1
OG0000023	KAK4474251.1, KAK4472167.1, KAK4468399.1, KAK4474317.1, KAK4472123.1, KAK4468388.1, KAK4470004.1, KAK4467463.1, KAK4468967.1, KAK4467238.1, KAK4471048.1, KAK4468391.1, KAK4472155.1, KAK4472183.1, KAK4474232.1, KAK4469000.1, KAK4467248.1	SRDH2_49570.1, SRDH2_21610.1, SRDH2_49310.1, SRDH2_9630.1, SRDH2_79690.1, SRDH2_96430.1, SRDH2_79740.1
OG0000024	KAK4473313.1	SRDH2_24010.1
OG0000024	KAK4468456.1	SRDH2_94350.1
OG0000024	KAK4471475.1	SRDH2_67860.1
OG0000024	KAK4470835.1	SRDH2_82380.1
OG0000026	KAK4470973.1	SRDH2_81630.3, SRDH2_81630.2, SRDH2_81630.8, SRDH2_81630.7, SRDH2_81630.5, SRDH2_81630.9, SRDH2_81630.4, SRDH2_81630.1, SRDH2_81630.6
OG0000026	KAK4470239.1, KAK4470240.1	SRDH2_73460.10, SRDH2_73460.11, SRDH2_73460.14, SRDH2_73460.15, SRDH2_73460.8, SRDH2_73460.9, SRDH2_73460.2, SRDH2_73460.4, SRDH2_73460.5, SRDH2_73460.3, SRDH2_73460.1, SRDH2_73460.6, SRDH2_73460.12, SRDH2_73460.13, SRDH2_73460.7
OG0000026	KAK4470216.1	SRDH2_73510.3, SRDH2_73510.4, SRDH2_73510.5, SRDH2_73510.7, SRDH2_73510.1, SRDH2_73510.2, SRDH2_73510.8, SRDH2_73510.6
OG0000028	KAK4470768.1	SRDH2_71910.10, SRDH2_71910.4, SRDH2_71910.6, SRDH2_71910.8, SRDH2_71910.5, SRDH2_71910.7, SRDH2_71910.9, SRDH2_71910.11, SRDH2_71910.12, SRDH2_71910.2, SRDH2_71910.13, SRDH2_71910.18, SRDH2_71910.21, SRDH2_71910.24, SRDH2_71910.1, SRDH2_71910.26, SRDH2_71910.29, SRDH2_71910.25, SRDH2_71910.34, SRDH2_71910.17, SRDH2_71910.20, SRDH2_71910.23, SRDH2_71910.27, SRDH2_71910.28, SRDH2_71910.15, SRDH2_71910.19, SRDH2_71910.31, SRDH2_71910.16, SRDH2_71910.22, SRDH2_71910.32, SRDH2_71910.33, SRDH2_71910.14, SRDH2_71910.30, SRDH2_71910.3
OG0000029	KAK4471130.1	SRDH2_58920.1
OG0000029	KAK4468717.1	SRDH2_90020.1
OG0000029	KAK4468778.1	SRDH2_90050.1
OG0000029	KAK4474996.1	SRDH2_20870.1
OG0000029	KAK4468699.1	SRDH2_91070.1
OG0000029	KAK4468698.1	SRDH2_91060.1
OG0000030	KAK4476063.1	SRDH2_6780.1
OG0000031	KAK4475389.1	SRDH2_21700.10, SRDH2_21700.4, SRDH2_21700.1, SRDH2_21700.6, SRDH2_21700.12, SRDH2_21700.7, SRDH2_21700.8, SRDH2_21700.9, SRDH2_21700.3, SRDH2_21700.2, SRDH2_21700.11, SRDH2_21700.13, SRDH2_21700.5
OG0000032	KAK4476285.1	SRDH2_10690.1
OG0000032	KAK4470045.1	SRDH2_23570.1, SRDH2_81680.2, SRDH2_81690.1, SRDH2_9890.1, SRDH2_9820.1, SRDH2_81680.1
OG0000033	KAK4471046.1, KAK4474238.1, KAK4467528.1, KAK4471080.1	SRDH2_3900.1, SRDH2_71180.1, SRDH2_77620.1, SRDH2_19830.1, SRDH2_64110.1, SRDH2_56370.1, SRDH2_56780.1, SRDH2_79100.1, SRDH2_57970.1, SRDH2_50980.1, SRDH2_6620.1, SRDH2_101130.1, SRDH2_100490.1, SRDH2_101140.1, SRDH2_101160.1, SRDH2_101170.1, SRDH2_38350.1, SRDH2_15490.1, SRDH2_5580.1, SRDH2_37170.1, SRDH2_42520.1
OG0000034	KAK4468479.1	SRDH2_94750.1
OG0000034	KAK4468478.1	SRDH2_94690.1, SRDH2_94710.1, SRDH2_94460.1, SRDH2_94440.1, SRDH2_94700.1, SRDH2_94450.1
OG0000034	KAK4471028.1, KAK4471029.1	SRDH2_58720.1, SRDH2_58700.1, SRDH2_58680.1, SRDH2_58640.1
OG0000035	KAK4475274.1	SRDH2_15480.22, SRDH2_15480.18, SRDH2_15480.20, SRDH2_15480.2, SRDH2_15480.4, SRDH2_15480.21, SRDH2_15480.15, SRDH2_15480.17, SRDH2_15480.14, SRDH2_15480.16, SRDH2_15480.24, SRDH2_15480.25, SRDH2_15480.19, SRDH2_15480.6, SRDH2_15480.1, SRDH2_15480.23, SRDH2_15480.3, SRDH2_15480.9, SRDH2_15480.5, SRDH2_15480.8, SRDH2_15480.12, SRDH2_15480.13, SRDH2_15480.26, SRDH2_15480.11, SRDH2_15480.7, SRDH2_15480.10
OG0000036	KAK4470022.1	SRDH2_86460.1, SRDH2_76890.1
OG0000037	KAK4471851.1	SRDH2_61520.1
OG0000037	KAK4471850.1	SRDH2_61530.17, SRDH2_61530.2, SRDH2_61530.24, SRDH2_61530.21, SRDH2_61530.23, SRDH2_61530.15, SRDH2_61530.13, SRDH2_61530.19, SRDH2_61530.16, SRDH2_61530.4, SRDH2_61530.5, SRDH2_61530.9, SRDH2_61530.1, SRDH2_61530.10, SRDH2_61530.6, SRDH2_61530.22, SRDH2_61530.11, SRDH2_61530.7, SRDH2_61530.8, SRDH2_61530.18, SRDH2_61530.20, SRDH2_61530.12, SRDH2_61530.3, SRDH2_61530.14
OG0000041	KAK4470035.1, KAK4472130.1, KAK4474248.1, KAK4467544.1, KAK4472166.1, KAK4471055.1, KAK4474254.1, KAK4474299.1, KAK4474270.1, KAK4474225.1, KAK4467970.1, KAK4471039.1, KAK4470023.1, KAK4472159.1, KAK4474219.1, KAK4472126.1, KAK4467340.1, KAK4468982.1, KAK4470032.1, KAK4474315.1, KAK4467976.1, KAK4468981.1, KAK4467950.1, KAK4471047.1, KAK4472157.1, KAK4472216.1, KAK4470029.1, KAK4472125.1, KAK4470036.1, KAK4472145.1, KAK4469994.1, KAK4468974.1, KAK4474334.1	SRDH2_51400.1, SRDH2_100240.1, SRDH2_59560.1, SRDH2_1710.1, SRDH2_120.1, SRDH2_101540.1, SRDH2_49590.1, SRDH2_50260.1, SRDH2_39090.1, SRDH2_42060.1, SRDH2_70230.1, SRDH2_65040.1, SRDH2_60160.1, SRDH2_97680.1
OG0000042	KAK4472150.1	SRDH2_40040.3, SRDH2_40040.2, SRDH2_40040.1, SRDH2_40040.4
OG0000042	KAK4472153.1	SRDH2_40030.2, SRDH2_40030.1, SRDH2_40030.3
OG0000042	KAK4473688.1	SRDH2_40000.1
OG0000042	KAK4472151.1, KAK4472152.1	SRDH2_101250.1, SRDH2_101200.1, SRDH2_101220.1, SRDH2_101240.1, SRDH2_40020.1, SRDH2_40010.1, SRDH2_40010.2
OG0000044	KAK4468903.1	SRDH2_88730.1, SRDH2_88720.3, SRDH2_88720.1, SRDH2_88720.2, SRDH2_88720.4, SRDH2_88720.5, SRDH2_88720.6, SRDH2_88720.7, SRDH2_88720.8
OG0000044	KAK4468904.1	SRDH2_88700.3, SRDH2_88700.1, SRDH2_88700.2, SRDH2_88700.9, SRDH2_88700.6, SRDH2_88700.4, SRDH2_88700.5, SRDH2_88700.10, SRDH2_88700.7, SRDH2_88700.8, SRDH2_88690.1, SRDH2_88690.2, SRDH2_88690.3
OG0000045	KAK4468037.1	SRDH2_10910.11, SRDH2_10910.14, SRDH2_10910.19, SRDH2_10910.20, SRDH2_10910.1, SRDH2_10910.3, SRDH2_10910.5, SRDH2_10910.6, SRDH2_10910.8, SRDH2_10910.12, SRDH2_10910.13, SRDH2_10910.4, SRDH2_10910.7, SRDH2_10910.9, SRDH2_10910.10, SRDH2_10910.15, SRDH2_10910.16, SRDH2_10910.17, SRDH2_10910.18, SRDH2_10910.2
OG0000049	KAK4470136.1, KAK4470137.1	SRDH2_71440.3, SRDH2_71440.2, SRDH2_71440.5, SRDH2_71440.6, SRDH2_71440.1, SRDH2_71440.4
OG0000049	KAK4470598.1	SRDH2_75360.3, SRDH2_75360.4, SRDH2_75360.5, SRDH2_75360.8, SRDH2_75360.1, SRDH2_75360.6, SRDH2_75360.11, SRDH2_75360.7, SRDH2_75360.13, SRDH2_75360.14, SRDH2_75360.15, SRDH2_75360.12, SRDH2_75360.10, SRDH2_75360.9, SRDH2_75360.2
OG0000050	KAK4469367.1	SRDH2_54600.1, SRDH2_54620.6, SRDH2_54620.7, SRDH2_54620.5, SRDH2_54620.10, SRDH2_54620.1, SRDH2_54620.2, SRDH2_54620.4, SRDH2_54620.13, SRDH2_54620.14, SRDH2_54620.12, SRDH2_54620.8, SRDH2_54620.3, SRDH2_54620.11, SRDH2_54620.9
OG0000052	KAK4472821.1	SRDH2_29050.1
OG0000052	KAK4474336.1	SRDH2_3320.1
OG0000052	KAK4474374.1	SRDH2_930.1
OG0000052	KAK4474946.1	SRDH2_1740.1
OG0000052	KAK4471620.1	SRDH2_69180.1
OG0000053	KAK4475177.1, KAK4475178.1	SRDH2_18960.11, SRDH2_18960.7, SRDH2_18960.1, SRDH2_18960.10, SRDH2_18960.3, SRDH2_18960.4, SRDH2_18960.6, SRDH2_18960.8, SRDH2_18960.9, SRDH2_18960.2, SRDH2_18960.5
OG0000054	KAK4471025.1, KAK4468371.1, KAK4474289.1, KAK4471019.1, KAK4472186.1, KAK4471074.1, KAK4472139.1, KAK4469996.1	SRDH2_41060.1, SRDH2_34600.1, SRDH2_94410.1, SRDH2_94400.1, SRDH2_94410.2, SRDH2_46330.1, SRDH2_46330.2, SRDH2_46330.3, SRDH2_46330.4, SRDH2_46330.5, SRDH2_80260.1, SRDH2_91570.1, SRDH2_91570.2, SRDH2_91570.3, SRDH2_91570.4, SRDH2_84440.1, SRDH2_49560.1, SRDH2_49560.2, SRDH2_49560.3, SRDH2_49560.4, SRDH2_49560.5, SRDH2_49560.6, SRDH2_12950.1
OG0000055	KAK4471575.1, KAK4471564.1	SRDH2_71170.14, SRDH2_71170.2, SRDH2_71170.3, SRDH2_71170.11, SRDH2_71170.16, SRDH2_71170.13, SRDH2_71170.4, SRDH2_71170.5, SRDH2_71170.6, SRDH2_71170.17, SRDH2_71170.23, SRDH2_71170.21, SRDH2_71190.1, SRDH2_71170.1, SRDH2_71170.10, SRDH2_71170.12, SRDH2_71170.15, SRDH2_71170.19, SRDH2_71170.7, SRDH2_71170.8, SRDH2_71170.9, SRDH2_71170.22, SRDH2_71170.18, SRDH2_71170.20
OG0000056	KAK4474308.1, KAK4467267.1, KAK4467234.1, KAK4467282.1, KAK4474237.1, KAK4468958.1, KAK4468998.1, KAK4474253.1, KAK4474239.1, KAK4472214.1, KAK4470010.1, KAK4468978.1, KAK4471056.1	SRDH2_86420.1, SRDH2_48280.1, SRDH2_23560.1, SRDH2_29690.1, SRDH2_33730.1, SRDH2_9340.1, SRDH2_41820.1, SRDH2_98390.1, SRDH2_69570.1, SRDH2_41150.1
OG0000057	KAK4468384.1, KAK4470043.1	SRDH2_86340.1, SRDH2_95060.1, SRDH2_95060.2, SRDH2_97470.1, SRDH2_76670.1, SRDH2_31030.1, SRDH2_86930.1, SRDH2_76000.1, SRDH2_12140.1, SRDH2_85420.1, SRDH2_84330.1, SRDH2_52540.1, SRDH2_71360.1
OG0000058	KAK4468525.1	SRDH2_92580.1
OG0000058	KAK4470069.1	SRDH2_82490.2, SRDH2_82490.8, SRDH2_82490.1, SRDH2_82490.3, SRDH2_82490.4, SRDH2_82490.5, SRDH2_82490.6, SRDH2_82490.7, SRDH2_82490.9
OG0000058	KAK4470074.1, KAK4470072.1	SRDH2_82530.1, SRDH2_82530.2, SRDH2_82530.3, SRDH2_82530.4
OG0000058	KAK4470068.1	SRDH2_82480.1, SRDH2_82480.2
OG0000060	KAK4471247.1	SRDH2_65910.12, SRDH2_65910.5, SRDH2_65910.2, SRDH2_65910.13, SRDH2_65910.15, SRDH2_65910.14, SRDH2_65910.4, SRDH2_65910.18, SRDH2_65910.7, SRDH2_65910.1, SRDH2_65910.10, SRDH2_65910.17, SRDH2_65910.8, SRDH2_65910.3, SRDH2_65910.6, SRDH2_65910.11, SRDH2_65910.19, SRDH2_65910.20, SRDH2_65910.21, SRDH2_65910.16, SRDH2_65910.9
OG0000061	KAK4469486.1	SRDH2_53440.17, SRDH2_53440.18, SRDH2_53440.1, SRDH2_53440.13, SRDH2_53440.6, SRDH2_53440.7, SRDH2_53440.15, SRDH2_53440.10, SRDH2_53440.9, SRDH2_53440.14, SRDH2_53440.16, SRDH2_53440.5, SRDH2_53440.8, SRDH2_53440.3, SRDH2_53440.11, SRDH2_53440.12, SRDH2_53440.2, SRDH2_53440.4
OG0000062	KAK4475970.1	SRDH2_6280.19, SRDH2_6280.20, SRDH2_6280.5, SRDH2_6280.11, SRDH2_6280.17, SRDH2_6280.3, SRDH2_6280.10, SRDH2_6280.12, SRDH2_6280.15, SRDH2_6280.16, SRDH2_6280.18, SRDH2_6280.9, SRDH2_6280.2, SRDH2_6280.21, SRDH2_6280.25, SRDH2_6280.6, SRDH2_6280.8, SRDH2_6280.28, SRDH2_6280.1, SRDH2_6280.13, SRDH2_6280.22, SRDH2_6280.24, SRDH2_6280.26, SRDH2_6280.4, SRDH2_6280.7, SRDH2_6280.14, SRDH2_6280.23, SRDH2_6280.27
