# BUSCO version is: 6.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
5951at33208	Complete	T265_14392	4044.7	1957	https://v10-1.orthodb.org/?query=5951at33208	pre-mRNA-processing-splicing factor 8
9639at33208	Complete	T265_08964	1076.1	885	https://v10-1.orthodb.org/?query=9639at33208	DnaJ domain
13816at33208	Complete	T265_02799	1186.0	1386	https://v10-1.orthodb.org/?query=13816at33208	E3 ubiquitin ligase EDD, ubiquitin-associated domain
14776at33208	Missing
16244at33208	Complete	T265_04212	2125.1	1619	https://v10-1.orthodb.org/?query=16244at33208	DNA-directed DNA polymerase, family B, exonuclease domain
40200at33208	Complete	T265_02287	410.5	460	https://v10-1.orthodb.org/?query=40200at33208	DNA polymerase, Y-family, little finger domain
45934at33208	Missing
49474at33208	Complete	T265_12974	1129.3	1153	https://v10-1.orthodb.org/?query=49474at33208	Sec7 domain
50756at33208	Complete	T265_05525	875.2	810	https://v10-1.orthodb.org/?query=50756at33208	DNA polymerase
56573at33208	Complete	T265_06170	1066.4	919	https://v10-1.orthodb.org/?query=56573at33208	Importin repeat 4
57158at33208	Complete	T265_11823	1794.2	1037	https://v10-1.orthodb.org/?query=57158at33208	splicing factor 3B subunit 3
63697at33208	Complete	T265_11882	1900.5	924	https://v10-1.orthodb.org/?query=63697at33208	Splicing factor 3B subunit 1
64435at33208	Fragmented	T265_02717	60.1	145	https://v10-1.orthodb.org/?query=64435at33208	HEAT repeat-containing protein 6
65302at33208	Complete	T265_01934	812.9	923	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	T265_05901	1223.0	860	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	T265_03894	459.0	494	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Complete	T265_08277	597.0	738	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Missing
88053at33208	Complete	T265_04434	231.8	401	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	T265_05567	407.6	692	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Complete	T265_12826	1035.5	858	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	T265_12615	271.3	509	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Complete	T265_05545	1258.7	781	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	T265_00332	125.8	418	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Missing
109109at33208	Complete	T265_00261	970.7	579	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Complete	T265_13899	635.0	609	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	T265_11962	266.1	247	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Fragmented	T265_14212	260.3	154	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Complete	T265_00610	753.9	497	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119591at33208	Complete	T265_12539	1054.2	965	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Missing
123923at33208	Complete	T265_13509	215.1	427	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Complete	T265_05341	699.5	724	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Complete	T265_01535	394.8	439	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Complete	T265_06603	628.1	512	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Complete	T265_10968	340.1	396	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130256at33208	Complete	T265_11572	321.6	456	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
