Orthogroup	fasciola_hepatica	trichobilharzia_regenti
OG0000000	FhHiC23_g7450.t1	TREG1_23840.1, TREG1_9090.1
OG0000000	FhHiC23_g5500.t1	TREG1_33440.1, TREG1_3850.1, TREG1_12930.1, TREG1_107930.1, TREG1_1600.1, TREG1_32100.1, TREG1_36580.1, TREG1_132370.1, TREG1_31660.1, TREG1_109700.1, TREG1_124980.1, TREG1_127980.1, TREG1_112710.1, TREG1_50420.1, TREG1_10500.1, TREG1_16100.1, TREG1_41620.1, TREG1_9500.1, TREG1_102660.1, TREG1_124350.1, TREG1_99520.1, TREG1_32950.1, TREG1_112970.1, TREG1_28080.1, TREG1_107600.1, TREG1_10940.1, TREG1_9740.1, TREG1_3720.1, TREG1_60300.1, TREG1_110450.1, TREG1_70540.1, TREG1_17210.1, TREG1_510.1, TREG1_128570.1, TREG1_48170.1, TREG1_138120.1, TREG1_9360.1, TREG1_134960.1, TREG1_32830.1, TREG1_3640.1, TREG1_87350.1, TREG1_61000.1
OG0000000	FhHiC23_g10642.t1	TREG1_120810.1, TREG1_101180.1
OG0000000	FhHiC23_g11020.t1	TREG1_99990.1
OG0000000	FhHiC23_g2079.t1	TREG1_91780.1
OG0000002	FhHiC23_g2549.t1, FhHiC23_g14734.t1, FhHiC23_g6841.t1, FhHiC23_g4327.t1, FhHiC23_g10594.t1, FhHiC23_g6724.t1, FhHiC23_g6726.t1	TREG1_89890.1, TREG1_107140.1, TREG1_107150.1, TREG1_117320.1, TREG1_117320.2, TREG1_117330.1, TREG1_47440.1, TREG1_107140.2, TREG1_117320.3, TREG1_117320.4
OG0000002	FhHiC23_g10032.t1	TREG1_121520.1
OG0000002	FhHiC23_g6421.t1	TREG1_44080.1, TREG1_49960.1
OG0000005	FhHiC23_g6814.t1	TREG1_46110.1, TREG1_14370.1, TREG1_14340.1, TREG1_14360.1, TREG1_99680.1, TREG1_64910.1, TREG1_122490.1, TREG1_122760.1, TREG1_108730.1, TREG1_108720.1, TREG1_95280.1, TREG1_131120.1, TREG1_106070.1, TREG1_106070.2, TREG1_106070.3, TREG1_116260.1, TREG1_76570.1, TREG1_28720.1, TREG1_18310.1, TREG1_73670.1, TREG1_74020.1, TREG1_99440.1, TREG1_141810.1
OG0000005	FhHiC23_g12845.t1, FhHiC23_g5469.t1	TREG1_41640.1, TREG1_137310.1, TREG1_37080.1, TREG1_41740.1, TREG1_102910.1, TREG1_123460.1, TREG1_12660.1, TREG1_26110.1, TREG1_29220.1, TREG1_3350.1, TREG1_6890.1, TREG1_6890.2, TREG1_6890.3, TREG1_42110.1, TREG1_86800.1, TREG1_96080.1, TREG1_126020.1, TREG1_13850.1, TREG1_5810.1, TREG1_38670.1, TREG1_73660.1, TREG1_25020.1, TREG1_99410.1, TREG1_90040.1, TREG1_40850.1, TREG1_28810.1, TREG1_118090.1, TREG1_98260.1, TREG1_140200.1, TREG1_2710.1, TREG1_87850.1, TREG1_65460.1, TREG1_18360.1, TREG1_78590.1
OG0000005	FhHiC23_g11401.t1, FhHiC23_g14193.t1, FhHiC23_g4566.t1	TREG1_47720.1
OG0000005	FhHiC23_g7154.t1, FhHiC23_g9200.t1, FhHiC23_g1264.t1, FhHiC23_g5160.t1	TREG1_14570.1, TREG1_51590.1, TREG1_115870.1, TREG1_124520.1, TREG1_79660.1, TREG1_115350.1, TREG1_139940.1, TREG1_140860.1, TREG1_94170.1, TREG1_31910.1, TREG1_80650.1, TREG1_107390.1, TREG1_113080.1, TREG1_34820.1, TREG1_69510.1, TREG1_139060.1
OG0000006	FhHiC23_g7146.t1	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1
OG0000006	FhHiC23_g2201.t1	TREG1_87190.1, TREG1_132660.1, TREG1_1940.1
OG0000008	FhHiC23_g10238.t1	TREG1_130760.1
