Orthogroup	schistosoma_spindale	fasciola_hepatica
OG0000000	SSPN1_7780.1	FhHiC23_g12874.t1
OG0000002	SSPN1_13380.1, SSPN1_13380.2, SSPN1_13380.3, SSPN1_13390.1, SSPN1_10860.1, SSPN1_10860.2, SSPN1_5110.1, SSPN1_5110.2, SSPN1_5110.3, SSPN1_10850.1, SSPN1_12160.1	FhHiC23_g8487.t1, FhHiC23_g251.t1
OG0000002	SSPN1_65720.1, SSPN1_61980.1	FhHiC23_g10032.t1
OG0000004	SSPN1_54000.1	FhHiC23_g16605.t1
OG0000005	SSPN1_47380.1	FhHiC23_g11333.t1
OG0000005	SSPN1_71310.1, SSPN1_17050.1, SSPN1_13610.1, SSPN1_93030.1, SSPN1_56500.1, SSPN1_7590.1, SSPN1_68170.1, SSPN1_4920.1, SSPN1_67580.1, SSPN1_16380.1, SSPN1_19400.1, SSPN1_58520.1, SSPN1_22720.1, SSPN1_65180.1, SSPN1_65170.1, SSPN1_52180.1, SSPN1_18700.1, SSPN1_12300.1, SSPN1_61490.1, SSPN1_33990.1, SSPN1_50600.1, SSPN1_6350.1, SSPN1_80390.1, SSPN1_19200.1, SSPN1_77840.1, SSPN1_32930.1, SSPN1_11080.1, SSPN1_21990.1, SSPN1_30460.1, SSPN1_12590.1, SSPN1_62690.1, SSPN1_62700.1, SSPN1_81500.1, SSPN1_6170.1, SSPN1_6170.2, SSPN1_30040.1, SSPN1_21930.1, SSPN1_86330.1, SSPN1_61000.1, SSPN1_76190.1, SSPN1_49200.1, SSPN1_86550.1	FhHiC23_g16305.t1, FhHiC23_g9120.t1, FhHiC23_g4721.t1, FhHiC23_g4722.t1, FhHiC23_g12761.t1, FhHiC23_g8406.t1, FhHiC23_g13492.t1, FhHiC23_g13673.t1
OG0000006	SSPN1_21890.1, SSPN1_9770.1	FhHiC23_g7146.t1
OG0000006	SSPN1_25500.1, SSPN1_88340.1, SSPN1_43780.1, SSPN1_19950.1, SSPN1_68800.1, SSPN1_29180.1	FhHiC23_g1683.t1
OG0000006	SSPN1_3430.1	FhHiC23_g7517.t1
OG0000006	SSPN1_24840.1, SSPN1_25510.1, SSPN1_32190.1, SSPN1_6740.1, SSPN1_33110.1, SSPN1_77650.1, SSPN1_29120.1	FhHiC23_g2201.t1
OG0000009	SSPN1_18600.1, SSPN1_5930.1, SSPN1_8390.1, SSPN1_65410.1	FhHiC23_g11732.t1
OG0000009	SSPN1_90120.1, SSPN1_19830.1, SSPN1_81880.1, SSPN1_81030.1	FhHiC23_g10610.t1, FhHiC23_g8870.t1, FhHiC23_g8854.t1, FhHiC23_g8858.t1
OG0000009	SSPN1_85940.1	FhHiC23_g5989.t1, FhHiC23_g4650.t1, FhHiC23_g4653.t1, FhHiC23_g4654.t1, FhHiC23_g4651.t1, FhHiC23_g4652.t1
OG0000012	SSPN1_39340.1	FhHiC23_g5741.t4, FhHiC23_g5741.t5, FhHiC23_g5741.t1, FhHiC23_g5741.t2, FhHiC23_g5741.t3, FhHiC23_g5741.t6
OG0000014	SSPN1_32740.1	FhHiC23_g14469.t1
OG0000015	SSPN1_32720.1	FhHiC23_g14476.t1
OG0000015	SSPN1_58880.1, SSPN1_58870.1	FhHiC23_g13988.t1, FhHiC23_g13993.t1
OG0000015	SSPN1_32590.1	FhHiC23_g13997.t1, FhHiC23_g13996.t1, FhHiC23_g13999.t1
OG0000015	SSPN1_32580.1	FhHiC23_g16654.t1, FhHiC23_g14001.t1
OG0000015	SSPN1_42240.1	FhHiC23_g14206.t1
OG0000015	SSPN1_41450.1	FhHiC23_g14471.t1
OG0000016	SSPN1_30120.1	FhHiC23_g8492.t1, FhHiC23_g7639.t1
OG0000016	SSPN1_43120.1, SSPN1_5650.1, SSPN1_58720.1, SSPN1_49770.1, SSPN1_93180.11, SSPN1_93180.12, SSPN1_93180.13, SSPN1_93180.14, SSPN1_93180.15, SSPN1_93180.16, SSPN1_93180.17, SSPN1_93180.4, SSPN1_93180.7, SSPN1_93180.9, SSPN1_93180.1, SSPN1_93180.10, SSPN1_93180.2, SSPN1_93180.3, SSPN1_93180.5, SSPN1_93180.6, SSPN1_93180.8	FhHiC23_g8033.t1
OG0000019	SSPN1_34270.10, SSPN1_34270.6, SSPN1_34270.7, SSPN1_34270.9, SSPN1_34270.11, SSPN1_34270.12, SSPN1_34270.5, SSPN1_34270.8, SSPN1_34270.15, SSPN1_34270.17, SSPN1_34270.13, SSPN1_34270.16, SSPN1_34270.2, SSPN1_34270.1, SSPN1_34270.4, SSPN1_34270.3	FhHiC23_g5935.t1, FhHiC23_g5936.t1
OG0000021	SSPN1_8230.1	FhHiC23_g13529.t1, FhHiC23_g12834.t1
OG0000021	SSPN1_5710.1	FhHiC23_g13665.t3, FhHiC23_g13665.t1, FhHiC23_g13665.t2
OG0000022	SSPN1_26140.11, SSPN1_26140.10, SSPN1_26140.8, SSPN1_26140.12, SSPN1_26140.7, SSPN1_26140.3, SSPN1_26140.4, SSPN1_26140.5, SSPN1_26140.1, SSPN1_26140.6, SSPN1_26140.9, SSPN1_26140.2	FhHiC23_g10034.t1, FhHiC23_g10034.t2
OG0000023	SSPN1_44790.1	FhHiC23_g2807.t1, FhHiC23_g14990.t1
OG0000023	SSPN1_8610.1	FhHiC23_g1952.t1
OG0000024	SSPN1_22780.1	FhHiC23_g8663.t1
OG0000024	SSPN1_88100.1	FhHiC23_g1523.t1
OG0000024	SSPN1_65160.1	FhHiC23_g6966.t1, FhHiC23_g7511.t1, FhHiC23_g7512.t1
OG0000026	SSPN1_76710.1, SSPN1_76710.2	FhHiC23_g1282.t1
OG0000026	SSPN1_69370.1, SSPN1_69390.1, SSPN1_69390.2, SSPN1_69320.4, SSPN1_69320.1, SSPN1_69320.2, SSPN1_69320.3	FhHiC23_g2137.t1, FhHiC23_g2140.t1, FhHiC23_g2142.t1, FhHiC23_g2712.t1, FhHiC23_g2712.t2, FhHiC23_g2721.t1, FhHiC23_g10609.t1, FhHiC23_g2716.t1
OG0000027	SSPN1_30990.27, SSPN1_30990.19, SSPN1_30990.7, SSPN1_30990.38, SSPN1_30990.12, SSPN1_30990.34, SSPN1_30990.25, SSPN1_30990.23, SSPN1_30990.36, SSPN1_30990.9, SSPN1_30990.3, SSPN1_30990.26, SSPN1_30990.18, SSPN1_30990.21, SSPN1_30990.2, SSPN1_30990.1, SSPN1_30990.10, SSPN1_30990.13, SSPN1_30990.16, SSPN1_30990.8, SSPN1_30990.33, SSPN1_30990.32, SSPN1_30990.17, SSPN1_30990.5, SSPN1_30990.22, SSPN1_30990.31, SSPN1_30990.4, SSPN1_30990.30, SSPN1_30990.35, SSPN1_30990.24, SSPN1_30990.28, SSPN1_30990.29, SSPN1_30990.14, SSPN1_30990.11, SSPN1_30990.6, SSPN1_30990.37, SSPN1_30990.15, SSPN1_30990.20, SSPN1_30990.39	FhHiC23_g5213.t1
OG0000028	SSPN1_67820.4, SSPN1_67820.1, SSPN1_67820.5, SSPN1_67820.6, SSPN1_67820.2, SSPN1_67820.3	FhHiC23_g3335.t5, FhHiC23_g3335.t1, FhHiC23_g3335.t2, FhHiC23_g3335.t4, FhHiC23_g3335.t6, FhHiC23_g3335.t3, FhHiC23_g3336.t1
OG0000029	SSPN1_55690.1	FhHiC23_g7784.t2, FhHiC23_g7784.t1
OG0000029	SSPN1_84220.1	FhHiC23_g15904.t1, FhHiC23_g15905.t1, FhHiC23_g15903.t1
OG0000029	SSPN1_85060.1, SSPN1_85050.1	FhHiC23_g16496.t1
OG0000030	SSPN1_6670.88, SSPN1_6670.89, SSPN1_6670.18, SSPN1_6670.23, SSPN1_6670.24, SSPN1_6670.26, SSPN1_6670.28, SSPN1_6670.29, SSPN1_6670.35, SSPN1_6670.38, SSPN1_6670.40, SSPN1_6670.42, SSPN1_6670.8, SSPN1_6670.82, SSPN1_6670.83, SSPN1_6670.9, SSPN1_6670.32, SSPN1_6670.7, SSPN1_6670.33, SSPN1_6670.34, SSPN1_6670.54, SSPN1_6670.55, SSPN1_6670.56, SSPN1_6670.78, SSPN1_6670.86, SSPN1_6670.87, SSPN1_6670.45, SSPN1_6670.47, SSPN1_6670.17, SSPN1_6670.21, SSPN1_6670.39, SSPN1_6670.44, SSPN1_6670.52, SSPN1_6670.58, SSPN1_6670.71, SSPN1_6670.75, SSPN1_6670.14, SSPN1_6670.16, SSPN1_6670.27, SSPN1_6670.31, SSPN1_6670.53, SSPN1_6670.59, SSPN1_6670.64, SSPN1_6670.74, SSPN1_6670.19, SSPN1_6670.20, SSPN1_6670.22, SSPN1_6670.25, SSPN1_6670.46, SSPN1_6670.50, SSPN1_6670.61, SSPN1_6670.62, SSPN1_6670.11, SSPN1_6670.13, SSPN1_6670.41, SSPN1_6670.60, SSPN1_6670.67, SSPN1_6670.68, SSPN1_6670.84, SSPN1_6670.85, SSPN1_6670.15, SSPN1_6670.30, SSPN1_6670.72, SSPN1_6670.73, SSPN1_6670.4, SSPN1_6670.79, SSPN1_6670.80, SSPN1_6670.1, SSPN1_6670.51, SSPN1_6670.77	FhHiC23_g11202.t1
OG0000031	SSPN1_62050.1, SSPN1_9370.16, SSPN1_9370.5, SSPN1_9370.15, SSPN1_9370.4, SSPN1_9370.10, SSPN1_9370.11, SSPN1_9370.12, SSPN1_9370.13, SSPN1_9370.14, SSPN1_9370.2, SSPN1_9370.8, SSPN1_9370.9, SSPN1_9370.7, SSPN1_9370.1, SSPN1_9370.3, SSPN1_9370.6	FhHiC23_g15305.t1
OG0000032	SSPN1_21640.1, SSPN1_76750.3, SSPN1_76750.1, SSPN1_76750.2	FhHiC23_g13470.t2, FhHiC23_g13475.t1, FhHiC23_g13470.t1
OG0000034	SSPN1_88360.1, SSPN1_88350.1, SSPN1_88330.1, SSPN1_88330.2, SSPN1_55390.1, SSPN1_55390.2, SSPN1_55390.4, SSPN1_55390.3, SSPN1_55390.7, SSPN1_55390.6, SSPN1_55390.5, SSPN1_55380.1, SSPN1_55370.1, SSPN1_55320.1	FhHiC23_g13064.t1, FhHiC23_g13749.t1, FhHiC23_g13749.t2, FhHiC23_g13749.t3, FhHiC23_g13670.t1
OG0000035	SSPN1_15690.15, SSPN1_15690.14, SSPN1_15690.3, SSPN1_15690.4, SSPN1_15690.10, SSPN1_15690.5, SSPN1_15690.12, SSPN1_15690.11, SSPN1_15690.8, SSPN1_15690.9, SSPN1_15690.6, SSPN1_15690.13, SSPN1_15690.7, SSPN1_15690.1, SSPN1_15690.2	FhHiC23_g11487.t2, FhHiC23_g11487.t4, FhHiC23_g11487.t1, FhHiC23_g11487.t3
OG0000036	SSPN1_32030.1, SSPN1_42130.1	FhHiC23_g12971.t1, FhHiC23_g9258.t1
OG0000037	SSPN1_64350.1, SSPN1_64350.2, SSPN1_64350.3, SSPN1_64310.1, SSPN1_64340.2, SSPN1_64340.4, SSPN1_64340.3, SSPN1_64340.1	FhHiC23_g6871.t1
OG0000040	SSPN1_50390.1, SSPN1_50400.1	FhHiC23_g2039.t1
OG0000042	SSPN1_31120.1, SSPN1_31130.8, SSPN1_31130.1, SSPN1_31130.2, SSPN1_31130.3, SSPN1_31130.4, SSPN1_31130.5, SSPN1_31130.6, SSPN1_31130.7, SSPN1_31150.2, SSPN1_31160.2, SSPN1_31140.1, SSPN1_31150.1, SSPN1_31160.1	FhHiC23_g15459.t1
OG0000043	SSPN1_26650.11, SSPN1_26650.12, SSPN1_26650.13, SSPN1_26650.14, SSPN1_26650.1, SSPN1_26650.10, SSPN1_26650.15, SSPN1_26650.5, SSPN1_26650.9, SSPN1_26650.17, SSPN1_26650.2, SSPN1_26650.3, SSPN1_26650.4, SSPN1_26650.8, SSPN1_26650.16, SSPN1_26650.6, SSPN1_26650.7	FhHiC23_g4609.t1, FhHiC23_g4609.t2
OG0000044	SSPN1_82650.1, SSPN1_82650.2, SSPN1_82750.1, SSPN1_82730.1, SSPN1_82730.2, SSPN1_82720.3, SSPN1_82720.4, SSPN1_82720.1, SSPN1_82720.2	FhHiC23_g1755.t1
OG0000045	SSPN1_19960.1	FhHiC23_g13571.t1, FhHiC23_g8559.t1, FhHiC23_g8559.t2
OG0000046	SSPN1_250.1, SSPN1_14110.1, SSPN1_33750.1	FhHiC23_g2169.t1, FhHiC23_g3705.t1
