Orthogroup	schistosoma_japonicum	opisthorchis_viverrini
OG0000000	EWB00_007114	T265_05532, T265_09370, T265_05276
OG0000000	EWB00_003401	T265_15361
OG0000000	EWB00_010051	T265_02362
OG0000000	EWB00_001222	T265_10809, T265_07517, T265_02826, T265_06663, T265_00603, T265_14063, T265_00103, T265_02131, T265_14942, T265_07200, T265_06091, T265_11586, T265_12734, T265_05736, T265_00282, T265_03380, T265_14712, T265_06932, T265_01261, T265_10246, T265_09694, T265_05340, T265_12961, T265_14658, T265_04750, T265_06821, T265_10817, T265_08973, T265_13859, T265_11753, T265_03797, T265_02084, T265_12901, T265_01387, T265_00077, T265_01026, T265_02287, T265_13581, T265_11717, T265_13817, T265_02455, T265_05867, T265_05297, T265_00702, T265_06344, T265_00441, T265_06646, T265_04510, T265_04094, T265_07705, T265_07496, T265_04545, T265_11720, T265_15202, T265_08248, T265_04346, T265_06626, T265_14616, T265_08392
OG0000000	EWB00_000722	T265_00989, T265_03225, T265_13193, T265_04370, T265_02479
OG0000000	EWB00_002406	T265_08292
OG0000000	EWB00_011331, EWB00_010543	T265_11738, T265_01000, T265_04573, T265_03467
OG0000000	EWB00_000526, EWB00_010702, EWB00_007607, EWB00_004691, EWB00_005852, EWB00_010238, EWB00_005256, EWB00_011224, EWB00_005553, EWB00_001588, EWB00_003186, EWB00_002564, EWB00_010463, EWB00_003662, EWB00_002046, EWB00_003953, EWB00_008032, EWB00_009428, EWB00_011418	T265_05764
OG0000000	EWB00_005812, EWB00_006700, EWB00_011084, EWB00_007437	T265_08627
OG0000002	EWB00_001692, EWB00_001693, EWB00_008905, EWB00_008308, EWB00_000919	T265_07568
OG0000002	EWB00_009284, EWB00_008408, EWB00_009922, EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826	T265_11803
OG0000002	EWB00_000881	T265_05040, T265_05430
OG0000003	EWB00_011061, EWB00_005940.2, EWB00_005940.1, EWB00_005940.3, EWB00_006728, EWB00_006524, EWB00_006166, EWB00_010714, EWB00_004446, EWB00_005836, EWB00_000930, EWB00_004914, EWB00_007346	T265_11432
OG0000005	EWB00_002047, EWB00_000812, EWB00_002569, EWB00_000895	T265_11244
OG0000006	EWB00_009237, EWB00_009659, EWB00_005592	T265_09181
OG0000006	EWB00_008091	T265_05236, T265_11669, T265_00007, T265_10422
OG0000006	EWB00_008234	T265_08444
OG0000006	EWB00_004008	T265_06454
OG0000009	EWB00_002474.1, EWB00_002474.2	T265_07923
OG0000010	EWB00_006690	T265_00946, T265_06572, T265_07798, T265_13863, T265_04991, T265_12735, T265_13486, T265_03840, T265_05696, T265_01457, T265_03616, T265_05745, T265_15748, T265_03727
OG0000010	EWB00_003501	T265_13421
OG0000010	EWB00_007719	T265_03839, T265_08549
OG0000010	EWB00_004604	T265_00181
OG0000010	EWB00_000088	T265_03079
OG0000012	EWB00_002832	T265_16252, T265_09012
OG0000014	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2	T265_11882
OG0000015	EWB00_008878, EWB00_008877	T265_11957
OG0000015	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5	T265_01474, T265_01478, T265_01475, T265_15127
OG0000015	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3	T265_12809, T265_04378
OG0000019	EWB00_004344, EWB00_004346	T265_07377
OG0000021	EWB00_010539	T265_12492, T265_00235, T265_12495, T265_12493, T265_00234, T265_12494
OG0000021	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1, EWB00_010822, EWB00_002049, EWB00_002050.1, EWB00_002050.2	T265_00883
OG0000021	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1	T265_13972, T265_07708, T265_07709, T265_14167
OG0000022	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3	T265_03268
OG0000023	EWB00_001990	T265_01924, T265_02308, T265_15289, T265_15162, T265_05666, T265_08154, T265_01506, T265_12001
OG0000023	EWB00_008435	T265_09097
OG0000024	EWB00_007079	T265_04524, T265_12877
OG0000024	EWB00_009218.2, EWB00_009218.1, EWB00_009219	T265_08845
OG0000024	EWB00_008906	T265_10896, T265_12043, T265_03132
OG0000026	EWB00_002251.1, EWB00_002251.2	T265_07485
OG0000026	EWB00_002721, EWB00_002746	T265_12778, T265_12779, T265_13344, T265_13367
OG0000027	EWB00_003944	T265_14036
OG0000028	EWB00_008139.6, EWB00_008139.7, EWB00_008139.5, EWB00_008139.9, EWB00_008139.8, EWB00_008139.2, EWB00_008139.3, EWB00_008139.1, EWB00_008139.4	T265_03596, T265_13290
OG0000029	EWB00_008857	T265_08214
OG0000029	EWB00_007517	T265_00572, T265_00570, T265_00571
OG0000029	EWB00_002502.3	T265_11026
OG0000029	EWB00_004876, EWB00_004878	T265_09500, T265_09499, T265_09501, T265_16249
OG0000030	EWB00_003826	T265_14111
OG0000031	EWB00_005698.6, EWB00_005698.5, EWB00_005698.4, EWB00_005698.1, EWB00_005698.2, EWB00_005698.3	T265_06361
OG0000032	EWB00_010258, EWB00_009578	T265_03331
OG0000032	EWB00_003338	T265_07282
OG0000034	EWB00_008584, EWB00_008585, EWB00_003199.1, EWB00_003199.2, EWB00_003199.3, EWB00_003199.4, EWB00_003199.5, EWB00_003199.6	T265_04936, T265_16028, T265_13634, T265_15993, T265_15999, T265_12688, T265_09004, T265_09005
OG0000035	EWB00_002318	T265_00972
OG0000037	EWB00_006570.2, EWB00_006570.4, EWB00_006570.5, EWB00_006570.1, EWB00_006570.3, EWB00_006569	T265_00630
OG0000040	EWB00_003538.2, EWB00_003538.1, EWB00_003538.3, EWB00_003538.4	T265_01293
OG0000042	EWB00_009261.1, EWB00_009261.2, EWB00_009262, EWB00_004609, EWB00_004610, EWB00_009263	T265_12048, T265_11239, T265_15548, T265_15551
OG0000043	EWB00_003370, EWB00_010871	T265_02563
OG0000044	EWB00_011370.2, EWB00_011370.1, EWB00_011370.3, EWB00_011369.1, EWB00_011369.2	T265_05071, T265_05072, T265_08625, T265_11935
OG0000049	EWB00_001608.1, EWB00_001608.2	T265_01286
OG0000049	EWB00_008098	T265_15552
OG0000050	EWB00_005371.1, EWB00_005371.2	T265_02127, T265_02652
OG0000052	EWB00_003293	T265_08730, T265_12065
OG0000052	EWB00_007330	T265_04421
OG0000052	EWB00_003847	T265_02480
OG0000052	EWB00_009848	T265_06797
OG0000053	EWB00_005460.2, EWB00_005460.1	T265_11166
OG0000054	EWB00_005913.1, EWB00_005913.2, EWB00_002139, EWB00_009776, EWB00_001281, EWB00_011097, EWB00_011098, EWB00_005912.1, EWB00_005912.2, EWB00_001164, EWB00_000964, EWB00_002141, EWB00_001829, EWB00_001830, EWB00_010892, EWB00_003548	T265_02804
OG0000055	EWB00_010036, EWB00_008558, EWB00_010037.1, EWB00_010037.2	T265_07023
OG0000056	EWB00_000126.1, EWB00_000387.1, EWB00_000387.3, EWB00_005273, EWB00_008590, EWB00_010372, EWB00_008825	T265_13933
OG0000058	EWB00_001871	T265_07455
OG0000058	EWB00_003488.1, EWB00_003488.2	T265_13746
OG0000060	EWB00_010498.1, EWB00_010498.2	T265_13025
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	T265_02884
OG0000062	EWB00_008458	T265_10452
OG0000063	EWB00_006170	T265_09823
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	T265_15306
OG0000065	EWB00_000537, EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	T265_07972
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	T265_12520
OG0000068	EWB00_000572	T265_06616
OG0000068	EWB00_004327	T265_13582
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	T265_03815
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	T265_10197
OG0000071	EWB00_001786	T265_11263, T265_11264
OG0000072	EWB00_001684	T265_13598
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	T265_11926
OG0000074	EWB00_007721.4, EWB00_007721.2, EWB00_007721.3, EWB00_007721.5, EWB00_007721.1	T265_06662
OG0000074	EWB00_007512.1	T265_09755
OG0000074	EWB00_004196.3, EWB00_004196.7, EWB00_004196.1, EWB00_004196.2, EWB00_004196.5, EWB00_004196.8, EWB00_004196.4, EWB00_004196.6	T265_14825
OG0000074	EWB00_008993	T265_13709
OG0000075	EWB00_001749	T265_02596
OG0000076	EWB00_000338, EWB00_000339	T265_01838
OG0000076	EWB00_009041	T265_09657, T265_14927
OG0000077	EWB00_004677	T265_07170
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	T265_10237, T265_16023
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	T265_03623
OG0000079	EWB00_006494.1, EWB00_006494.2	T265_11700
OG0000080	EWB00_004899.1, EWB00_004899.2	T265_07150, T265_07149
OG0000081	EWB00_001700, EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	T265_01189, T265_06107, T265_02619, T265_12063
OG0000082	EWB00_009477	T265_13150
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	T265_03464, T265_13261, T265_16244
OG0000086	EWB00_004530	T265_13900
OG0000087	EWB00_010661	T265_01347, T265_12258
OG0000090	EWB00_005364	T265_02657, T265_14540
OG0000091	EWB00_010764.1, EWB00_010764.2	T265_04053
