Orthogroup	trichobilharzia_regenti	schistosoma_intercalatum
OG0000000	TREG1_95580.1, TREG1_73090.1, TREG1_86490.1, TREG1_76630.1, TREG1_93090.1, TREG1_6350.1	SINT1_75520.1
OG0000000	TREG1_132140.1, TREG1_25950.1, TREG1_25950.2	SINT1_40970.1
OG0000003	TREG1_38660.5, TREG1_95700.1, TREG1_26230.4, TREG1_76770.1, TREG1_51490.1	SINT1_17140.5, SINT1_17140.1, SINT1_17320.4, SINT1_17320.6, SINT1_17140.7, SINT1_17320.5, SINT1_35410.1, SINT1_35410.2, SINT1_35410.5, SINT1_35410.3, SINT1_35410.6, SINT1_35410.4, SINT1_35410.7, SINT1_35410.8, SINT1_17320.3, SINT1_17320.8, SINT1_17320.1, SINT1_17320.2, SINT1_17320.7, SINT1_17140.4, SINT1_17140.6, SINT1_17140.3, SINT1_890.1, SINT1_17140.2, SINT1_14050.1, SINT1_77110.1, SINT1_64680.5, SINT1_64680.2, SINT1_86810.1, SINT1_75910.6, SINT1_75910.5, SINT1_75910.4, SINT1_75910.1, SINT1_75910.2, SINT1_75910.3, SINT1_75910.8, SINT1_75910.7, SINT1_64680.3, SINT1_64680.4, SINT1_64680.1, SINT1_86810.3, SINT1_86810.2, SINT1_21700.1, SINT1_21700.2, SINT1_48210.2, SINT1_94580.1, SINT1_48210.1, SINT1_34760.1, SINT1_34760.2
OG0000004	TREG1_114890.1, TREG1_91510.1, TREG1_11430.1, TREG1_43860.1, TREG1_78510.1, TREG1_104710.1, TREG1_117230.1, TREG1_16900.1, TREG1_143740.1, TREG1_14680.1, TREG1_128340.1, TREG1_117920.1, TREG1_70450.1, TREG1_49610.1, TREG1_55440.1, TREG1_132510.1, TREG1_67310.1, TREG1_102020.1, TREG1_77160.1, TREG1_130700.1, TREG1_80360.1, TREG1_7560.1, TREG1_37500.1, TREG1_65020.1, TREG1_35720.1, TREG1_119210.1, TREG1_69100.1, TREG1_69390.1, TREG1_51440.1, TREG1_133520.1, TREG1_105490.1, TREG1_75160.1, TREG1_96730.1, TREG1_96730.2, TREG1_99620.1, TREG1_111900.1, TREG1_51930.1, TREG1_56360.1, TREG1_9160.1, TREG1_86090.1, TREG1_62070.1, TREG1_139030.1, TREG1_102840.1, TREG1_45670.1, TREG1_121760.1, TREG1_121760.2, TREG1_21670.1, TREG1_30820.1, TREG1_90760.1, TREG1_62440.1, TREG1_46400.1	SINT1_14940.1
OG0000006	TREG1_99670.1, TREG1_26140.1, TREG1_67820.1	SINT1_40400.1, SINT1_49650.1, SINT1_16380.1
OG0000006	TREG1_87190.1, TREG1_132660.1, TREG1_1940.1	SINT1_8460.1, SINT1_94400.1, SINT1_60220.1, SINT1_12740.1, SINT1_76250.1, SINT1_88950.1
OG0000009	TREG1_115300.1, TREG1_130750.1, TREG1_11070.1, TREG1_132410.1, TREG1_72990.1, TREG1_134260.1, TREG1_14480.1, TREG1_132360.1, TREG1_34760.1, TREG1_77760.1	SINT1_95730.1
OG0000009	TREG1_37970.1, TREG1_79180.1, TREG1_115630.1, TREG1_95220.1, TREG1_8090.1, TREG1_36810.1	SINT1_45500.1, SINT1_14510.1
OG0000009	TREG1_34410.1, TREG1_97720.1, TREG1_4790.1, TREG1_3250.1, TREG1_132080.1, TREG1_92940.1, TREG1_21490.1, TREG1_140340.1, TREG1_81780.1, TREG1_71370.1, TREG1_15380.1, TREG1_102720.1, TREG1_87620.1, TREG1_18280.1, TREG1_5270.1, TREG1_8140.1	SINT1_51070.1, SINT1_51490.1
OG0000009	TREG1_33760.1, TREG1_54960.1, TREG1_47990.1, TREG1_113240.1, TREG1_130110.1, TREG1_130110.2	SINT1_36860.1, SINT1_55890.1, SINT1_45810.1
OG0000014	TREG1_51300.5, TREG1_51300.4, TREG1_51300.6, TREG1_51300.9, TREG1_51300.10, TREG1_51300.3, TREG1_51300.7, TREG1_51300.2, TREG1_51300.8, TREG1_51300.1	SINT1_38280.2, SINT1_38280.22, SINT1_38280.11, SINT1_38280.8, SINT1_38280.4, SINT1_38280.5, SINT1_38280.15, SINT1_38280.17, SINT1_38280.18, SINT1_38280.20, SINT1_38280.16, SINT1_38280.12, SINT1_38280.13, SINT1_38280.19, SINT1_38280.21, SINT1_38280.6, SINT1_38280.9, SINT1_38280.1, SINT1_38280.10, SINT1_38280.14, SINT1_38280.3, SINT1_38280.7
OG0000015	TREG1_51330.1	SINT1_38300.1
OG0000015	TREG1_82560.1	SINT1_65310.1
OG0000015	TREG1_82570.1	SINT1_65320.1
OG0000015	TREG1_44970.1	SINT1_38460.1
OG0000015	TREG1_44960.1	SINT1_38470.1, SINT1_38470.2
OG0000015	TREG1_42910.1, TREG1_42890.1, TREG1_42920.1	SINT1_43670.1
OG0000015	TREG1_42390.2	SINT1_42760.1
OG0000015	TREG1_42390.1, TREG1_42390.3, TREG1_42400.1	SINT1_42780.1
OG0000016	TREG1_115830.1, TREG1_108350.1, TREG1_78110.1, TREG1_116620.1, TREG1_20810.1, TREG1_72440.1, TREG1_79580.1, TREG1_31150.1, TREG1_33860.1, TREG1_60110.1, TREG1_58580.1, TREG1_144660.1, TREG1_63500.1, TREG1_121090.1, TREG1_3450.1	SINT1_37800.1, SINT1_2430.1, SINT1_21420.1, SINT1_21520.1, SINT1_37810.1, SINT1_62650.1, SINT1_30130.1
OG0000016	TREG1_28750.1, TREG1_63330.1, TREG1_71580.1, TREG1_69020.1, TREG1_46690.1, TREG1_88640.1, TREG1_95450.1, TREG1_2320.1, TREG1_81700.1, TREG1_113640.1, TREG1_104920.1	SINT1_82330.1, SINT1_43570.1, SINT1_27720.1
OG0000016	TREG1_101520.1, TREG1_101900.1, TREG1_26730.1, TREG1_28240.1, TREG1_30730.1, TREG1_145030.1, TREG1_139640.1, TREG1_61260.1, TREG1_28980.1, TREG1_30630.1, TREG1_28880.1, TREG1_29390.1, TREG1_32190.1, TREG1_4150.1, TREG1_57670.1, TREG1_94420.1, TREG1_45800.1, TREG1_84010.1, TREG1_63050.1	SINT1_84340.1, SINT1_42870.1, SINT1_35360.1, SINT1_2320.1, SINT1_12670.1, SINT1_15320.1
OG0000019	TREG1_123250.1, TREG1_138870.2, TREG1_138870.4, TREG1_100370.1, TREG1_138880.1, TREG1_75290.4, TREG1_101290.3, TREG1_101320.4, TREG1_101310.2, TREG1_101310.6, TREG1_101310.8, TREG1_101320.3, TREG1_101320.6, TREG1_101320.7, TREG1_101290.2, TREG1_101320.5, TREG1_101310.5, TREG1_101310.7, TREG1_101310.9, TREG1_101310.10, TREG1_101290.1, TREG1_138860.1, TREG1_138860.4, TREG1_100370.2, TREG1_138870.1, TREG1_75290.2, TREG1_138870.3, TREG1_138870.5, TREG1_138870.6, TREG1_138860.5, TREG1_75290.1, TREG1_138860.2, TREG1_138860.6, TREG1_138860.3, TREG1_75290.3, TREG1_75280.1, TREG1_138860.7, TREG1_138860.8, TREG1_75290.5, TREG1_101030.1, TREG1_101310.3, TREG1_101310.4, TREG1_101310.1, TREG1_101320.1, TREG1_101290.4, TREG1_101290.5, TREG1_101320.2	SINT1_36670.9, SINT1_36670.10, SINT1_36670.2, SINT1_36670.7, SINT1_36670.1, SINT1_36670.3, SINT1_36670.4, SINT1_36670.6, SINT1_36670.8, SINT1_36670.5, SINT1_36670.11
OG0000021	TREG1_7080.1	SINT1_8390.1
OG0000021	TREG1_13160.1	SINT1_5840.1, SINT1_5850.1
OG0000021	TREG1_13170.1, TREG1_13180.1	SINT1_5860.1
OG0000021	TREG1_13130.2, TREG1_13130.1, TREG1_13130.4, TREG1_13130.3, TREG1_13130.5	SINT1_5810.2, SINT1_5810.1
OG0000021	TREG1_13140.1, TREG1_13140.2, TREG1_13140.3	SINT1_5820.1
OG0000021	TREG1_13150.1	SINT1_5830.1
OG0000021	TREG1_13110.3, TREG1_13110.1, TREG1_13110.2, TREG1_13120.1, TREG1_13120.2	SINT1_5790.2, SINT1_5790.1
OG0000022	TREG1_58780.1	SINT1_27290.12, SINT1_27290.9, SINT1_27290.26, SINT1_27290.27, SINT1_27290.28, SINT1_27290.29, SINT1_27290.10, SINT1_27290.15, SINT1_27290.32, SINT1_27290.18, SINT1_27290.19, SINT1_27290.31, SINT1_27290.16, SINT1_27290.17, SINT1_27290.13, SINT1_27290.14, SINT1_27290.24, SINT1_27290.25, SINT1_27290.22, SINT1_27290.23, SINT1_27290.20, SINT1_27290.21, SINT1_27290.11, SINT1_27290.5, SINT1_27290.6, SINT1_27290.7, SINT1_27290.8, SINT1_27290.1, SINT1_27290.2, SINT1_27290.3, SINT1_27290.4, SINT1_27290.30
OG0000023	TREG1_91880.1, TREG1_104560.1, TREG1_52620.1, TREG1_133560.1, TREG1_85430.1, TREG1_1350.1, TREG1_114180.1, TREG1_18230.1, TREG1_49740.1, TREG1_133750.1, TREG1_133740.1, TREG1_10290.1, TREG1_36870.1, TREG1_34220.1, TREG1_78940.1, TREG1_132470.1, TREG1_108130.1, TREG1_108140.1, TREG1_62840.1, TREG1_135730.1, TREG1_100110.1, TREG1_95590.1, TREG1_116960.1, TREG1_23120.1, TREG1_100630.1, TREG1_118240.1, TREG1_117290.1, TREG1_127850.1, TREG1_109980.1, TREG1_93840.1, TREG1_17390.1, TREG1_76450.4, TREG1_71000.1, TREG1_122740.1, TREG1_122740.2, TREG1_99150.1, TREG1_8440.1, TREG1_110680.1	SINT1_24820.1, SINT1_69890.1, SINT1_27970.1, SINT1_18470.1, SINT1_22950.1, SINT1_24600.1, SINT1_50610.1
OG0000024	TREG1_48810.1	SINT1_23830.1
OG0000024	TREG1_101000.1	SINT1_79070.1, SINT1_79070.2
OG0000024	TREG1_101010.1	SINT1_79060.1
OG0000026	TREG1_108810.1	SINT1_78530.1, SINT1_78530.2
OG0000026	TREG1_100830.1, TREG1_100840.1	SINT1_71330.5, SINT1_71330.4, SINT1_71330.3, SINT1_71330.1, SINT1_71330.2, SINT1_71280.15, SINT1_71280.7, SINT1_71280.9, SINT1_71280.5, SINT1_71280.25, SINT1_71280.10, SINT1_71280.2, SINT1_71280.16, SINT1_71280.13, SINT1_71280.3, SINT1_71280.4, SINT1_71280.18, SINT1_71280.12, SINT1_71280.20, SINT1_71280.11, SINT1_71280.17, SINT1_71280.19, SINT1_71280.21, SINT1_71280.23, SINT1_71280.24, SINT1_71280.22, SINT1_71280.6, SINT1_71280.14, SINT1_71280.8, SINT1_71280.1
OG0000027	TREG1_41010.1	SINT1_40020.1
OG0000028	TREG1_99740.10, TREG1_99740.4, TREG1_99740.7, TREG1_99740.3, TREG1_99750.1, TREG1_99740.11, TREG1_99740.5, TREG1_99740.8, TREG1_99740.6, TREG1_99740.9, TREG1_99740.1, TREG1_99740.2	SINT1_69780.6, SINT1_69780.9, SINT1_69780.13, SINT1_69780.8, SINT1_69780.5, SINT1_69780.4, SINT1_69780.3, SINT1_69780.11, SINT1_69780.2, SINT1_69780.1, SINT1_69780.10, SINT1_69780.12, SINT1_69780.7, SINT1_69780.14
OG0000029	TREG1_77780.2, TREG1_77780.1	SINT1_57320.1
OG0000029	TREG1_125210.1	SINT1_85860.1
OG0000030	TREG1_8610.3, TREG1_8610.2, TREG1_8610.1, TREG1_8600.1	SINT1_6720.30, SINT1_6720.15, SINT1_6720.20, SINT1_6720.27, SINT1_6720.26, SINT1_6720.31, SINT1_6720.18, SINT1_6720.32, SINT1_6720.17, SINT1_6720.21, SINT1_6720.22, SINT1_6720.24, SINT1_6720.33, SINT1_6720.35, SINT1_6720.34, SINT1_6720.2, SINT1_6720.11, SINT1_6720.4, SINT1_6720.5, SINT1_6720.1, SINT1_6720.12, SINT1_6720.13, SINT1_6720.16, SINT1_6720.3, SINT1_6720.6, SINT1_6720.7, SINT1_6720.23, SINT1_6720.25, SINT1_6720.19, SINT1_6720.38, SINT1_6720.37, SINT1_6720.39, SINT1_6720.28, SINT1_6720.40
OG0000031	TREG1_24340.19, TREG1_24340.14, TREG1_24340.15, TREG1_24340.24, TREG1_24340.8, TREG1_24340.16, TREG1_24340.6, TREG1_24340.25, TREG1_24340.18, TREG1_24340.2, TREG1_24340.23, TREG1_24340.4, TREG1_24340.7, TREG1_24340.1, TREG1_24340.22, TREG1_24340.17, TREG1_24340.20, TREG1_24340.3, TREG1_24340.5, TREG1_24340.21, TREG1_24340.13, TREG1_24340.11, TREG1_24340.10, TREG1_24340.12, TREG1_24340.26, TREG1_24340.27, TREG1_24340.29, TREG1_24340.28, TREG1_24340.9	SINT1_21430.1, SINT1_21430.13, SINT1_21430.14, SINT1_21430.11, SINT1_21430.4, SINT1_21430.10, SINT1_21430.15, SINT1_21430.2, SINT1_21430.5, SINT1_21430.8, SINT1_21430.9, SINT1_21430.12, SINT1_21430.6, SINT1_21430.7, SINT1_21430.3
OG0000032	TREG1_5090.4, TREG1_5070.1, TREG1_5090.2, TREG1_5080.1, TREG1_5090.1, TREG1_5090.3	SINT1_10460.1
OG0000032	TREG1_77570.1, TREG1_77590.1, TREG1_77600.1, TREG1_77610.1	SINT1_57170.1
OG0000032	TREG1_77560.1	SINT1_9690.1
OG0000033	TREG1_21870.1, TREG1_24050.1, TREG1_28200.1, TREG1_139970.1, TREG1_145000.2, TREG1_145010.1, TREG1_139970.3, TREG1_139970.2, TREG1_15170.1, TREG1_64550.1, TREG1_105080.1, TREG1_145000.1, TREG1_26660.2, TREG1_130180.1, TREG1_145010.2, TREG1_6850.1, TREG1_133870.1, TREG1_16270.1, TREG1_30450.1, TREG1_134810.1	SINT1_2960.1, SINT1_12580.1, SINT1_27460.1, SINT1_28240.1, SINT1_17560.1, SINT1_40580.1, SINT1_15570.1
OG0000034	TREG1_128470.1	SINT1_90240.1, SINT1_90240.2
OG0000034	TREG1_103670.1, TREG1_103680.1, TREG1_103680.2	SINT1_90230.1, SINT1_90220.1, SINT1_57200.1, SINT1_57110.1, SINT1_57210.1, SINT1_57250.1, SINT1_57100.1, SINT1_57220.1
OG0000035	TREG1_21190.1, TREG1_21180.1	SINT1_14990.1
