Orthogroup	schmidtea_mediterranea	schistosoma_haematobium
OG0000000	h1SMcT0000914.1	SHAE2_67200.1, SHAE2_10600.1, SHAE2_11460.1, SHAE2_74450.1, SHAE2_63900.1, SHAE2_52900.1, SHAE2_68120.1, SHAE2_12020.1, SHAE2_18070.1, SHAE2_24870.1, SHAE2_92780.1, SHAE2_42010.1, SHAE2_1010.1, SHAE2_69240.1, SHAE2_75110.1, SHAE2_29520.1, SHAE2_31870.1, SHAE2_77190.1, SHAE2_77190.2, SHAE2_81470.1, SHAE2_22980.1, SHAE2_22980.2, SHAE2_22980.3, SHAE2_22980.4, SHAE2_100780.1, SHAE2_69900.1, SHAE2_79350.1, SHAE2_44510.1, SHAE2_59870.1, SHAE2_36390.1, SHAE2_51630.1, SHAE2_79560.1, SHAE2_62810.1, SHAE2_54860.1, SHAE2_68440.1, SHAE2_11400.1, SHAE2_51070.1, SHAE2_29830.1, SHAE2_30190.1, SHAE2_19080.1, SHAE2_25780.1, SHAE2_33880.1, SHAE2_49000.1, SHAE2_67380.1, SHAE2_67390.1, SHAE2_53240.1, SHAE2_33930.1, SHAE2_90210.1, SHAE2_77100.1, SHAE2_43990.1, SHAE2_76270.1
OG0000002	h1SMcT0001934.1	SHAE2_84340.1, SHAE2_84340.2, SHAE2_24820.1, SHAE2_24820.2, SHAE2_24820.3, SHAE2_24820.4, SHAE2_2970.1, SHAE2_2970.2, SHAE2_2980.1, SHAE2_71200.1, SHAE2_80540.1, SHAE2_31720.1, SHAE2_31730.1, SHAE2_19170.1, SHAE2_290.1, SHAE2_290.2, SHAE2_290.3, SHAE2_300.1, SHAE2_50190.1, SHAE2_50190.2, SHAE2_50190.3, SHAE2_85220.1, SHAE2_85220.2, SHAE2_85220.3, SHAE2_85220.4, SHAE2_87030.1, SHAE2_87020.1, SHAE2_87000.1, SHAE2_87010.1, SHAE2_87010.2, SHAE2_87010.3, SHAE2_87010.4, SHAE2_87010.5, SHAE2_23170.1, SHAE2_23170.2, SHAE2_23170.3, SHAE2_23170.4, SHAE2_77780.2, SHAE2_77780.3, SHAE2_77780.1, SHAE2_56500.1, SHAE2_11440.1, SHAE2_11440.2, SHAE2_11440.3, SHAE2_64990.3, SHAE2_64990.2, SHAE2_64990.4, SHAE2_64990.6, SHAE2_64990.7, SHAE2_64990.8, SHAE2_64980.1, SHAE2_64990.1, SHAE2_64990.10, SHAE2_64990.5, SHAE2_64990.9, SHAE2_62130.1, SHAE2_62130.2, SHAE2_77790.1
OG0000009	h1SMcT0020629.46, h1SMcT0021509.1	SHAE2_24900.1, SHAE2_45200.1, SHAE2_50000.1, SHAE2_50000.2, SHAE2_81890.1, SHAE2_66930.1, SHAE2_31360.1, SHAE2_41140.1, SHAE2_74440.1, SHAE2_64150.1, SHAE2_23940.1, SHAE2_24640.1, SHAE2_16450.1, SHAE2_79100.1
OG0000010	h1SMcT0012568.1	SHAE2_61590.1, SHAE2_30810.1, SHAE2_59790.1, SHAE2_43370.1, SHAE2_43370.2, SHAE2_32150.4, SHAE2_32150.3, SHAE2_32150.1, SHAE2_32150.2, SHAE2_14840.2, SHAE2_14840.1, SHAE2_29320.1, SHAE2_69040.1, SHAE2_3120.1, SHAE2_3120.2, SHAE2_3120.3, SHAE2_30800.1, SHAE2_26010.1, SHAE2_26020.1, SHAE2_77120.1, SHAE2_69030.1, SHAE2_93000.1, SHAE2_93000.2, SHAE2_8360.1, SHAE2_38950.1, SHAE2_38940.1, SHAE2_38950.2, SHAE2_77650.1, SHAE2_15450.1
OG0000012	h1SMcT0015598.1, h1SMcT0020682.1, h1SMcT0020682.2	SHAE2_43510.24, SHAE2_43510.26, SHAE2_43510.25, SHAE2_43510.23, SHAE2_43510.22, SHAE2_43510.11, SHAE2_43510.9, SHAE2_43510.17, SHAE2_43510.18, SHAE2_43510.12, SHAE2_43510.14, SHAE2_43510.16, SHAE2_43510.5, SHAE2_43510.13, SHAE2_43510.15, SHAE2_43510.19, SHAE2_43510.4, SHAE2_43510.6, SHAE2_43510.20, SHAE2_43510.1, SHAE2_43510.21, SHAE2_43510.7, SHAE2_43510.2, SHAE2_43510.3, SHAE2_43510.10, SHAE2_43510.8, SHAE2_43510.27
OG0000014	h1SMcT0018859.1, h1SMcT0020270.1	SHAE2_41120.28, SHAE2_41120.4, SHAE2_41120.8, SHAE2_41120.9, SHAE2_41120.7, SHAE2_41120.25, SHAE2_41120.34, SHAE2_41120.19, SHAE2_41120.17, SHAE2_41120.12, SHAE2_41120.13, SHAE2_41120.30, SHAE2_41120.22, SHAE2_41120.32, SHAE2_41120.20, SHAE2_41120.29, SHAE2_41120.1, SHAE2_41120.11, SHAE2_41120.33, SHAE2_41120.35, SHAE2_41120.36, SHAE2_41120.5, SHAE2_41120.10, SHAE2_41120.18, SHAE2_41120.27, SHAE2_41120.26, SHAE2_41120.21, SHAE2_41120.14, SHAE2_41120.16, SHAE2_41120.2, SHAE2_41120.3, SHAE2_41120.24, SHAE2_41120.6, SHAE2_41120.15
OG0000015	h1SMcT0022961.1	SHAE2_41150.1, SHAE2_70060.1, SHAE2_70070.1, SHAE2_41370.1, SHAE2_41380.1, SHAE2_41400.2, SHAE2_41400.1, SHAE2_46430.1, SHAE2_46480.1, SHAE2_45590.1, SHAE2_45600.1, SHAE2_45610.1, SHAE2_45640.1, SHAE2_11980.1
OG0000019	h1SMcT0009829.1	SHAE2_39640.11, SHAE2_39640.1, SHAE2_39640.9, SHAE2_39640.10, SHAE2_39640.5, SHAE2_39640.2, SHAE2_39640.4, SHAE2_39640.6, SHAE2_39640.8, SHAE2_39640.7, SHAE2_39640.3, SHAE2_39640.12, SHAE2_39640.14, SHAE2_39640.17, SHAE2_39640.22, SHAE2_39640.20, SHAE2_39640.21, SHAE2_39640.16, SHAE2_39640.18, SHAE2_39640.13, SHAE2_39640.15, SHAE2_39640.19
OG0000021	h1SMcT0016994.1, h1SMcT0016995.1, h1SMcT0004955.2, h1SMcT0005452.1, h1SMcT0005452.2	SHAE2_10160.1, SHAE2_6340.2, SHAE2_6340.1, SHAE2_6350.1, SHAE2_6360.1, SHAE2_6310.2, SHAE2_6310.1, SHAE2_6320.1, SHAE2_6330.1, SHAE2_6330.2, SHAE2_6290.2, SHAE2_6290.1, SHAE2_6290.4, SHAE2_6290.3, SHAE2_6290.5
OG0000022	h1SMcT0005502.11, h1SMcT0005502.9, h1SMcT0005502.12, h1SMcT0005502.5, h1SMcT0005502.7, h1SMcT0005502.6, h1SMcT0005502.1, h1SMcT0005502.4, h1SMcT0005502.10, h1SMcT0005502.8, h1SMcT0005502.2, h1SMcT0005502.3	SHAE2_29490.12, SHAE2_29490.13, SHAE2_29490.19, SHAE2_29490.20, SHAE2_29490.22, SHAE2_29490.2, SHAE2_29490.23, SHAE2_29490.24, SHAE2_29490.11, SHAE2_29490.16, SHAE2_29490.15, SHAE2_29490.14, SHAE2_29490.1, SHAE2_29490.3, SHAE2_29490.4, SHAE2_29490.5, SHAE2_29490.10, SHAE2_29490.17, SHAE2_29490.21, SHAE2_29490.8, SHAE2_29490.9, SHAE2_29490.6, SHAE2_29490.7, SHAE2_29490.18, SHAE2_29490.27, SHAE2_29490.26, SHAE2_29490.25, SHAE2_29490.28, SHAE2_29490.29
OG0000024	h1SMcT0022444.1, h1SMcT0022444.2	SHAE2_26160.1
OG0000024	h1SMcT0013162.1, h1SMcT0009329.1, h1SMcT0009329.2, h1SMcT0009327.1, h1SMcT0009327.2	SHAE2_68430.1, SHAE2_68430.2, SHAE2_68430.3, SHAE2_68430.4, SHAE2_68430.5, SHAE2_68430.6
OG0000024	h1SMcT0004401.1	SHAE2_84940.1, SHAE2_84940.2
OG0000024	h1SMcT0004270.1, h1SMcT0004269.2	SHAE2_84950.1
OG0000026	h1SMcT0022032.1, h1SMcT0022032.3, h1SMcT0022032.4, h1SMcT0022032.5, h1SMcT0022032.2, h1SMcT0006737.1, h1SMcT0006736.1, h1SMcT0006735.1, h1SMcT0006735.2, h1SMcT0006735.3	SHAE2_84100.3, SHAE2_84100.1, SHAE2_84100.4, SHAE2_84100.2, SHAE2_76570.1, SHAE2_76570.2, SHAE2_76570.3, SHAE2_76510.1, SHAE2_76510.2
OG0000028	h1SMcT0013873.1, h1SMcT0011753.2, h1SMcT0011753.1, h1SMcT0011753.3	SHAE2_74920.6, SHAE2_74920.7, SHAE2_74920.1, SHAE2_74920.9, SHAE2_74920.3, SHAE2_74920.11, SHAE2_74920.4, SHAE2_74920.5, SHAE2_74920.2, SHAE2_74920.8, SHAE2_74920.10, SHAE2_74920.12, SHAE2_74920.13
OG0000029	h1SMcT0016488.1, h1SMcT0016488.2, h1SMcT0016488.3	SHAE2_61420.1
OG0000029	h1SMcT0013556.1, h1SMcT0013579.1, h1SMcT0013580.1, h1SMcT0013557.1, h1SMcT0013559.1, h1SMcT0004606.1, h1SMcT0004606.2, h1SMcT0004606.3, h1SMcT0004607.1	SHAE2_22850.2, SHAE2_22860.1, SHAE2_22850.1, SHAE2_22850.3
OG0000029	h1SMcT0004609.1	SHAE2_93560.1, SHAE2_93550.1
OG0000030	h1SMcT0022545.1	SHAE2_7260.1
OG0000031	h1SMcT0002175.5, h1SMcT0002175.6	SHAE2_21970.1
OG0000033	h1SMcT0014497.2, h1SMcT0014497.3	SHAE2_93320.1, SHAE2_42570.1, SHAE2_18350.1
OG0000034	h1SMcT0001822.1, h1SMcT0016832.1, h1SMcT0021275.1	SHAE2_97190.1, SHAE2_97180.1, SHAE2_97170.1, SHAE2_57280.1, SHAE2_61250.1, SHAE2_61170.5, SHAE2_61170.6, SHAE2_61260.1, SHAE2_61300.2, SHAE2_61300.1, SHAE2_61150.1, SHAE2_61160.1, SHAE2_61270.1
OG0000035	h1SMcT0007583.1, h1SMcT0007583.2, h1SMcT0003724.1, h1SMcT0003724.2	SHAE2_16750.10, SHAE2_16750.13, SHAE2_16750.16, SHAE2_16750.17, SHAE2_16750.22, SHAE2_16750.7, SHAE2_16750.2, SHAE2_16750.12, SHAE2_16750.11, SHAE2_16750.18, SHAE2_16750.20, SHAE2_16750.19, SHAE2_16750.27, SHAE2_16750.5, SHAE2_16750.14, SHAE2_16750.23, SHAE2_16750.21, SHAE2_16750.6, SHAE2_16750.15, SHAE2_16750.4, SHAE2_16750.1, SHAE2_16750.24, SHAE2_16750.26, SHAE2_16750.25, SHAE2_16750.9, SHAE2_16750.8, SHAE2_16750.3
OG0000037	h1SMcT0003293.1, h1SMcT0003293.2, h1SMcT0003293.3	SHAE2_63770.1, SHAE2_63780.1, SHAE2_63940.1, SHAE2_63940.5, SHAE2_63940.7, SHAE2_63940.8, SHAE2_63940.9, SHAE2_63940.6, SHAE2_63940.2, SHAE2_63940.4, SHAE2_63940.3, SHAE2_63960.1, SHAE2_63960.5, SHAE2_63960.2, SHAE2_63960.4, SHAE2_63960.3, SHAE2_63950.8, SHAE2_63950.6, SHAE2_63950.7, SHAE2_63950.3, SHAE2_63950.5, SHAE2_63950.4, SHAE2_63950.1, SHAE2_63950.2
OG0000040	h1SMcT0007809.2, h1SMcT0007809.1, h1SMcT0007809.3	SHAE2_55400.11, SHAE2_55400.12, SHAE2_55400.13, SHAE2_55400.18, SHAE2_55400.20, SHAE2_55400.14, SHAE2_55400.19, SHAE2_55400.22, SHAE2_55400.6, SHAE2_55400.7, SHAE2_55400.27, SHAE2_55400.5, SHAE2_55400.2, SHAE2_55400.24, SHAE2_55400.4, SHAE2_55400.1, SHAE2_55400.15, SHAE2_55400.21, SHAE2_55400.3, SHAE2_55400.8, SHAE2_55400.9, SHAE2_55400.10, SHAE2_55400.25, SHAE2_55400.16, SHAE2_55400.17, SHAE2_55400.23, SHAE2_55390.1, SHAE2_55400.26
OG0000042	h1SMcT0018287.1, h1SMcT0018287.2, h1SMcT0006610.1, h1SMcT0006610.3, h1SMcT0006610.2	SHAE2_42810.2, SHAE2_42810.1, SHAE2_42800.2, SHAE2_42800.3, SHAE2_42800.1, SHAE2_42750.1, SHAE2_42760.2, SHAE2_42780.1, SHAE2_42790.1, SHAE2_42780.2, SHAE2_42760.1, SHAE2_42770.1
OG0000044	h1SMcT0004410.1, h1SMcT0001413.1, h1SMcT0001416.1, h1SMcT0001417.1	SHAE2_91160.1, SHAE2_91160.2, SHAE2_91160.3, SHAE2_91160.4, SHAE2_91180.1, SHAE2_91180.2, SHAE2_91180.3, SHAE2_91220.1, SHAE2_91240.1, SHAE2_91240.2, SHAE2_91250.1, SHAE2_91250.2
OG0000047	h1SMcT0019900.1	SHAE2_100590.1, SHAE2_59000.1
OG0000049	h1SMcT0014164.1, h1SMcT0014164.2, h1SMcT0006353.2, h1SMcT0006353.1, h1SMcT0006353.3, h1SMcT0010517.1, h1SMcT0010517.2	SHAE2_74260.1, SHAE2_74260.5, SHAE2_74260.6, SHAE2_74260.4, SHAE2_74260.2, SHAE2_74260.3, SHAE2_74260.7
OG0000049	h1SMcT0019646.1, h1SMcT0019646.4, h1SMcT0019646.2, h1SMcT0019646.5, h1SMcT0003214.2, h1SMcT0003214.1, h1SMcT0003214.3, h1SMcT0019646.3, h1SMcT0017880.2, h1SMcT0017880.1, h1SMcT0017880.3	SHAE2_77960.1, SHAE2_77960.7, SHAE2_77960.4, SHAE2_77960.2, SHAE2_77960.3, SHAE2_77960.6
OG0000050	h1SMcT0005105.1, h1SMcT0008597.1, h1SMcT0008597.2, h1SMcT0008597.5, h1SMcT0008597.3, h1SMcT0008597.4	SHAE2_56890.11, SHAE2_56890.12, SHAE2_56890.4, SHAE2_56890.16, SHAE2_56890.13, SHAE2_56890.7, SHAE2_56890.5, SHAE2_56890.14, SHAE2_56890.2, SHAE2_56890.1, SHAE2_56890.6, SHAE2_56890.9, SHAE2_56890.10, SHAE2_56890.3, SHAE2_56890.8, SHAE2_56890.15, SHAE2_56910.5, SHAE2_56910.1, SHAE2_56910.2, SHAE2_56910.4, SHAE2_56910.3, SHAE2_56910.8, SHAE2_56910.10, SHAE2_56910.9, SHAE2_56910.7, SHAE2_56910.6
OG0000052	h1SMcT0006122.2	SHAE2_30940.1
OG0000052	h1SMcT0020686.1, h1SMcT0020686.2	SHAE2_3770.1
OG0000052	h1SMcT0003857.1, h1SMcT0012159.2, h1SMcT0012159.1	SHAE2_1260.1
