Orthogroup	schistosoma_turkestanicum	schistosoma_japonicum
OG0000000	STRK1_100920.1, STRK1_106730.1, STRK1_102850.1	EWB00_005526, EWB00_002902, EWB00_009614
OG0000000	STRK1_42670.1, STRK1_33630.1	EWB00_000526, EWB00_010702, EWB00_007607, EWB00_004691, EWB00_005852, EWB00_010238, EWB00_005256, EWB00_011224, EWB00_005553, EWB00_001588, EWB00_003186, EWB00_002564, EWB00_010463, EWB00_003662, EWB00_002046, EWB00_003953, EWB00_008032, EWB00_009428, EWB00_011418
OG0000002	STRK1_11320.1	EWB00_001692
OG0000002	STRK1_21760.1, STRK1_21740.1, STRK1_21740.2, STRK1_21640.1, STRK1_21630.1, STRK1_95530.3, STRK1_95530.1, STRK1_95530.2, STRK1_95530.4	EWB00_001693, EWB00_008905
OG0000002	STRK1_40290.1, STRK1_40290.2	EWB00_009284, EWB00_008408, EWB00_009922, EWB00_000132, EWB00_000096, EWB00_000131, EWB00_004988, EWB00_008826
OG0000004	STRK1_80630.1, STRK1_51910.1, STRK1_37450.1, STRK1_105100.1, STRK1_100440.1, STRK1_92990.1, STRK1_42560.1	EWB00_009940
OG0000006	STRK1_41660.1, STRK1_55710.1, STRK1_86020.1, STRK1_22820.1, STRK1_22820.2, STRK1_48860.1, STRK1_63420.1, STRK1_63420.2, STRK1_14260.1, STRK1_44290.1, STRK1_22760.1, STRK1_21440.2, STRK1_29920.1, STRK1_18950.1, STRK1_18950.2, STRK1_6250.1, STRK1_65670.1, STRK1_109850.1	EWB00_004294, EWB00_009952
OG0000006	STRK1_52500.1	EWB00_004008
OG0000009	STRK1_39640.1	EWB00_002474.1, EWB00_002474.2, EWB00_004712
OG0000012	STRK1_38740.1, STRK1_38740.2, STRK1_38740.3	EWB00_002832
OG0000014	STRK1_32840.1	EWB00_004400.3, EWB00_004400.1, EWB00_004400.2
OG0000015	STRK1_58960.1	EWB00_008878
OG0000015	STRK1_58950.1	EWB00_008877
OG0000015	STRK1_28980.1	EWB00_004378.1, EWB00_004378.2, EWB00_004378.3, EWB00_004378.4, EWB00_004378.5
OG0000015	STRK1_28970.1	EWB00_004377.1, EWB00_004377.2
OG0000015	STRK1_28940.1	EWB00_004374
OG0000015	STRK1_40280.1	EWB00_009254, EWB00_009256.1, EWB00_009256.2
OG0000015	STRK1_41050.1, STRK1_41050.2, STRK1_41050.3	EWB00_006401.1, EWB00_006401.2
OG0000015	STRK1_9490.1	EWB00_000463.1, EWB00_000463.2, EWB00_000463.3
OG0000019	STRK1_28380.1	EWB00_004344
OG0000019	STRK1_28370.1	EWB00_004346
OG0000020	STRK1_89440.1, STRK1_110730.1, STRK1_89420.1, STRK1_89430.1, STRK1_89430.2, STRK1_53450.1, STRK1_95860.1, STRK1_95860.2, STRK1_53460.1, STRK1_53460.2, STRK1_101150.1, STRK1_101150.2, STRK1_101150.3, STRK1_89410.1, STRK1_89590.1, STRK1_89400.1, STRK1_82850.1, STRK1_95870.1, STRK1_82890.1, STRK1_105740.1, STRK1_62050.1, STRK1_62050.2, STRK1_82970.1, STRK1_82860.1, STRK1_82860.2, STRK1_83010.1, STRK1_83030.1, STRK1_103050.1, STRK1_82880.1, STRK1_82870.1, STRK1_82870.2, STRK1_83050.1, STRK1_83050.2, STRK1_82940.1, STRK1_82960.1, STRK1_82960.2, STRK1_82930.1, STRK1_83060.1, STRK1_82990.1, STRK1_96010.1, STRK1_82910.1, STRK1_83000.1, STRK1_99060.1, STRK1_99060.2, STRK1_83040.1, STRK1_82980.1, STRK1_82980.2, STRK1_106490.1, STRK1_95440.1, STRK1_95440.2	EWB00_004966, EWB00_000449, EWB00_001690, EWB00_000357, EWB00_000358, EWB00_000380, EWB00_000381, EWB00_000448
OG0000021	STRK1_12640.1	EWB00_010539
OG0000021	STRK1_3460.1	EWB00_002053.3, EWB00_002053.2, EWB00_002053.4, EWB00_002053.1
OG0000021	STRK1_3470.1	EWB00_010822
OG0000021	STRK1_3440.1	EWB00_002049
OG0000021	STRK1_3450.1	EWB00_002052, EWB00_002051.2, EWB00_002051.3, EWB00_002051.1
OG0000021	STRK1_3430.1	EWB00_002048.1, EWB00_002048.2, EWB00_002048.3
OG0000022	STRK1_25560.1, STRK1_25560.2	EWB00_007015.2, EWB00_007015.1, EWB00_007015.3
OG0000023	STRK1_18830.1, STRK1_109670.1, STRK1_66810.1, STRK1_10470.1, STRK1_78320.1, STRK1_103420.1, STRK1_110510.1, STRK1_76590.1, STRK1_94860.1, STRK1_59810.1, STRK1_90750.1, STRK1_21690.1	EWB00_008435
OG0000024	STRK1_22140.1	EWB00_007079
OG0000024	STRK1_101880.1	EWB00_009218.2, EWB00_009218.1, EWB00_009219
OG0000024	STRK1_58710.1	EWB00_008906
OG0000024	STRK1_78170.1	EWB00_001214
OG0000024	STRK1_78160.1	EWB00_003471
OG0000026	STRK1_76900.1, STRK1_76900.2	EWB00_002251.1, EWB00_002251.2
OG0000026	STRK1_69960.1, STRK1_69960.2	EWB00_002721, EWB00_002746
OG0000027	STRK1_38360.1, STRK1_105950.1	EWB00_003944
