Orthogroup	fasciola_gigantica	schistosoma_guineensis
OG0000002	FGIG_02209	SGUI1_40810.1
OG0000008	FGIG_01604	SGUI1_53450.1, SGUI1_38260.1, SGUI1_9390.1, SGUI1_9390.2, SGUI1_67330.1, SGUI1_16340.1, SGUI1_13020.1, SGUI1_13750.1, SGUI1_12660.1, SGUI1_12540.1, SGUI1_47370.1, SGUI1_27000.1, SGUI1_90850.1, SGUI1_57630.1, SGUI1_39120.1, SGUI1_1320.1, SGUI1_29210.1, SGUI1_1190.1, SGUI1_10740.1, SGUI1_47340.1, SGUI1_58470.1, SGUI1_2730.1, SGUI1_72400.1, SGUI1_13750.3, SGUI1_41060.1, SGUI1_82730.1
OG0000010	FGIG_10402	SGUI1_57400.1, SGUI1_74850.1
OG0000012	FGIG_00643	SGUI1_40550.1
OG0000014	FGIG_02434	SGUI1_38080.28, SGUI1_38080.8, SGUI1_38080.21, SGUI1_38080.10, SGUI1_38080.12, SGUI1_38080.19, SGUI1_38080.2, SGUI1_38080.25, SGUI1_38080.27, SGUI1_38080.3, SGUI1_38080.4, SGUI1_38080.11, SGUI1_38080.22, SGUI1_38080.1, SGUI1_38080.18, SGUI1_38080.17, SGUI1_38080.7, SGUI1_38080.15, SGUI1_38080.24, SGUI1_38080.13, SGUI1_38080.20, SGUI1_38080.26, SGUI1_38080.6, SGUI1_38080.23, SGUI1_38080.16, SGUI1_38080.14, SGUI1_38080.9, SGUI1_38080.5
OG0000015	FGIG_12126, FGIG_08847	SGUI1_66240.1
OG0000015	FGIG_10861, FGIG_10862, FGIG_07349	SGUI1_38300.1
OG0000015	FGIG_10471, FGIG_07736	SGUI1_38310.1
OG0000015	FGIG_03653	SGUI1_43650.1
OG0000015	FGIG_05368, FGIG_05133	SGUI1_9360.1
OG0000019	FGIG_11320	SGUI1_36590.13, SGUI1_36590.3, SGUI1_36590.1, SGUI1_36590.10, SGUI1_36590.2, SGUI1_36590.4, SGUI1_36590.5, SGUI1_36590.6, SGUI1_36590.9, SGUI1_36590.8, SGUI1_36590.11, SGUI1_36590.12, SGUI1_36590.7, SGUI1_36590.20, SGUI1_36590.17, SGUI1_36590.16, SGUI1_36590.14, SGUI1_36590.19, SGUI1_36590.18, SGUI1_36590.15
OG0000021	FGIG_04378, FGIG_04728	SGUI1_7740.1
OG0000021	FGIG_06427, FGIG_06428	SGUI1_5490.1
OG0000022	FGIG_03596, FGIG_03595	SGUI1_26960.23, SGUI1_26960.6, SGUI1_26960.5, SGUI1_26960.7, SGUI1_26960.8, SGUI1_26960.3, SGUI1_26960.4, SGUI1_26960.2, SGUI1_26960.22, SGUI1_26960.24, SGUI1_26960.1, SGUI1_26960.18, SGUI1_26960.19, SGUI1_26960.20, SGUI1_26960.16, SGUI1_26960.17, SGUI1_26960.9, SGUI1_26960.14, SGUI1_26960.15, SGUI1_26960.10, SGUI1_26960.11, SGUI1_26960.21, SGUI1_26960.12, SGUI1_26960.13
OG0000024	FGIG_02542	SGUI1_23290.1
OG0000024	FGIG_10904	SGUI1_91920.1
OG0000024	FGIG_07662, FGIG_11018, FGIG_08815	SGUI1_64640.1, SGUI1_64640.3, SGUI1_64640.2
OG0000026	FGIG_05063	SGUI1_80150.3, SGUI1_80150.2, SGUI1_80150.1
OG0000026	FGIG_06363, FGIG_06362, FGIG_05048, FGIG_08063, FGIG_04998	SGUI1_72530.9, SGUI1_72530.1, SGUI1_72530.7, SGUI1_72530.3, SGUI1_72530.5, SGUI1_72530.4, SGUI1_72530.6, SGUI1_72530.8, SGUI1_72530.2, SGUI1_72480.1
OG0000027	FGIG_03818	SGUI1_39960.1
OG0000028	FGIG_11072, FGIG_11155, FGIG_10412, FGIG_10120, FGIG_11071, FGIG_07777	SGUI1_70880.8, SGUI1_70880.16, SGUI1_70880.7, SGUI1_70880.9, SGUI1_70880.20, SGUI1_70880.6, SGUI1_70880.22, SGUI1_70880.21, SGUI1_70880.5, SGUI1_70880.4, SGUI1_70880.19, SGUI1_70880.3, SGUI1_70880.18, SGUI1_70880.15, SGUI1_70880.11, SGUI1_70880.2, SGUI1_70880.14, SGUI1_70880.12, SGUI1_70880.1, SGUI1_70880.17, SGUI1_70880.13, SGUI1_70880.23, SGUI1_70880.10
OG0000029	FGIG_01225	SGUI1_57980.1
OG0000029	FGIG_12390, FGIG_07520	SGUI1_87750.1
OG0000029	FGIG_11109	SGUI1_88610.3, SGUI1_88610.1, SGUI1_88610.2
OG0000030	FGIG_03562	SGUI1_6410.1
OG0000031	FGIG_00219, FGIG_09645	SGUI1_19450.19, SGUI1_19450.18, SGUI1_19450.1, SGUI1_19450.16, SGUI1_19450.7, SGUI1_19450.14, SGUI1_19450.10, SGUI1_19450.11, SGUI1_19450.13, SGUI1_19450.2, SGUI1_19450.3, SGUI1_19450.9, SGUI1_19450.12, SGUI1_19450.15, SGUI1_19450.4, SGUI1_19450.17, SGUI1_19450.5, SGUI1_19450.6, SGUI1_19450.8
OG0000032	FGIG_12135	SGUI1_23110.1, SGUI1_23140.1, SGUI1_23420.1, SGUI1_23410.1, SGUI1_9560.1
OG0000034	FGIG_11870, FGIG_10591, FGIG_05132	SGUI1_92140.1, SGUI1_92140.2, SGUI1_92140.3, SGUI1_92130.1, SGUI1_92130.2, SGUI1_92120.1, SGUI1_57710.1, SGUI1_57800.1, SGUI1_57860.1, SGUI1_57690.1, SGUI1_57700.1, SGUI1_57810.1, SGUI1_57820.1
